COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3123 
 NOMBRE    : PUNTA EUGENIA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.84694444 ° 
 LONGITUD  : -115.0813889 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980				3	0	0	0	0	0	0	0	0	3	0.3	9
1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1982	0	0	0	0	0		0	0	0	0	0	0	0	0	11
1983			0	3.5	0	0	0	6	0	0	0	9.5	19	1.9	10
1984	14.5	0	0	0	0	0	3	1.2	0.3	0	3.5	20	42.5	3.5	12
1985	14	0	0	0	0	0	0	0	0	4	0.5	0	18.5	1.5	12
1986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1987	0	5	0	0	0	0	0	0	0	0	0	1	6	0.5	12
1988	0	4	0	0	0	0	0	0	0	0	0	10	14	1.2	12
1989	6	0	0	0	0	0	0	0	2	2	0	27.5	37.5	3.1	12
1990	2	0	0	0	0	0	0	0	0	9	9	7	27	2.2	12
1991	8	0	0	0	0	0	0	0	4	0	0	21	33	2.8	12
1992	19	13	7	0	0	0	0	0	0	0	0	16	55	4.6	12
1993	12	16	3	0	0	0	0	0	0	0	0	7	38	3.2	12
1994	0	5	0	0	0	0	0	0	0	0	4	109	118	9.8	12
1995	20	9	0	0	0	0	0	0	0	0	8	0	37	3.1	12
1996	0	12	0	0	0	0	0	0	0	0	0	0	12	1	12
1997	0	0	0	0	0	0	0	0	16	0	8	2.5	26.5	2.2	12
1998	2	0	1.5	0	1.5	0	0	9	0	0	0	0	14	1.2	12
1999	0	0	0.01	0.01		0	0						0.02	0	6
2001	4	3	1.5	0	0	0	0	0	0	0	0	0	8.5	0.7	12
2002	1	0	0	0	0	0	0	0	0	0	0.01	3	4.01	0.3	12
2003	0	8	0	0	0	0	0	0	4	13	4	0	29	2.4	12
2004	0	7	3.5	0	0	0	0	0	0.01	0	0	31	41.51	3.5	12
2005	64	21	0.01	0.01	0	0	0	0	0	8.5	0	0.01	93.53	7.8	12
2006	0.01	0.01	4			0	0	0	0	0	0	1	5.02	0.5	10
2007	0	3.7	0.01	0	0	0	0.01	0	0	0	15	31	49.72	4.1	12
2008	1	0.01		0	0	0.01	0		0	0	2	3	6.02	0.6	10
2009	2	3	0.01	0	0	0	0	0	0	0	0	8	13.01	1.1	12
2010	17	0	4.5	0.01	0	0	0	0	0	0	0	3	24.51	2	12
2011	0	0	0	3	0	0	0	0	0	0.01	7	0	10.01	0.8	12
2012	0	7	0	0	0	0	0	0	0	4	0		11	1	11
2013	2	0	0	0	0	0	0	8	0	0	6	3	19	1.6	12
2014	0	0	19	0	0	0	0	0	5	65	0	2	91	7.6	12
2015	5	0	0	0	0	3	0	0	24	21	0	2	55	4.6	12
2016	0	0	7	15	0	0	0	0	0	2	3	15	42	3.5	12
2017	4	3		0	0	0	0	0	19				26	3.2	8
2018	6.7	30	23	0	0		10	25	0	0	0	0	94.7	8.6	11
2020	32	0.5	32	0	0	0	0	0	0	0	0	5	69.5	5.8	12
2021	0.01	0	0	0	0	0	0	0.01	0	0	0	24	24.02	2	12
2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2023	6	6	0	0	0	0	10	110	3	5	0	0	140	11.7	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MÁXIMA	64	30	32	15	1.5	3	10	110	24	65	15	109	140	11.7	12
MEDIA	6.1	3.9	2.7	0.6	0	0.1	0.5	4	1.9	3.3	1.8	9.3	32.3	2.8	11.5
DESV.ST	11.9	6.6	6.9	2.5	0.2	0.5	2.2	17.7	5.3	10.9	3.4	18.9	33.4	2.8	1.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980				3	0	0	0	0	0	0	0	0	3	0.3	9
1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1982	0	0	0	0	0		0	0	0	0	0	0	0	0	11
1983			0	4	0	0	0	6	0	0	0	9.5	19.5	2	10
1984	22	0	0	0	0	0	5	1.2	0.8	0	4.5	73	106.5	8.9	12
1985	18.3	0	0	0	0	0	0	0	0	5	0.5	0	23.8	2	12
1986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1987	0	13	0	0	0	0	0	0	0	0	0	1	14	1.2	12
1988	0	4	0	0	0	0	0	0	0	0	0	17	21	1.8	12
1989	13	0	0	0	0	0	0	0	2	2	0	32.5	49.5	4.1	12
1990	4	0	0	0	0	0	0	0	0	9	9	21	43	3.6	12
1991	11	0	0	0	0	0	0	0	5	0	0	49.3	65.3	5.4	12
1992	65	13	13	0	0	0	0	0	0	0	0	26	117	9.8	12
1993	21	39	3	0	0	0	0	0	0	0	0	7	70	5.8	12
1994	0	5	0	0	0	0	0	0	0	0	4	158	167	13.9	12
1995	30	15	0	0	0	0	0	0	0	0	8	0	53	4.4	12
1996	0	12	0	0	0	0	0	0	0	0	0	0	12	1	12
1997	0	0	0	0	0	0	0	0	16	0	11	5	32	2.7	12
1998	2	0	1.5	0	1.5	0	0	9	0	0	0	0	14	1.2	12
1999	0	0	0.02	0.01		0	0						0.03	0	6
2001	7.01	3	1.5	0	0	0	0	0	0	0	0	0	11.51	1	12
2002	1	0	0	0	0	0	0	0	0	0	0.01	3.02	4.03	0.3	12
2003	0	25.5	0	0	0	0	0	0	4	13	4	0	46.5	3.9	12
2004	0	7	3.5	0	0	0	0	0	0.01	0	0	72	82.51	6.9	12
2005	69.01	31.01	0.01	0.01	0	0	0	0	0	8.51	0	0.01	108.56	9	12
2006	0.01	0.01	4.01			0	0	0	0	0	0	1.02	5.05	0.5	10
2007	0	3.7	0.01	0	0	0	0.01	0	0	0	27	38	68.72	5.7	12
2008	1	0.01		0	0	0.01	0		0	0	2.01	3.03	6.06	0.6	10
2009	3	3.01	0.01	0	0	0	0	0	0	0	0	8	14.02	1.2	12
2010	35	0	4.5	0.01	0	0	0	0	0	0	0	3.01	42.52	3.5	12
2011	0	0	0	3	0	0	0	0	0	0.01	7.02	0	10.03	0.8	12
2012	0	10	0	0	0	0	0	0	0	4	0		14	1.3	11
2013	2	0	0	0	0	0	0	8	0	0	6	3	19	1.6	12
2014	0	0	19	0	0	0	0	0	7	65	0	2	93	7.8	12
2015	5	0	0	0	0	3	0	0	27	35	0	2	72	6	12
2016	0	0	7	15	0	0	0	0	0	2	3	27	54	4.5	12
2017	7	3		0	0	0	0	0	19				29	3.6	8
2018	6.7	35	23	0	0		10	59.5	0	0	0	0	134.2	12.2	11
2020	34	0.5	62.5	0	0	0	0	0	0	0	0	5	102	8.5	12
2021	0.01	0	0	0	0	0	0	0.01	0	0	0	24.01	24.03	2	12
2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2023	10	6	0	0	0	0	15	135	3	10	0	0	179	14.9	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MÁXIMA	69.01	39	62.5	15	1.5	3	15	135	27	65	27	158	179	14.9	12
MEDIA	9.2	5.7	3.7	0.6	0	0.1	0.7	5.5	2	3.8	2.2	15.1	46	3.9	11.5
DESV.ST	16.6	10.2	10.9	2.5	0.2	0.5	2.8	23.1	5.7	11.7	5	30.1	47	3.9	1.3

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980				19	20.3	19.7	27.3	27	21.3	22.2	20.6	20.3		22	9
1981	21.9	22.9	23.6	25.3	24.2	23.4	23.5	23.8	23.1	22	23.9	22		23.3	12
1982	22.2	22.5	22.6	24.2	22.5		22.8	23.4	24.3		25.9	25		23.5	10
1983			25.9	23.7	20.8	25.4		32.3	30.1	31.4	27.6	21.3		26.5	9
1984	20.8	20	22.5	19.4	19.9	21.8	26.6	25.4	26.4	24.7	22.1	19.4		22.4	12
1985	19.6	19.9	20.1	19.6	19.8	21.6	24.9	26.5	25.4	23.9	21.6	20.2		21.9	12
1986	21.2	21.1	20.2	23.5	22.1	20.2	29	25.7	23.8	22.5	22.9	21.4		22.8	12
1987	22		20.5	30.4	31.3	25.1	29.8	30.3	24.9	25.1	22.5	22		25.8	11
1988	23	21.6	23.8	24.4	24.7	23.8	24.9	23.9	23	23.1	21	20.6		23.1	12
