COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3125 
 NOMBRE    : SAN AGUSTIN 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 24.15833333 ° 
 LONGITUD  : -110.9236111 ° 
 ALTITUD   : 100 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979								0	70.5	0	0	0	70.5	14.1	5
1980	0	7.5	0	0	0	0	0	0	21.5	23.5	0	0	52.5	4.4	12
1981	10.5	0	15.5	0	0	0	0	60	0	18	0	0	104	8.7	12
1982	0	0	0	0	0		0	0	15.5		25.5	68	109	10.9	10
1983	11.5	0	14.5	0	0	0	5	82	5	0	0	7	125	10.4	12
1984	9	0	0	0	0	0	16.5	43	4.5	16	0	19	108	9	12
1985	5.5	0	0	0	0	0	11	7	4	0	16.1	0	43.6	3.6	12
1986	1					0	0	14.5	0	0	0	0	15.5	1.9	8
1987	0	0	0	0	0	0	5	0	6	6	0	3.7	20.7	1.7	12
1988	0	0	3	0.01	0	0	0	0	0	0	0	4	7.01	0.6	12
1989	28	10	1	0	0	0	0.5	24.5	0	0	0		64	5.8	11
1990	0	4	2.6	0	0	0	12						18.6	2.7	7
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	7.01	0.6	5
MÁXIMA	28	10	15.5	0.01	0	0	16.5	82	70.5	23.5	25.5	68	125	14.1	12
MEDIA	6	2.1	3.7	0	0	0	4.5	21	11.5	6.3	3.8	10.2	61.5	6.2	10.4
DESV.ST	8.7	3.7	6.1	0	0	0	6	28.6	20.7	9.2	8.7	21.2	41.9	4.4	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979								0	93	0	0	0	93	18.6	5
1980	0	7.5	0	0	0	0	0	0	21.5	23.5	0	0	52.5	4.4	12
1981	34.5	0	15.5	0	0	0	0	78	0	18	0	0	146	12.2	12
1982	0	0	0	0	0		0	0	40.8		28.6	68	137.4	13.7	10
1983	11.5	0	26.5	0	0	0	12	162	5	0	0	7	224	18.7	12
1984	9	0	0	0	0	0	30.5	54	14	21	0	23.8	152.3	12.7	12
1985	6.5	0	0	0	0	0	11	7	4	0	20.6	0	49.1	4.1	12
1986	1					0	0	24.5	0	0	0	0	25.5	3.2	8
1987	0	0	0	0	0	0	5	0	19	10	0	3.7	37.7	3.1	12
1988	0	0	3	0.01	0	0	0	0	0	0	0	4	7.01	0.6	12
1989	73.02	10.01	1	0	0	0	0.5	30.5	0	0	0		115.03	10.5	11
1990	0	4	2.6	0	0	0	12						18.6	2.7	7
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	7.01	0.6	5
MÁXIMA	73.02	10.01	26.5	0.01	0	0	30.5	162	93	23.5	28.6	68	224	18.7	12
MEDIA	12.3	2.2	4.9	0	0	0	6.5	32.4	17.9	7.2	4.5	10.7	88.2	8.7	10.4
DESV.ST	22.6	3.7	9	0	0	0	9.5	50.3	28	10	10.1	21.4	67.3	6.4	2.4

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979								32.3	33.5	33.9	28.3	26.8		31	5
1980	24.5	26.2	27.3	27.5	27.5	31.1	34.3	32.9	32.2	30.7	27.4	26.1		29	12
1981	24.1	26.1	24.3	25.5	26.9	26.7	25.5	27.1	32	28.8	28.2	30.5		27.1	12
1982	29.9	29.7	30	29.6	28.9		34.7	34.4	33.8		28.4	19.6		29.9	10
1983	20.2	19.3	20.2	21.4	26.9	30.4	28.9	30	31.2	30.6	27.2	18.4		25.4	12
1984	17.9	21.3	19.9	25.1	25.3	29.3	30.5	33	32.4	29.1	28.6	24.4		26.4	12
1985	23.2	25	27	27.4	30.1	33	34.4	33.7	33.6	31.9	26	23.7		29.1	12
1986	27.4					31	31	35.8	36.2	35.7	32.1	24.6		31.7	8
1987	18.7	21.7	24.4	26.1	29.3	27.7	29.9	31.5	30.8	30.1	26.6	24.6		26.8	12
1988	26.2	27.8	25.5	29.1	28.7	31.5	34.4	34.5		30.6	26.5	23.6		28.9	11
1989	20.4	24.7	27.4	31.3	30.1	35.1	32.2	29.7	30.3	29.5	28.2			29	11
1990	19	16	20.9	22.8	22.9	30.7	31.2							23.4	7
MÍNIMA	17.9	16	19.9	21.4	22.9	26.7	25.5	27.1	30.3	28.8	26	18.4		23.4	5
MÁXIMA	29.9	29.7	30	31.3	30.1	35.1	34.7	35.8	36.2	35.7	32.1	30.5		31.7	12
MEDIA	22.9	23.8	24.7	26.6	27.7	30.6	31.5	32.3	32.6	31.1	28	24.2		28.1	10.3
