COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3126 
 NOMBRE    : SAN ANTONIO DE LA SIERRA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.52083333 ° 
 LONGITUD  : -112.5041667 ° 
 ALTITUD   : 160 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980							5				0	20	25	8.3	3
1981	67.5	2.5	24.5	0	0	0	2.5	52	0	6	0	0	155	12.9	12
1982	4	0	0	0			2	2	0	0	9	14	31	3.1	10
1983	5.5	28	47	0	0	0	32	28	27	0	0	16	183.5	15.3	12
1984	23	0	0	3.5		0.01	65	25	12	0	0	43.5	172.01	15.6	11
1985	22	0	0	0	0	0	10	0	0	1	22.5	0	55.5	4.6	12
1986	4.5	2	0.01	11	0.01	0	4	2	24	0	9	20	76.52	6.4	12
1987	0	7	0	0.01	0	0	0.01	0	3.5	8.5	0.01	11.5	30.53	2.5	12
1988	1	3	1	0.01	0	0	0	0	0	0	0	38	43.01	3.6	12
1989	26	6.7	0.01	0.01	0	0.01	9.5	2.5	15	8.5	0	12.5	80.73	6.7	12
1990	6.4	5	0	0	0.01	0	0.01	15.5	25	30	5	83	169.92	14.2	12
1991	20	20	1.5	0.01	0	0	0.01	10	8	0	34	9.3	102.82	8.6	12
1992	10.3	15.5	5.2	0	0	0	1.5	184.5	11	0			228	22.8	10
1993	74.5	14	0	0	0	0	0	24	44	2	14	14	186.5	15.5	12
1994	0	0.01	0.01	0	0	0.01	0.01	5	0	7	78	38.5	128.54	10.7	12
1995	3	15.5	1	0	0.01	0	0	9.5	31	3	10.2	0	73.21	6.1	12
1996	0	12.5	0	0	0	0	0.01	21	31	0.01	7.5	0	72.02	6	12
1997	4.5	4.5	0	0.01	0	0.01	0.01	6	27	0.01	5	22	69.04	5.8	12
1998	0	16	2	0	0	0	23	41	0.01	0	0.01	0.01	82.03	6.8	12
1999	0	0.01	0	0.01	0	1.5	1	0.01	20	0.5	0	0	23.03	1.9	12
2000	0	0.01		0	0	0.01	0.01	25	11.5	10	0.01	0.01	46.55	4.2	11
2001	1	6.5	1	1	0	0.01	1.5	0	14	1	0	0	26.01	2.2	12
2002	0.01	3.5	0	0	0	0	1	1	13	0	4	18.5	41.01	3.4	12
2003	2	4	2.5	4	0	0	0	76.5	47.5	0.5	2	0.01	139.01	11.6	12
2004	11	6.5	8	0.01	0	0	0.01	0.01	27	1	2.5	5	61.03	5.1	12
2005	28.5	19	7	0.01	2.5	0	3.5	19	4	18	0	0.01	101.52	8.5	12
2006	0	0.01	0.01	0	0	0.01	1	6	10	32	0	0	49.03	4.1	12
2007	11	0	0	0	0	0	0.01	1	7	0	26	3	48.01	4	12
2008	1.5		0	0	0	0	1.5	88	11	0	25	6.5	133.5	12.1	11
2009	1.5	0	0	0	0	0	1	4	50	29	2	1.5	89	7.4	12
2010	14.5	4	3	0	0	0	0	4	0	0	0	1.5	27	2.2	12
2011	7.5	0.01	0	1.5	0	0	0.01	6	0	0	23	0	38.02	3.2	12
2012	0	7	1.5	0	0	0	0						8.5	1.2	7
2013	0.01	0.01	0	0	0	1.5	0.01	17	19	39.5	6	0.01	83.04	6.9	12
2014	0.01	0	0	0	0.01	0	9.5	1	74	90	0	0.01	174.53	14.5	12
2015	37	26	16.5	17	0	24.5	0.01	0.01	74.5	2.5	0.01	0	198.03	16.5	12
2016	2	0	5	0.01	0	0	0	3	64.5	0	0	61	135.51	11.3	12
2017	5.5	25	0	0.01	0	0	0.4	0	60	0	0.01	0	90.92	7.6	12
2018	0	1	0	0		0	0	3	48.5	39	0	6	97.5	8.9	11
2019	15	4	16	0	0	0	0	28	4	2.5	78	13	160.5	13.4	12
2020	0	0.01	30	0	0	0	0	11	0	0	0	13	54.01	4.5	12
2021	39.5	0	0	0	0	0	0	0	0	0	0	0	39.5	3.3	12
2022	0	5	0	0	0	0	5	10	65	5	6	1	97	8.1	12
2023	0	9.5	0	0	0	0	0	30	0	0	0	0	39.5	3.3	12
2024	3	6	2										11	3.7	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	8.5	1.2	3
MÁXIMA	74.5	28	47	17	2.5	24.5	65	184.5	74.5	90	78	83	228	22.8	12
