COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3129 
 NOMBRE    : SAN NICOLAS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.54333333 ° 
 LONGITUD  : -111.5491667 ° 
 ALTITUD   : 15 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979									7	0	0	3	10	2.5	4
1980	0	4	0	0	0	0	4	0	0	5	0	18	31	2.6	12
1981	11	1	5	11	0	0	16	2	20	11.5	0	0	77.5	6.5	12
1982	5	0	0	0	0	0	0	3	18	11.5	8	1	46.5	3.9	12
1983	5	3	8	0	0	0	0	80	35	9	0	12	152	12.7	12
1984	48	0	0	0	0.01	0	63.5	31	20	9.5	0	20.5	192.51	16	12
1985	36	0	0	0	0	0	3.2	0	0	0	1.7	0	40.9	3.4	12
1986	0	5	0	0	0	0	0	15.5	14.5	0	4	43	82	6.8	12
1987	2	3	0	0	0	0	30	0	18.5	0	0	0	53.5	4.5	12
1988	0	1.5	0	0	0	0	0	38.5	3	0	0	11	54	4.5	12
1989	22	15.5	0	0	0	0	1.5	1.5	0	0	0	11	51.5	4.3	12
1990	0	3.5	0	0	0	0	17.5	20.5	0				41.5	4.6	9
1991	5.3	5	0	0	0	0	0	35.5	29.5	10.5	44.8	40.1	170.7	14.2	12
1992	30.3	15.3	8.3	0	0	0	0	5	6.5	0	0	21.5	86.9	7.2	12
1993	0	0	0	0	0	0	0	53	40	0	18.5	14	125.5	10.5	12
