COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3132 
 NOMBRE    : CIUDAD CONSTITUCION (OBS) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   : 76402 
 LATITUD   : 25.00972222 ° 
 LONGITUD  : -111.6466667 ° 
 ALTITUD   : 48.3 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	0	0		0.1	0.1	0	0.2	0.4	0.5	0.1	0	0	1.4	0.1	11
1982	1.6	0	0	0	6	0	26	0	4.2	0	6.7	5.6	50.1	4.2	12
1983	2.5	0.8	9.1	0	0	0	12.4	7.6	11.7	0	1.6	3.4	49.1	4.1	12
1984	5.7	0	0	2	0	3.4	14.5	14.9	3.8	2.8	0.7	5.1	52.9	4.4	12
1985	0.8	0	0.1	0	0	0	0.6	2.1	0.2	0	1.5	3	8.3	0.7	12
1986	0.3	0.7	0	2.3	0	0.1	0	6.9	3.4	0	0	3	16.7	1.4	12
1987	3.4	1.6	0.6	0	0.4	0	8.2	6.2	12	19	0.4	0	51.8	4.3	12
1988	3.8	0	0	0	0	0	0	0	0	0.2	0	4.9	8.9	0.7	12
1989	0.6			0	0	4.5	2.7	0				2.8	10.6	1.5	7
1990	0	0	0.2	0	0	0	0.7	0	38	3.6	3.4	1.2	47.1	3.9	12
1991	1	0	0.2	0	0	0	0	0	3.8	0	1.7	0	6.7	0.6	12
1992	6.4	2	10	0	0	0	0	0.8	5.8	0	0	3.6	28.6	2.4	12
1993	1.2	0.8	0	0	0	0	0	6.3	0	0.1	1.6	0	10	0.8	12
1994	0	0	0	0	0	0	2	8.6	1.3	11.3	1	5.3	29.5	2.5	12
1995	0.8	3.4	0	0	0	0	11.5	0.5	3.4	0	1	0	20.6	1.7	12
1996	0	0.4	0		0	0	0	14.5	8.1	0	0	0	23	2.1	11
1997	0.6	0	0	0			0	0	23.5	0	2.1	1.2	27.4	2.7	10
1998	0	0	0	0	0	0	3.6	3.1	1.9	0	0.6	0	9.2	0.8	12
1999	0	0	0	0	0	2	1.1	6.2	4.3	0	0	0	13.6	1.1	12
2000	0	0	0.7	0	2.8	0	1.5	16.1	22.8	0.4	1.6	0	45.9	3.8	12
2001	1	0	0	0	0.2	0	0.7	15.9	1.4	0	3	0	22.2	1.9	12
2002	0.4	0.7	0	0	0	0	22	0	7.4	0	3.8	0.9	35.2	2.9	12
2003	0.1	3.1	0	1	0	0	1	9.6	5	0	0.1	0.6	20.5	1.7	12
2004	13.3	12	4.4	0	0	0	7.3	36.3	28	21	1.4	1.6	125.3	10.4	12
2009				0					56.8	76.5	10	7	150.3	30.1	5
2010	6.2	14.6	0	0	0	10	0	21.7	2.5	0.2	0	0	55.2	4.6	12
2011	0	0	0	0	0	0	0.5	4.1	0	0	35.8	0.5	40.9	3.4	12
2012	0.01										0		0.01	0	2
2014							46.3	27.5	76.8	20.4	0	0	171	28.5	6
2015	11.5	4.6	12	3.5	1.1	12.2	28.6	1	25.8	1.8	0	0.2	102.3	8.5	12
2016	0	0	5.4	4.9	0	0	0.1	34.2	99.6	9.4	2.4	1.8	157.8	13.2	12
2017	1.8		0	0.6	0	0	0	6.5	17.1	0	0	0	26	2.4	11
2018	0.8	9.3	0	0	0	0	0.6	3.3	73.9	23.2	0	1.3	112.4	9.4	12
2019	2.9	0.7	6.6	0	0	0	0.2	9.7	70.3	58	49.7	7.7	205.8	17.1	12
2020	0	3.5	5.1	0.2	0	0	0	7.4	29.9	3.3	3.1	0	52.5	4.4	12
2021	13	0		0	0	0				0	8	0.5	21.5	2.7	8
2022	24	0	0	0	0	0	0	11.7	102.3	0	0	0	138	11.5	12
2023	0.8	1	0						0				1.8	0.4	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	2
MÁXIMA	24	14.6	12	4.9	6	12.2	46.3	36.3	102.3	76.5	49.7	7.7	205.8	30.1	12
MEDIA	2.9	1.8	1.7	0.4	0.3	1	5.7	8.3	21.3	7.2	3.9	1.7	51.3	5.2	10.8
DESV.ST	5.1	3.5	3.4	1.1	1.1	2.8	10.6	9.6	29.6	16.6	10	2.2	53.7	6.9	2.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	0	0		0.1	0.1	0	0.3	1	0.6	0.1	0	0	2.2	0.2	11
