COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3133 
 NOMBRE    : SAN ANTONIO NORTE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.14166667 ° 
 LONGITUD  : -111.4555556 ° 
 ALTITUD   : 100 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978												10	10	10	1
1979	46			0	0	0	8	0	25	0	0	8	87	8.7	10
1980	0	10	0	0	0	0	10	0	30	42	0	24	116	9.7	12
1981	40	2.6	4	1.5	0	0	0	0	0	40.5	0	0	88.6	7.4	12
1982	0	15	0	0	0		44	4	10.5	0	15.2	4.1	92.8	8.4	11
1983	9.6	0	45.5	0	0	0	13.5	65.6	13.4	18.5	10.5	30	206.6	17.2	12
1984	24.5	0	0	0	0	0	55.6	28.5	68.5	20.3	0	21.5	218.9	18.2	12
1985	32.5	0	0	0	0	0	0	17.5	0	4.5	2.5	0	57	4.8	12
1986	0	0	0	0.01		0.01	0.01	3	48.5		5.5	50	107.03	10.7	10
1987		0	0	0	0	0	15	0	27	20	0	0	62	5.6	11
1988	0	0.01	0	0	0	0	0			0	0	0.01	0.02	0	10
1989	19	20	0		0	0	6	8	0	0	0.01	8	61.01	5.5	11
1990	0.01	5	0	0	0	0	34	25	55	0	32	93.5	244.51	20.4	12
1991	6.5	14.6	8	0	0	0	0	0					29.1	3.6	8
1992						0	33	8	63	0		0	104	17.3	6
1993					0	0	0	32	46	0	12	10	100	12.5	8
1994		0	0	0	0	0	0	30	40	0	26	75	171	15.5	11
1995	10	7	0	0	0	0	0	15	10	0	0.01	0	42.01	3.5	12
1996	0	1	0	0	0	0	5	38	16	0	0.01	0	60.01	5	12
1997	12	0	0	0	0								12	2.4	5
1998	0	0	0	0	0	11.2	0	55	18	0		0	84.2	7.7	11
2001	0	0.5	0	0	0	0	0	19	72	6.5	0	0	98	8.2	12
2002	0	4	0	0	0	0	0	0	14.3	0	8	7.5	33.8	2.8	12
2003	4	0	0	0	0	0	12.5	90	124	0	0		230.5	21	11
2004	43.5	0	0	0	0	0	7	65	10	6	5	0.01	136.51	11.4	12
2005	15	22	0	0	0.01	6.5	0	34	0	3.5	0.01	0	81.02	6.8	12
2006	0	0	0	0	0	3	3	17	290	0	0	0.01	313.01	26.1	12
2007	0.01	0	0.1	0	0	0	0	20	39	29	20	20	128.11	10.7	12
2008	3	0	0	0	0	0	0	27.5	0	120	3	0.01	153.51	12.8	12
2009	0	0	0	0			1.5	20	135.5	36	0.01	2	195.01	19.5	10
2010	1	20	0	0	0	0	0.01	4	105	0.01	0	0	130.02	10.8	12
2011	0.01	0	0	0	0	32	0.01	0	0	0			32.02	3.2	10
2012	0.01	0.01	0	0	0	0	0	89	82	175	0	0.01	346.03	28.8	12
2013	0	0	0	0	0	0.01	2	150	25	230	0	3	410.01	34.2	12
2014	0	0	0	0	0	0	0	41	266	8	0	0	315	26.2	12
2015	0	22	0	0	0	133	20	48	85	0	0	0.01	308.01	25.7	12
2016	0.01	0	0	0	0	0.01	0	3	240	0	0	12.3	255.32	21.3	12
2017	0	10	0	0	0	0	5	0					15	1.9	8
2018	5	5.4	0	0	0	0	3.4	10	17.2	0	0	6.5	47.5	4	12
2019	0	0	0	0									0	0	4
2020	12	0	3	0	0	0	0	27	12.5	15.5	0	12	82	6.8	12
2021	11.4	0	0	0	0	0	0	30.5	16.5	0	0	12	70.4	5.9	12
2022	0	0	0	0	0	0	12.2	18.7	114	0	0	0	144.9	12.1	12
2023	0	5	0	0	18	0	10	62.5	0	0	0	0	95.5	8	12
2024	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	46	22	45.5	1.5	18	133	55.6	150	290	230	32	93.5	410.01	34.2	12
MEDIA	7.4	4	1.5	0	0.5	4.8	7.3	27.6	55.8	20.4	3.9	10.8	123.9	11.2	10.5
DESV.ST	12.8	6.9	7.2	0.2	2.9	21.8	12.8	31.4	72.7	49.1	7.9	20.6	102	8.4	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978												14.5	14.5	14.5	1
1979	92.5			0	0	0	8	0	52.5	0	0	8	161	16.1	10
1980	0	15	0	0	0	0	15	0	30	42	0	27	129	10.8	12
1981	69	2.6	4	1.5	0	0	0	0	0	67	0	0	144.1	12	12
1982	0	15	0	0	0		44	4	28.5	0	28.7	8.6	128.8	11.7	11
1983	13.9	0	54	0	0	0	13.5	254.2	24.6	18.5	12.5	30	421.2	35.1	12
1984	61.3	0	0	0	0	0	103.2	73.8	94.9	20.3	0	46.5	400	33.3	12
1985	81.2	0	0	0	0	0	0	17.5	0	4.5	4.7	0	107.9	9	12
1986	0	0	0	0.01		0.01	0.01	3.03	53		5.54	51	112.6	11.3	10
1987		0	0	0	0	0	15	0	27	20	0	0	62	5.6	11
1988	0	0.01	0	0	0	0	0			0	0	0.01	0.02	0	10
1989	37.01	35	0		0	0	8	10	0	0	0.01	15	105.02	9.5	11
1990	0.01	5.01	0	0	0	0	84	45	150	0	52.02	137.62	473.66	39.5	12
1991	6.5	14.61	8	0	0	0	0	0					29.11	3.6	8
1992						0	33	11	67	0		0	111	18.5	6
1993					0	0	0	65	78.5	0	17	13	173.5	21.7	8
1994		0	0	0	0	0	0	60	40.01	0	26	125	251.01	22.8	11
1995	10	11	0	0	0	0	0	15.01	17	0	0.02	0	53.03	4.4	12
1996	0	1	0	0	0	0	5	107.01	16.01	0	0.01	0	129.03	10.8	12
1997	12.01	0	0	0	0								12.01	2.4	5
1998	0	0	0	0	0	11.2	0	55	38.01	0		0	104.21	9.5	11
2001	0	0.5	0	0	0	0	0	19	118	6.5	0	0	144	12	12
2002	0	6	0	0	0	0	0	0	20.8	0	15	13.5	55.3	4.6	12
2003	4	0	0	0	0	0	22.5	93.8	174	0	0		294.3	26.8	11
2004	43.5	0	0	0	0	0	15	132	25	8	5	0.01	228.51	19	12
2005	15.01	24	0	0	0.01	6.5	0	60.01	0	3.51	0.01	0	109.05	9.1	12
2006	0	0	0	0	0	3.01	5.03	21.01	290	0	0	0.01	319.06	26.6	12
2007	0.02	0	0.1	0	0	0	0	20	39	29	22	20	130.12	10.8	12
2008	3.03	0	0	0	0	0	0	27.5	0	120	3	0.01	153.54	12.8	12
2009	0	0	0	0			1.51	21.5	178.5	39.02	0.01	2	242.54	24.3	10
2010	2	20	0	0	0	0	0.01	4.01	129	0.01	0	0	155.03	12.9	12
2011	0.01	0	0	0	0	32.01	0.01	0	0	0			32.03	3.2	10
2012	0.01	0.03	0	0	0	0	0	163.01	299	175.01	0	0.01	637.07	53.1	12
2013	0	0	0	0	0	0.01	2	235	25	230	0	5	497.01	41.4	12
