COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3136 
 NOMBRE    : LOS FILOS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.96666667 ° 
 LONGITUD  : -110.4666667 ° 
 ALTITUD   : 169 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978							0	10	50	26	0	4	90	15	6
1979	34	12	0	0	30	0	18.5	0	25	0	0	0	119.5	10	12
1980	0	1	0	0	0	0	20	15					36	4.5	8
1981			0	0	0	0							0	0	4
MÍNIMA	0	1	0	0	0	0	0	0	25	0	0	0	0	0	4
MÁXIMA	34	12	0	0	30	0	20	15	50	26	0	4	119.5	15	12
MEDIA	17	6.5	0	0	10	0	12.8	8.3	37.5	13	0	2	61.4	7.4	7.5
DESV.ST	24	7.8	0	0	17.3	0	11.1	7.6	17.7	18.4	0	2.8	53.6	6.5	3.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978							0	12	70.3	51.7	0	5	139	23.2	6
1979	56.5	21.5	0	0	30	0	18.5	0	47	0	0	0	173.5	14.5	12
1980	0	1	0	0	0	0	20	15					36	4.5	8
1981			0	0	0	0							0	0	4
MÍNIMA	0	1	0	0	0	0	0	0	47	0	0	0	0	0	4
