COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3137 
 NOMBRE    : LA SOLEDAD SUR 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.14333333 ° 
 LONGITUD  : -110.0011111 ° 
 ALTITUD   : 400 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978			0	0	0	0	23.5	6.5	6.5	50.5	0	10.5	97.5	9.8	10
1979	40.9	5.4	0	0	10	0	110	19	42	0	0	11	238.3	19.9	12
1980	0	1	5.5	0	0								6.5	1.3	5
1981		2	7	0	0	0	9.5	200	39	110	0		367.5	36.8	10
1982	0	0	0	1.5	0	0	44	39	180	9	10	45	328.5	27.4	12
1983	6	8	40	0	0	0	44	145	59	11	2.5	19	334.5	27.9	12
1984	26.5	0	0	0	0	0.01	60	78	50	48.5	0	29.5	292.51	24.4	12
1985	36	0	3	0	0	0	42	14.3	92	17.3	3.2	0	207.8	17.3	12
1986	0	0	0	11	0	0	16.1	35.5	6.9	30	0	2.9	102.4	8.5	12
1987	1.5	0	0	2.3	2	0	14.9	11.5	29.9	30	12	13	117.1	9.8	12
1988	0	0	0	0	0	0	5.4	26.9	4	0	0	0	36.3	3	12
1989	63.1	20	0	0	0		23.6	180	56	2	19.1		363.8	36.4	10
1990	7.5	0	0	0	0	2.2	66.6	53.7	45.5	60.8	20	63.5	319.8	26.6	12
1991	1.7	7.1	1.9	0	0	0	0	92.5	192.1	19.5	23.6	57.6	396	33	12
1992	27	6.3	11.4	0	0	0	19.8	29.9	56	8.7	1	41	201.1	16.8	12
1993	5.9	2	0	0	0	0	13.5	45.2	87	9	45	0	207.6	17.3	12
1994	0	0	0	0	0	0	0	56.4	17	29	57.9	23	183.3	15.3	12
1995	0	0	0	0	0	0	0	111.5	204.5	0	0	0	316	26.3	12
1996	0	0	0	0	0	0	0	53.9	169	18.8	1.9	0	243.6	20.3	12
1997	34.6	0	0	0	0	0.2	60	91	147	29	15.5	4.5	381.8	31.8	12
1998	0	7	0	0	0	0	15	65	327	12	0	0	426	35.5	12
1999	0	0	0	0	0	22	4.5	131.8	40	0	0	0	198.3	16.5	12
2000	0	0	0	0	0	5	8	60	43	3	10	0	129	10.8	12
2001	0	0	15.5	0	0	0	5	46	254	0.5		2	323	29.4	11
2002	0	0	0	0	0	0	32	0	30.3	2	15	0	79.3	6.6	12
2003	1	7	0	0	0	0	0	200	197	31	0	0	436	36.3	12
2004	14	11.5	0	0	0	0	20	71	35	18	0	1	170.5	14.2	12
2005	41.6	60	0	0	0	0	0	12.4	78	7.8	0	0	199.8	16.6	12
2006	3.4	0	0	0	0	0	96.3						99.7	14.2	7
2007	9	0	0	0	0	0	0	12.5	220	0	30	18	289.5	24.1	12
2008	0	0	0	0	0	0	1	43.3	86	20	0	0	150.3	12.5	12
2009	0	0	0	0	0	0	6.3	62.9	34	0	0	30	133.2	11.1	12
2010	0	8.5	0	0	0	0	16.5	39	29.5	0	0	0	93.5	7.8	12
2011	0	0	0	0	0	0	3.4	7	1.8	1	45	0	58.2	4.8	12
2012	0	2.3	0	0	0	0	16	55	44.8	140	0	20	278.1	23.2	12
2013	0	0	0	0	0	0	5.8	90	24	70	0	0	189.8	15.8	12
2014	0		0	0	0.5	0	63.5	50.5	300	8.5	0.9	0	423.9	38.5	11
