COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3138 
 NOMBRE    : LIGUI 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.73472222 ° 
 LONGITUD  : -111.2694444 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978												8.5	8.5	8.5	1
1979	64	2	0	0	0	0	2	0	61.5	0	0	3	132.5	11	12
1980	0	2	0	0	0	0	11	0	0	18	0	35	66	5.5	12
1981	26	4	2.5	0	2.5	0	3	6.5	65	40	0	0	149.5	12.5	12
1982	3.5	0.5	0	0	0	0	16	6.5	8	0	10	8	52.5	4.4	12
1983	3	0	35	1.5	0	0	32.5	37	23	5	0	23	160	13.3	12
1984	45.5	0	0.01	0	0	0.01	42.5	86	56	29	2.5	25.5	287.02	23.9	12
1985	35.5	0	0	0.01	0.01	0.01	30	0.01	0.01	9.5	1	0	76.05	6.3	12
1986	0	4.5	0	0	0	0			6	0	0	12.5	23	2.3	10
1987	0	0	0	1	0	0	0	1	60	3.5	2	0	67.5	5.6	12
1988	0	0	0	0	0	0	0	30	2	0	0	12	44	3.7	12
1989	20	42	0	0	0	0	3	0	0	0	6	16.5	87.5	7.3	12
1990	0	0	0	0	0	0	4.5	12	14	0	24	30	84.5	7	12
1991	11	7	0	0	0	0	0	1	33	0	87.5	29.5	169	14.1	12
1992	20	8	6	0	0	0	38	10.5	14.5	0	0	35	132	11	12
1993	82	2.9	0	0	0	0	0	100.2	24.5	5	42.5	14.5	271.6	22.6	12
1994	0	0	9.3	0	0	0	0	20	9.5	0	17.5	125	181.3	15.1	12
1995	0	2	0	0	0	0	0	25	29	0	11	0	67	5.6	12
1996	0	0.5	0	0	0	0	0	81.5	41	0	0	0	123	10.2	12
1997	15	0	0	0	2	1	7	68	308.5	0	7.5	4	413	34.4	12
1998	3	1	0	0	0	0.2	4.5	48	14	0	0	0	70.7	5.9	12
1999	0	0	0	0	0	0.5	0	26	100	0	0	0	126.5	10.5	12
2000	0	0	0	0	0	0	17.5	11.5			0	3	32	3.2	10
2001	0	0	0	0	0	0	0	6.5	138	0	0	3	147.5	12.3	12
2002	0	6	0	0	0	0	0	0	85	0	3.5	8	102.5	8.5	12
2003	3	7.5	0	2	0	0	25.5	220	322	1	0	0	581	48.4	12
2004	29	1.5	0	0	0	0	15	71	16	35	0	1.3	168.8	14.1	12
2005	33.5	21	2.5	0	0	0	0	8.5	0	15	0	1	81.5	6.8	12
2006	0	0	0	0	0	0	15	8.8	22	27	0	0	72.8	6.1	12
2007	2.5	0	0	0	0	0	0	0	118	0	16.5	7	144	12	12
2008	6	0	0	0	0	0	0	218.5	50.5	182.5	0	0	457.5	38.1	12
2009	1	0	0	0	0	1.5	5	0	111	42	0	0	160.5	13.4	12
2010	1	13	0	0	0	0	0	0	42	0	0	0	56	4.7	12
2011	0	0	0	0	0	0	0	0	0	0	11.5	0	11.5	1	12
2012	0	3.5	0	0	0	0	0	115	72	202	0	0	392.5	32.7	12
2013	0	0	0	0	0	0	1.5	105	38	138	0	0	282.5	23.5	12
2014	0	0	0	0	0	0	36	65	108	25	0	0	234	19.5	12
2015	12	13	6	13	0	17	28	22	60	15	0	0	186	15.5	12
2016	0	0	0	0	0	0	0	20	100	0	0	2	122	10.2	12
2017	0	8	0	0	0	0	7	0	72	0	0	0	87	7.2	12
2018	0	0	0	0	0	10	0	0.6	0.5	0	0	0	11.1	0.9	12
2019	20	0	0		0	0	0	35	33	20	45	0	153	13.9	11
2020	3	0	3	0	16	0	0	14	0	12	0	0	48	4	12
2021	7	0	0	0	0	0	0	0	0.01	0	0	0	7.01	0.6	12
2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2023	0		0	0	0	0	0	14	0	140			154	17.1	9
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	82	42	35	13	16	17	42.5	220	322	202	87.5	125	581	48.4	12
MEDIA	9.9	3.4	1.4	0.4	0.5	0.7	7.8	34	51.3	21.9	6.5	9.1	141	12.1	11.6
DESV.ST	18	7.4	5.5	2	2.4	2.9	12.4	52.2	69.7	48.2	16.2	20.5	124.5	10.3	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978												15.5	15.5	15.5	1
1979	86	2	0	0	0	0	2	0	103	0	0	3	196	16.3	12
1980	0	4.5	0	0	0	0	11	0	0	19.5	0	66	101	8.4	12
1981	70	4	4	0	2.5	0	3	13.5	92	53	0	0	242	20.2	12
1982	5	0.5	0	0	0	0	16	6.5	10	0	23.5	16	77.5	6.5	12
1983	5	0	50	1.5	0	0	32.5	63	38	5	0	23	218	18.2	12
1984	64	0	0.01	0	0	0.02	75.01	139	111.02	29.52	2.5	26.54	447.62	37.3	12
1985	79.5	0	0	0.01	0.01	0.01	30	0.01	0.01	9.5	1	0	120.05	10	12
1986	0	4.5	0	0	0	0			14	0	0	14.5	33	3.3	10
1987	0	0	0	1	0	0	0	1	107	3.5	2	0	114.5	9.5	12
1988	0	0	0	0	0	0	0	32.5	2	0	0	12	46.5	3.9	12
1989	43	55	0	0	0	0	3	0	0	0	6	29.1	136.1	11.3	12
1990	0	0	0	0	0	0	12	16	29	0	38	57.5	152.5	12.7	12
1991	14.5	18	0	0	0	0	0	1	93	0	157.5	40.5	324.5	27	12
1992	53.5	15.5	7	0	0	0	38	20	35.5	0	0	56.5	226	18.8	12
1993	87	5.4	0	0	0	0	0	122.2	41.5	7	51	15.5	329.6	27.5	12
1994	0	0	9.3	0	0	0	0	48.3	9.5	0	19	159	245.1	20.4	12
1995	0	3	0	0	0	0	0	28	49	0	13	0	93	7.8	12
1996	0	0.5	0	0	0	0	0	138	56	0	0	0	194.5	16.2	12
1997	25	0	0	0	2	1	9	94	510.5	0	9.5	6	657	54.8	12
1998	3	1	0	0	0	0.2	8	59	16.5	0	0	0	87.7	7.3	12
1999	0	0	0	0	0	0.5	0	37.5	105	0	0	0	143	11.9	12
2000	0	0	0	0	0	0	17.5	24.5			0	3	45	4.5	10
2001	0	0	0	0	0	0	0	6.5	232.3	0	0	3	241.8	20.2	12
2002	0	8.5	0	0	0	0	0	0	119.1	0	8	15.5	151.1	12.6	12
2003	3	12	0	2	0	0	26.5	267	355.5	1	0	0	667	55.6	12
2004	39	1.5	0	0	0	0	15.3	71	33.9	93	0	1.4	255.1	21.3	12
2005	54.5	27.5	2.5	0	0	0	0	14.7	0	15	0	1	115.2	9.6	12
2006	0	0	0	0	0	0	17.9	9.3	37	35.5	0	0	99.7	8.3	12
2007	4.6	0	0	0	0	0	0	0	124	0	19.5	7	155.1	12.9	12
2008	6	0	0	0	0	0	0	218.5	59.5	182.5	0	0	466.5	38.9	12
2009	1	0	0	0	0	2.5	9.5	0	119	56	0	0	188	15.7	12
2010	2	13	0	0	0	0	0	0	42	0	0	0	57	4.8	12
2011	0	0	0	0	0	0	0	0	0	0	26	0	26	2.2	12
2012	0	3.5	0	0	0	0	0	214.5	154.5	324	0	0	696.5	58	12
