COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3140 
 NOMBRE    : SAN JUAN DE LA COSTA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 24.375 ° 
 LONGITUD  : -110.6916667 ° 
 ALTITUD   : 30 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978						0	0	0	20	12	0	5	37	5.3	7
1979	30	11.5	0	0	13.5	0	5	0	38		0	0	98	8.9	11
1980	0	2	0	0	0	0	0	0			0	0	2	0.2	10
1981	7	0	9	0	0	0	0	2	11	26	0	0	55	4.6	12
1982	0	0	0		0	0	0	0	28	0	23	65	116	10.5	11
1983	0	0	3	0	0	0	0	10	0	0	0	0	13	1.1	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	2	0.2	7
MÁXIMA	30	11.5	9	0	13.5	0	5	10	38	26	23	65	116	10.5	12
MEDIA	7.4	2.7	2.4	0	2.7	0	0.8	2	19.4	9.5	3.8	11.7	53.5	5.1	10.5
DESV.ST	13	5	3.9	0	6	0	2	4	14.7	12.4	9.4	26.2	45.7	4.1	1.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978						0	0	0	63	12	0	5	80	11.4	7
1979	61	13.5	0	0	13.5	0	5	0	61		0	0	154	14	11
1980	0	2	0	0	0	0	0	0			0	0	2	0.2	10
1981	26	0	9	0	0	0	0	2	20	36	0	0	93	7.8	12
1982	0	0	0		0	0	0	0	42	0	23	115	180	16.4	11
1983	0	0	3	0	0	0	0	15	0	0	0	0	18	1.5	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	2	0.2	7
MÁXIMA	61	13.5	9	0	13.5	0	5	15	63	36	23	115	180	16.4	12
MEDIA	17.4	3.1	2.4	0	2.7	0	0.8	2.8	37.2	12	3.8	20	87.8	8.5	10.5
DESV.ST	26.8	5.9	3.9	0	6	0	2	6	27.1	17	9.4	46.6	71	6.6	1.9

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978						297.3	303.8	282.8	209.9	196.4	156.5	123.3	1570	224.3	7
1979	102.1	102	176.6	225.8	250	254.8	281.2	271.9	229		158.8		2052.2	205.2	10
1980	108.5	131.3	189.7	161.5	172.6	161.9	261.7				139.5		1326.7	165.8	8
1982					88.9	132.4	155.3	74.2	124.7				575.5	115.1	5
MÍNIMA	102.1	102	176.6	161.5	88.9	132.4	155.3	74.2	124.7	196.4	139.5	123.3	575.5	115.1	5
MÁXIMA	108.5	131.3	189.7	225.8	250	297.3	303.8	282.8	229	196.4	158.8	123.3	2052.2	224.3	10
MEDIA	105.3	116.6	183.1	193.6	170.5	211.6	250.5	209.6	187.9	196.4	151.6	123.3	1381.1	177.6	7.5
DESV.ST	4.5	20.7	9.3	45.5	80.6	77.4	65.8	117.4	55.5		10.5		615.9	48.3	2.1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978						34.5	34	34.5	32.8	31.8	27.2	23.5		31.2	7
1979	21.3	22.2	24.9	28.7	29	32.1	34.4	34.9	33.5		29.2	21.7		28.4	11
1980	23.3	24.2	27.4	28.9	28.4	34	34.4	34.5			26.3	25.1		28.6	10
1981	23.3	25.4	25.2	28.1	28.6	31.3	33.8	33.1	32.9	32.4	32.2	29.8		29.7	12
1982	29.4	28.8			31.1	33.2	34.1	35.1	33.7	32.7	31.2	31.8		32.1	10
1983	31	31.3	34.5	35.2		40.4	44	42.9	39.5	41.2	37.9	34.4		37.5	11
MÍNIMA	21.3	22.2	24.9	28.1	28.4	31.3	33.8	33.1	32.8	31.8	26.3	21.7		28.4	7
MÁXIMA	31	31.3	34.5	35.2	31.1	40.4	44	42.9	39.5	41.2	37.9	34.4		37.5	12
MEDIA	25.7	26.4	28	30.2	29.3	34.2	35.8	35.8	34.5	34.5	30.7	27.7		31.2	10.2
DESV.ST	4.3	3.6	4.5	3.3	1.2	3.2	4	3.5	2.8	4.5	4.2	5		3.4	1.7

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978						39	38	40	35	37	33	28		35.7	7
1979	27	28	30	35	34	36	38	40	37		33	31		33.5	11
1980	30	28	32	35	33	40	38	40			30	29		33.5	10
1981	25	30	30	34	34	36	37	35	37	36	37	32		33.6	12
1982	32	31			35	37	37	37	37	36	35	35		35.2	10
1983	34	32	36	36		48	46	45	42	42	40	38		39.9	11
MÍNIMA	25	28	30	34	33	36	37	35	35	36	30	28		33.5	7
MÁXIMA	34	32	36	36	35	48	46	45	42	42	40	38		39.9	12
MEDIA	29.6	29.8	32	35	34	39.3	39	39.5	37.6	37.8	34.7	32.2		35.2	10.2
DESV.ST	3.6	1.8	2.8	0.8	0.8	4.5	3.5	3.4	2.6	2.9	3.5	3.8		2.5	1.7

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978						21.5	25.5	25	22.5	21.2	17	14.1		21	7
1979	11.9	11.9	14.3	15.9	17.1	20.5	23.9	25	24.5		9.9	10.2		16.8	11
