COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3144 
 NOMBRE    : MANGLE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.34583333 ° 
 LONGITUD  : -109.6458333 ° 
 ALTITUD   : 285 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				0	0	0	29	35	40	20	2	8	134	14.9	9
1979	10			0	3	0	8.5	37	105	0	0	6	169.5	17	10
1980	0	0	3		0	0	22.5	8					33.5	4.8	7
1981								43.5	122.5	100.5	0	0	266.5	53.3	5
1982	0	0	0	0	0	0	20	4	174.5	0	45.5	77.5	321.5	26.8	12
1983	26.5	0	25.5	0	0	0	28.5	27.5	25	38	18.2	0	189.2	15.8	12
1984	28	8	0	0	0	10.5	45.7	25.5	43.5		0	47.5	208.7	19	11
1985	0	0	0	0	0	0	40	58	59.7	75.4	0	0	233.1	19.4	12
1986		20	0	5.2	0	0	50.6	38.4	58.4	47.5	0	0.1	220.2	20	11
1987	3.4	0	0.2	0	0	0	40	35	18.4	72.8	27.2	3.1	200.1	16.7	12
1988	0	0	0	0	0	0	2.9	13.8	0	16.3	0	0	33	2.8	12
1989	45.2	0	0	0	0	0	38.2	59.1	40.1	13.3	23.3	7	226.2	18.9	12
1990	9.2	0	0	0	0	0	84.5	79.5	87.2	124	13.4	40.4	438.2	36.5	12
1991	1	2.5	0			0	22.5	42.7	148.8	15	74.7	45.3	352.5	35.2	10
1992	25	21	0	0	0	0	23.5	20	40.2	38	20.5	41.5	229.7	19.1	12
1993	4	0	0	0	0			46.5	73.3	42.5	211.2	0	377.5	37.8	10
1994	0	0	0	0	0	0	17.3	21.5	62	12.2	75.3	21	209.3	17.4	12
1995	0	2	0	0	0	0	0	38.5	209		0	0	249.5	22.7	11
1996	0	0	0	2	0	0	3	46.5	142.5	3	56.5	0	253.5	21.1	12
1997		35.5	0	4	0	3.5	86.3	118.5	123	23.5	8.3	0	402.6	36.6	11
1998	2	0	0	0	0	0	29	120	360.3		10	0	521.3	47.4	11
1999	0	0		0	0	2	9.2	65	35	22.5	0	0	133.7	12.2	11
2000	0	0	0	0	0	7.5	41.8	24.5	82.2	21	20.3	0	197.3	16.4	12
2001	0	0	6	0	2	0	41	64.6	445.5	45	1		605.1	55	11
2002	0	10.5	0	0	0	0	20	16.4	34	20	18.5	0	119.4	9.9	12
2003	0	6.5	0	0	0	0	27	135	221	11.5	0	0	401	33.4	12
2004	20	0	0	0	0	0	40	55	64.5	18.5	0	0	198	16.5	12
2005	5	38.2	2	0	0	0	57	115	30.7	19.4	0	3	270.3	22.5	12
2006	1.8	0	0	0	0	0	131.5	95.3	161.3	15.3	0	0	405.2	33.8	12
2007	5	0	0	0	0	0	2	10.7	152	0	10.3	5.2	185.2	15.4	12
2008	0	0	0	0	0	0			48.7	9.5	0	3	61.2	6.1	10
2009	0	0	0	0	5.5	13	0	38		40	0	25	121.5	11	11
2010	0	0	4	20		0			65.5	12	0	0	101.5	11.3	9
2011	0	0	0	0	0	0	23	37	38.3	58.3	2	0	158.6	13.2	12
2012		0.01	0	0	0	0.01	23	63	63.3	67.4	11		227.72	22.8	10
2013	0	0	0	0	0	0	31	56.3	63.3	106.5	17.5	0	274.6	22.9	12
2014	0	0	0	0	0	0	38.5	13.5	290	7.5	10.8	0	360.3	30	12
2015	4	20.3	13.5	0	3	25.3	20.5	25.3	40.2	24.5	33.4	0	210	17.5	12
2016	0	0	0	0	0	0	2	68.5	95.7	24	0	0.01	190.21	15.9	12
2017	0	3	0	0	0	0	62.3	306	48	27.3	0	0	446.6	37.2	12
2018	0.5	13.5	0	0	0	73.3	9.3	54.4	40.3	24.4	10.3	23	249	20.8	12
2019	4.2	0	0	0	0	0	0	115	78.5	105	143	0	445.7	37.1	12
2020	0	24.3	0	0	0	0	20	138.4	14	15.3	0	0	212	17.7	12
2021	4	0	0	0	0	15.2	23	67.5	305.4	29	5.3	0	449.4	37.4	12
2022	8.3	0	0	0	0	20.3	25.3	41	81	0.01	0	0	175.91	14.7	12
2023	0	0	0	0	0		20	64	20.5	23.5	31	0	159	14.5	11
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5
MÁXIMA	45.2	38.2	25.5	20	5.5	73.3	131.5	306	445.5	124	211.2	77.5	605.1	55	12
MEDIA	4.9	4.7	1.3	0.7	0.3	4	30	58.8	101.2	33.1	20	8.3	247.4	22.3	11.1
DESV.ST	9.8	9.7	4.4	3.1	1.1	12.3	26	51.6	96.5	31.2	39.8	17.3	131.8	12.4	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				0	0	0	80.5	71	194.3	57	2	10	414.8	46.1	9
1979	19			0	3	0	8.5	84.5	176	0	0	8	299	29.9	10
1980	0	0	3		0	0	29.5	28					60.5	8.6	7
1981								106.5	199.5	154.5	0	0	460.5	92.1	5
1982	0	0	0	0	0	0	24	12	354.5	0	46.5	86	523	43.6	12
1983	81	0	29.5	0	0	0	87.5	72	107.5	81	30	0	488.5	40.7	12
1984	73.9	8	0	0	0	10.5	262.1	110.3	94.5		0	56.3	615.6	56	11
1985	0	0	0	0	0	0	60.5	114	124.6	75.4	0	0	374.5	31.2	12
1986		20	0	5.2	0	0	81.8	105.2	103.3	140.7	0	0.1	456.3	41.5	11
1987	3.4	0	0.2	0	0	0	90.1	93.1	48.4	99.7	37.5	3.1	375.5	31.3	12
1988	0	0	0	0	0	0	5.4	13.8	0	23.1	0	0	42.3	3.5	12
1989	53.4	0	0	0	0	0	56.5	270.2	69.8	20.8	29.9	7.02	507.62	42.3	12
1990	9.2	0	0	0	0	0	238.9	329	233.7	143.2	15.7	61.4	1031.1	85.9	12
1991	1	2.5	0			0	22.5	55.4	210.6	33.8	147	52.6	525.4	52.5	10
1992	63.8	21	0	0	0	0	26.5	81.8	94.9	48.3	23	43.5	402.8	33.6	12
1993	4	0	0	0	0			114.4	276.6	91.9	275.8	0	762.7	76.3	10
1994	0	0	0	0	0	0	17.3	107.5	99.5	26.7	92.9	23	366.9	30.6	12
1995	0	2	0	0	0	0	0	236.9	440.3		0	0	679.2	61.7	11
1996	0	0	0	2	0	0	3	141.3	186.7	4.5	56.5	0	394	32.8	12
1997		35.5	0	4	0	3.5	140	159.8	256.5	37.8	11.3	0	648.4	58.9	11
1998	2	0	0	0	0	0	52	341.7	475.1		10	0	880.8	80.1	11
1999	0	0		0	0	2	9.2	149.8	71	28.2	0	0	260.2	23.7	11
2000	0	0	0	0	0	7.5	58.7	45	172.7	86.5	27.6	0	398	33.2	12
2001	0	0	10	0	2	0	41	85.3	747.5	45	1		931.8	84.7	11
2002	0	13	0	0	0	0	20	49.4	89.1	48.5	21.5	0	241.5	20.1	12
2003	0	6.5	0	0	0	0	28.5	241	387.5	11.5	0	0	675	56.2	12
2004	59.3	0	0	0	0	0	63	104.7	192.3	34	0	0	453.3	37.8	12
2005	5	39.2	2	0	0	0	57	184.9	63.2	24.1	0	3	378.4	31.5	12
2006	1.8	0	0	0	0	0	550.6	215.8	318.9	35.6	0	0	1122.7	93.6	12
2007	13	0	0	0	0	0	2	29	290.5	0	10.3	5.2	350	29.2	12
2008	0	0	0	0	0	0			169	20.8	0	3	192.8	19.3	10
2009	0	0	0	0	5.5	13	0	122.8		90	0	30	261.3	23.8	11
2010	0	0	4	27		0			166.5	12	0	0	209.5	23.3	9
2011	0	0	0	0	0	0	23	69.5	77.8	64.6	3	0	237.9	19.8	12
2012		0.01	0	0	0	0.01	28.01	236.1	141.5	130.9	11		547.53	54.8	10
2013	0	0	0	0	0	0	31	93.6	145	111.9	32.2	0	413.7	34.5	12
2014	0	0	0	0	0	0	161.7	64.9	683.9	13.2	13.4	0	937.1	78.1	12
