COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3146 
 NOMBRE    : SANTA RITA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.59027778 ° 
 LONGITUD  : -111.4638889 ° 
 ALTITUD   : 45 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978		6.5	0	0	0	0	4	0	6	13	0	8.5	38	3.5	11
1979	54	12	0	0	0	0	2	0	32	0	0	0	100	8.3	12
1980	0	40	0	0	0	0	0	0	0	0	0	13	53	4.4	12
1981	16	3	12	0	0	0	0	0	10	10	0	0	51	4.2	12
1982	0	0	0	0	0	0	0	0	0	0	3	13	16	1.3	12
1983	4.5	2	6	0	0	0	36	30	97	0	0	60	235.5	19.6	12
1984	20	0	0	0	0	0	32	37	25	10	0	32.1	156.1	13	12
1985	5	0	0	0	0	0	0	8.5	0	0	0.7	0	14.2	1.2	12
1986	0.3	0.7	0	9.5	0	0	0	5.3	2	0	0	1.2	19	1.6	12
1987	0	0	0	0	0	0	0	5	15	0	14	0	34	2.8	12
1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1989	13.5	43	0	0	0	0	0	20	0	0	0	43	119.5	10	12
1990	0	0	0	0	0	0	20	8		36	8	76	148	13.5	11
1991		18	0	0	0	0	0	0	0	0	5	70	93	8.5	11
1992	22	58	28	0	0			6	0	0	0	56	170	17	10
1993	68	3	0	0	0	0	0	83	0	0	0		154	14	11
1994	0	0	0	0	0	0	0	20	0	0	38	60	118	9.8	12
1995	0	3	0	0	0	0	0	0	0	0	0	0	3	0.2	12
1996	0	0	0	0	0	0	0	12	20	0	0		32	2.9	11
1997	22	0	0	0	3	0	0	22	50	3	5	0	105	8.8	12
1998	0	8	0	0	0	0	0	6			0	0	14	1.4	10
1999	0	0	0	3	0	2	2	0	5	0	0		12	1.1	11
2000	0	0	0	0	0	0	0	0	28	13	5	0	46	3.8	12
2001	0	0	0	0	0	0	0	5	15	5	0	0	25	2.1	12
2002	0	0	0	0	0	0	0	0	0	0	9	18	27	2.2	12
2003	4	25	0	3	0	0	0	30	60	0	0	10	132	11	12
2004	0	0	0	0	0	0	0	20	80	0	6	0	106	8.8	12
2005	15	18	0	8	0	8		0	5	0	0	0	54	4.9	11
2006	0	0	0	0	0	0	0	20	25	0		0.2	45.2	4.1	11
2007	5	3	0	0	0	0	0	0	15	0	5	3	31	2.6	12
2008	0	0	0	0	5	0	8	10	59	25	0	0	107	8.9	12
2009	0	0	0	0	0	8	0	48	335	105	0	0	496	41.3	12
2010	0	0	0	0	0	0	0	20	20	0	0	5	45	3.8	12
2011	0	0	0	3	0	3	5	8	0	0	18	0	37	3.1	12
2012	0	0	0	0	0	0	0	27	63	83	0		173	15.7	11
2013	0	0	0	0	0	0	15	27	0	32	5	8	87	7.2	12
2014	0	0	0	0	0	0	5	0	84	9	8	9	115	9.6	12
2015	21	7	22	5	3	5	8	0	85	135	0	0	291	24.2	12
2016	3	0	0	9	0	0	0	68	60	20	27	12	199	16.6	12
2017	0	12.5	0	0	0	0	0	30	22	0	0	0	64.5	5.4	12
2018	0	5	0		0	0	0	0	45	5	0	5	60	5.5	11
2019					0	0	0	6	0	59	43	0	108	13.5	8
2020	0	0	3	0	0	0	0	5	10	32	5	4	59	4.9	12
2021	6	0	0	0	3	0	8	0	32	8	0	6	63	5.2	12
2022	3	3	0	3	6	4	4	3	86	0	0	0	112	9.3	12
2023	0	0	0	0	0	0	4	61	0	0	0	0	65	5.4	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MÁXIMA	68	58	28	9.5	6	8	36	83	335	135	43	76	496	41.3	12
MEDIA	6.6	6	1.6	1	0.4	0.7	3.5	14.1	31.6	13.4	4.5	12.2	92	8	11.6
DESV.ST	14.1	12.6	5.5	2.4	1.3	1.9	7.9	19.4	55.2	28.9	9.6	21.4	88.2	7.5	0.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978		6.5	0	0	0	0	4	0	6	14.5	0	8.5	39.5	3.6	11
1979	75	13	0	0	0	0	2	0	45	0	0	0	135	11.2	12
1980	0	59	0	0	0	0	0	0	0	0	0	16	75	6.2	12
1981	44	3	18.4	0	0	0	0	0	10	10	0	0	85.4	7.1	12
1982	0	0	0	0	0	0	0	0	0	0	3	16	19	1.6	12
1983	6.5	2	10	0	0	0	80	58	109	0	0	60	325.5	27.1	12
1984	24	0	0	0	0	0	60	84	71	10	0	66.6	315.6	26.3	12
1985	11	0	0	0	0	0	0	15.5	0	0	0.9	0	27.4	2.3	12
1986	0.3	0.7	0	9.5	0	0	0	5.3	2	0	0	1.2	19	1.6	12
1987	0	0	0	0	0	0	0	5	32	0	14	0	51	4.2	12
1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1989	22	43	0	0	0	0	0	20	0	0	0	43	128	10.7	12
1990	0	0	0	0	0	0	20	8		36	20	89	173	15.7	11
1991		30	0	0	0	0	0	0	0	0	5	80	115	10.5	11
1992	54	58	28	0	0			6	0	0	0	56	202	20.2	10
1993	68	3	0	0	0	0	0	83	0	0	0		154	14	11
1994	0	0	0	0	0	0	0	20	0	0	38	98	156	13	12
1995	0	3	0	0	0	0	0	0	0	0	0	0	3	0.2	12
1996	0	0	0	0	0	0	0	12	30	0	0		42	3.8	11
1997	42	0	0	0	3	0	0	29	95	5	5	0	179	14.9	12
1998	0	19	0	0	0	0	0	15			0	0	34	3.4	10
1999	0	0	0	3	0	2	2	0	9	0	0		16	1.5	11
2000	0	0	0	0	0	0	0	0	64	28	5	0	97	8.1	12
2001	0	0	0	0	0	0	0	5	35	5	0	0	45	3.8	12
2002	0	0	0	0	0	0	0	0	0	0	16	18	34	2.8	12
2003	7	35	0	7	0	0	0	95	164	0	0	10	318	26.5	12
2004	0	0	0	0	0	0	0	30	188	0	16	0	234	19.5	12
2005	45	31	0	8	0	11		0	8	0	0	0	103	9.4	11
2006	0	0	0	0	0	0	0	20	68	0		0.2	88.2	8	11
2007	8	5	0	0	0	0	0	0	42	0	8	3	66	5.5	12
