COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3148 
 NOMBRE    : EL MEZQUITAL 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.41111111 ° 
 LONGITUD  : -112.5777778 ° 
 ALTITUD   : 450 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978												6.5	6.5	6.5	1
1979	63.2	1	1	0	26.3	0	0	0	0	0	0		91.5	8.3	11
1980	5	6	0	0	0	0	9	0	0	0	0	0	20	1.7	12
1981	23	9	0	0	0	0	0	0	0	0	0	0	32	2.7	12
1982	0	0	0	0	0	0	13.4	0	0	0	0	0	13.4	1.1	12
1983	0	0	16.5	0	0		30.5	34	35	0	0	13.5	129.5	11.8	11
1984	8	0	0	0	0	0	24	27.5	23.5	0	0	9.5	92.5	7.7	12
1985	0	0	0	0	0	0	6.5	17	0	18.5	0	0	42	3.5	12
1986	0	4.5	0	4.5	2.5	0			0		9.5	12	33	3.7	9
1987	3.5	16.5	0	0	0	0	0	0	20.5	0	0	0	40.5	3.4	12
1988	0	0	0	0	0	0	0	38.5	10	4.5	0	16.5	69.5	5.8	12
1989	12.5	0	0		0	0	0	7.5	8	6.5	0	9.5	44	4	11
1990	7.5	0	0	0	0	0	32	29.5	43	15	0	44.5	171.5	14.3	12
1991	0	27		0	0	0	0	0	10.5	0	27	18	82.5	7.5	11
1992	40	49	0	0		0	2	180	0	0	0	19.5	290.5	26.4	11
1993	40	24.5	0	0	0	0	0	40.5	9	0	0	22.5	136.5	11.4	12
1994	0	3	0	0	0	0	0	26	13	0	29	55	126	10.5	12
1995	18	18	0	0	0	0	22	23	0	5	4	0	90	7.5	12
1996	0	11	6	0	0	0	21.5	15	0	0	0	0	53.5	4.5	12
1997	0	0	0	5	0	0	0	0	44	0	7	37.5	93.5	7.8	12
1998	0	14	0	0	0	0	28.5	80	0	0	0	0	122.5	10.2	12
1999	0	0	0	0	0	0	0	28	0	0	0	0	28	2.3	12
2000	0	0	10.5	0	0	0	0	14	19	39.5	0	0	83	6.9	12
2001	0	0	0	0	0	0	0	20.5	118	0	0	0	138.5	11.5	12
2002	0	12	0	0	0	0	0	0	2	0	0	29	43	3.6	12
2003	0	13	0	0	0	0	31	51	60	16	7	0	178	14.8	12
2004	7	25	5	0	0	0	8	15	45	0	0	19	124	10.3	12
2005	25	14	0	0	0	0	18	18	0	17	0	0	92	7.7	12
2006	0	0	0	0	0	20	16	17	21	132	0	0	206	17.2	12
2007	0	0	0	0	0	0	0	0	0	46	0	0	46	3.8	12
2008	0	0	0	0	0	0	0	120	0	0	25	0	145	12.1	12
2009	5	0	0	0	0	0	7	0	200	0	0	0	212	17.7	12
2010	20	20	0	0	0	0	0	0	0	0	0	0	40	3.3	12
2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2012	0	0	0	0	0	0	0	97	0	0	0	0	97	8.1	12
2013	20	0	0	0	0	0	7	18	0	0	12	4	61	5.1	12
2014	0	0	0	0	0	0	45	247	200	14	0	0	506	42.2	12
2015	0	24	7	17	0	80	40	27	27	0	0	0	222	18.5	12
2016	0	0	3	0	0	0	0	0	95	18	0	30	146	12.2	12
2017	6	0	0	0	0	0	0	0	222	0	0	0	228	19	12
2018	0	0	0	0	0	0	0	0	20	36	0	0	56	4.7	12
2019	13	4	0	0	0	0	7	17	7	30			78	7.8	10
2020	0	0	24	0	0	0	0	0		0	7	0	31	2.8	11
2021	21	0	0	0	0	0	45	15	0	0	0	27	108	9	12
2022	0	0	0	0	0	0	0	20	40	0	0	4	64	5.3	12
2023	0.5	7	0	0	0	5.2	5.2	118	12	2		0	149.9	13.6	11
2024	0	0	0	0									0	0	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	63.2	49	24	17	26.3	80	45	247	222	132	29	55	506	42.2	12
MEDIA	7.4	6.6	1.6	0.6	0.7	2.4	9.5	30.9	29.6	9.1	3	8.6	103.5	8.9	11.3
DESV.ST	13.3	10.5	4.7	2.7	4	12.4	13.7	50.6	54.9	22.3	7.3	13.7	89.7	7.5	2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978												13	13	13	1
1979	119.6	1	1	0	26.3	0	0	0	0	0	0		147.9	13.4	11
1980	5	10	0	0	0	0	9	0	0	0	0	0	24	2	12
1981	23	14.5	0	0	0	0	0	0	0	0	0	0	37.5	3.1	12
1982	0	0	0	0	0	0	15.1	0	0	0	0	0	15.1	1.3	12
1983	0	0	16.5	0	0		45.5	101	72	0	0	13.5	248.5	22.6	11
1984	8	0	0	0	0	0	60	34.5	23.51	0	0	18	144.01	12	12
1985	0	0	0	0	0	0	6.5	17	0	18.5	0	0	42	3.5	12
1986	0	4.5	0	4.5	2.5	0			0		9.5	12	33	3.7	9
1987	3.5	27.5	0	0	0	0	0	0	34	0	0	0	65	5.4	12
1988	0	0	0	0	0	0	0	59	12	4.5	0	23	98.5	8.2	12
1989	12.5	0	0		0	0	0	7.5	9	6.5	0	16	51.5	4.7	11
1990	7.5	0	0	0	0	0	32	68	118.5	29	0	65	320	26.7	12
1991	0	45.5		0	0	0	0	0	10.5	0	51	29.5	136.5	12.4	11
1992	40	87	0	0		0	2	226	0	0	0	19.5	374.5	34	11
1993	76.5	45	0	0	0	0	0	40.5	15	0	0	22.5	199.5	16.6	12
1994	0	3	0	0	0	0	0	68	13	0	31	82	197	16.4	12
1995	23	18	0	0	0	0	29	31	0	5	4	0	110	9.2	12
1996	0	14.5	6	0	0	0	21.5	15	0	0	0	0	57	4.8	12
1997	0	0	0	5	0	0	0	0	67	0	14	44.5	130.5	10.9	12
1998	0	14	0	0	0	0	28.5	94	0	0	0	0	136.5	11.4	12
1999	0	0	0	0	0	0	0	66	0	0	0	0	66	5.5	12
2000	0	0	10.5	0	0	0	0	26.5	19	47.5	0	0	103.5	8.6	12
2001	0	0	0	0	0	0	0	25	168	0	0	0	193	16.1	12
2002	0	12	0	0	0	0	0	0	2	0	0	35	49	4.1	12
2003	0	16	0	0	0	0	31	119	60	16	7	0	249	20.8	12
2004	12	34	5	0	0	0	8	20	99	0	0	19	197	16.4	12
2005	31	14	0	0	0	0	18	42	0	17	0	0	122	10.2	12
2006	0	0	0	0	0	20	16	17	23	147	0	0	223	18.6	12
2007	0	0	0	0	0	0	0	0	0	46	0	0	46	3.8	12
2008	0	0	0	0	0	0	0	135	0	0	25	0	160	13.3	12
2009	5	0	0	0	0	0	7	0	271.5	0	0	0	283.5	23.6	12
2010	20	20	0	0	0	0	0	0	0	0	0	0	40	3.3	12
2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2012	0	0	0	0	0	0	0	192	0	0	0	0	192	16	12
2013	20	0	0	0	0	0	7	65	0	0	12	8	112	9.3	12
2014	0	0	0	0	0	0	45	437	240	14	0	0	736	61.3	12
2015	0	37	7	17	0	80	76	27	47	0	0	0	291	24.2	12
2016	0	0	3	0	0	0	0	0	99	18	0	30	150	12.5	12
2017	6	0	0	0	0	0	0	0	222	0	0	0	228	19	12
2018	0	0	0	0	0	0	0	0	20	36	0	0	56	4.7	12
2019	13	4	0	0	0	0	7	18	16	48			106	10.6	10
2020	0	0	30	0	0	0	0	0		0	11	0	41	3.7	11
2021	21	0	0	0	0	0	45	15	0	0	0	27	108	9	12
2022	0	0	0	0	0	0	0	21.2	115	0	0	4	140.2	11.7	12
2023	0.5	12	0	0	0	5.2	5.2	124	14	2		0	162.9	14.8	11
2024	0	0	0	0									0	0	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	119.6	87	30	17	26.3	80	76	437	271.5	147	51	82	736	61.3	12
MEDIA	9.7	9.4	1.8	0.6	0.7	2.4	11.7	48	40.7	10.3	3.8	10.9	141.2	12.3	11.3
DESV.ST	21.8	17.1	5.4	2.7	4	12.4	18.5	80.1	68.6	25.2	10	18.2	126.3	10.5	2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2019								0.02					0.02	0	1
MÍNIMA								0.02					0.02	0	1
MÁXIMA								0.02					0.02	0	1
MEDIA								0					0	0	1
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979	20.2		24.8	25.8	31.7	34.3	35.6	33.5	31.9	29	25			29.2	10
1980	18.5	20	20.5	28.8	29.5	35.6	36.7	34	31.7	28.5	23.5	22.4		27.5	12
1981	22	23.6	17	24.4	26.5	30.9	34.4	35.6	33.5	30.5	27.1	23.6		27.4	12
1982	19.9	22.1	24.6	29.9	29.5	32.8	33.1	34.9	34.8	30.4	21.3	17.7		27.6	12
1983	19.8	23.4	22.1	24.8	32.9		36.1	32.3	34	30.5	23	23.8		27.5	11
1984	23.4	23.6	27.5	27.7	32.8	35.4	33.5	33.8	34.3	30.1	23.7	23.2		29.1	12
1985	19.5	22.9	24.6	29.9	31.3	35.3	36.4	36.6	34.5	25.6	30	22		29	12
1986	25.7	24	25.8	27.2	30.5	35.5			31		27.1	23		27.8	9
1987	21.4	21.6	23.3	27.2	27.9	35.6	35.8	35.1	33.9	32.7	25.5	22.7		28.6	12
1988	24.4	24.3	26.9	25.6	29.6	32.7	34.3	37	32.7	29.8	24.5	20.1		28.5	12
1989	19.5	23.9	29.2		30.8	33	36.2	34	34	31.5	27	21.4		29.1	11
1990	21.3	20.2	25.3	29.1	28.3	37	35.2	33.4	32.8	31.5	24.9	21.8		28.4	12
1991	21.4	24.8		27.2	31.5	32.7	34	37.5	37.3	30.7	25.8	19.7		29.3	11
1992	19.9	21.7	27.2	30.6		32.7	37.6	36.3	35.4	31.9	25.2	20.5		29	11
1993	20.5	20.5	28.2	32	31.4	36.9	37.1	38	35.3	33.3	27.9	24.3		30.4	12
1994	23.4	23	27	29.6	30.7	37.1	38.3	36.9	38.5	33.8	26.3	20.6		30.4	12
1995	21.8	24.6	25.8	29.4	30.8	35.5	39.7	38.9	38.8	32.4	27.9	24.4		30.8	12
1996	24.8	27.6	28.5	31.7	35.8	38.3	38.9	37.6	35.8	30.9	26	23.5		31.6	12
1997	19.9	19.6	29.9	28.7	32.1	32.9	39.6	37.9	35.6	31.5	27.6	20.8		29.7	12
