COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3149 
 NOMBRE    : SAN ISIDRO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.65 ° 
 LONGITUD  : -110.2916667 ° 
 ALTITUD   : 120 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		0	0	0	17.5	0		0	47	0	0	0	64.5	6.4	10
1980	0	0	1.5	0	0	3.5	0	1.5	0	10.5	0	0	17	1.4	12
1981	55.5	0	12.5	0	0	0	12	25.5	17.5	18.5	0	0	141.5	11.8	12
1982	0	0	0	0	0		0	0	69.5	0	8	177	254.5	23.1	11
1983	16	7		0	0	0	13	100	6.5	0	0	50	192.5	17.5	11
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	17	1.4	10
MÁXIMA	55.5	7	12.5	0	17.5	3.5	13	100	69.5	18.5	8	177	254.5	23.1	12
MEDIA	17.9	1.4	3.5	0	3.5	0.9	6.2	25.4	28.1	5.8	1.6	45.4	134	12	11.2
DESV.ST	26.2	3.1	6	0	7.8	1.8	7.2	43.1	29.3	8.4	3.6	76.7	95.5	8.6	0.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		0	0	0	17.5	0		0	82.5	0	0	0	100	10	10
1980	0	0	1.5	0	0	3.5	0	3	0	17	0	0	25	2.1	12
1981	78.5	0	17.5	0	0	0	16.5	61.5	21	18.5	0	0	213.5	17.8	12
1982	0	0	0	0	0		0	0	106.5	0	15	178	299.5	27.2	11
1983	43	13		0	0	0	23.8	220.1	18.5	0	0	50	368.4	33.5	11
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	25	2.1	10
MÁXIMA	78.5	13	17.5	0	17.5	3.5	23.8	220.1	106.5	18.5	15	178	368.4	33.5	12
MEDIA	30.4	2.6	4.8	0	3.5	0.9	10.1	56.9	45.7	7.1	3	45.6	201.3	18.1	11.2
DESV.ST	38	5.8	8.5	0	7.8	1.8	12	94.9	46.1	9.7	6.7	77.1	140.6	12.7	0.8

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		24.8	26.4	25.7	25.3	31			33.7	33.3	24.5	22.6		27.5	9
1980	22.9	22.6	23.7				34.4	33.8	33.3	31.9	29.3	25.8		28.6	9
1981			26.6	28.8	31.6	36.2	31.4	33.2	32.5	30	29.4	28.6		30.8	10
