COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3150 
 NOMBRE    : TIGUANA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 25.20833333 ° 
 LONGITUD  : -111.1263889 ° 
 ALTITUD   : 290 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979	20	0.4	0	0	0	0	6.3	0	149	0	0	5	180.7	15.1	12
1980	0	8.5	1.3	0	0	0	0	46	6	3	0	10	74.8	6.2	12
1981	35	2	12	0	17.5	0	2	16	12	29	0	0	125.5	10.5	12
1982	0	0	0	0	0	0	82.5	25	43	0	2	1	153.5	12.8	12
1983	12	9	25	6	0	0	96	45	34	1	2	25	255	21.2	12
1984	21	0	0	0	0	8.2	38.2	42.3	44.8	14.8	2	36	207.3	17.3	12
1985	13.5	0	0	0	0	0	30	0	0	50	5	0	98.5	8.2	12
1986	0	9	0	0	0	0	30	8	10	12	0	2	71	5.9	12
1987	0	1	0	0	0	0	35	10	17	3.9	4.4	1	72.3	6	12
1988	0	0	0	0	0	0	22	41	23.2	0	0	19.3	105.5	8.8	12
1989	16.3	22.4	2.7	0	0	0	38.7	57.3		58.3	5	54.2	254.9	23.2	11
1990	0	0.7	1.3	0	0	0	27.5		42	0	17	61.5	150	13.6	11
1992	29	14.3	22	16.8	0	0	32.3	43	0	0	0	29.9	187.3	15.6	12
1993	70	23.5	0	0	0	0	0	22.4	17.5	1.8	13.6	7	155.8	13	12
1994	0	0	1	0	0	0	0	11	27.5	0	7	92	138.5	11.5	12
1995	2.1	9	0	0	0	0	4	5	34.2	0	7	5	66.3	5.5	12
1996	0	1	0	0	0	0	13	70.2	26	0	0	0	110.2	9.2	12
1997	25.3	0	0		0	0	0	31	24.8	2.5	14.7	4.3	102.6	9.3	11
1998	0	4.1	0.1	0	0						7.2	0	11.4	1.6	7
1999	0	0	0	0	0	0	0						0	0	7
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MÁXIMA	70	23.5	25	16.8	17.5	8.2	96	70.2	149	58.3	17	92	255	23.2	12
