COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3151 
 NOMBRE    : PICHILINGUE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 24.26944444 ° 
 LONGITUD  : -110.3208333 ° 
 ALTITUD   : 12 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		0	0	0	15.3	0	6.5	0	33.6	0	0	0	55.4	5	11
1980	0	0	0	0	0	0	0	8	79	0	0	0	87	7.2	12
1981	15.6	2.5	5.9	0	0	0	0	29	8	69.5	0		130.5	11.9	11
1982	0	0	0	0	0	0	26	2	171.7	0	41.8	37	278.5	23.2	12
1983	16	3	14.8	0	0	0	21.2	64	10	0	2	16.1	147.1	12.3	12
1984		0	0	0	0	14	30	40	15	20	0	20	139	12.6	11
1985	9	0.01	0.2	0.01	0	0	17	45	7	47	3	0	128.22	10.7	12
1986	0	0	0	0	0	0	9		16.4	26.8	0	17	69.2	6.3	11
1987	0	0	0	3									3	0.8	4
MÍNIMA	0	0	0	0	0	0	0	0	7	0	0	0	3	0.8	4
MÁXIMA	16	3	14.8	3	15.3	14	30	64	171.7	69.5	41.8	37	278.5	23.2	12
MEDIA	5.8	0.6	2.3	0.3	1.9	1.8	13.7	26.9	42.6	20.4	5.8	12.9	115.3	10	10.7
DESV.ST	7.6	1.2	5.1	1	5.4	4.9	11.5	24.4	57.4	26.3	14.6	13.9	77.2	6.3	2.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		0	0	0	15.3	0	9.3	0	73.3	0	0	0	97.9	8.9	11
1980	0	0	0	0	0	0	0	8	79	0	0	0	87	7.2	12
1981	62.6	2.5	5.9	0	0	0	0	29	16.5	84.5	0		201	18.3	11
1982	0	0	0	0	0	0	44	2	197.2	0	50.4	49	342.6	28.5	12
1983	19.3	3	15.3	0	0	0	34.7	144.6	17	0	2	16.1	252	21	12
1984		0	0	0	0	14	48.73	90.03	23.2	20	0	32.51	228.47	20.8	11
1985	13.01	0.01	0.2	0.02	0	0	27.02	56.5	7.01	47	6.01	0	156.78	13.1	12
1986	0	0	0	0	0	0	9		19.91	36.3	0	17	82.21	7.5	11
1987	0	0	0	3									3	0.8	4
MÍNIMA	0	0	0	0	0	0	0	0	7.01	0	0	0	3	0.8	4
MÁXIMA	62.6	3	15.3	3	15.3	14	48.73	144.6	197.2	84.5	50.4	49	342.6	28.5	12
MEDIA	13.6	0.6	2.4	0.3	1.9	1.8	21.6	47.2	54.1	23.5	7.3	16.4	161.2	14	10.7
DESV.ST	23	1.2	5.2	1	5.4	4.9	19.6	54.1	63.9	30.8	17.5	18.8	104.9	8.8	2.5

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		83.2	205.2	240.7	260.1	294.4	316.1	300.5	236.7	235.7	184.1	159.6	2516.3	228.8	11
1980	145.8	149.1	178.2	226.8	262.7	312.6	354.5	180.4	206.2	246.2	185.2	155.4	2603.1	216.9	12
1981	108.1	161.2	199.7	243.7	249.4	239.2	228	157.6			125.9		1712.8	190.3	9
1982	115.2	204.4	275.9	125.7	246.7	360.5	294.6	285	255.2	194.5	138.2	130.7	2626.6	218.9	12
1983	113.1	133.3	130.2	235.9	325.4		297.3	158.3	138.5	144.1	169.7	115.8	1961.6	178.3	11
1984		149.4	221.6	247.2	271.7	249.1	247.2	221.5	186.6	203.5	148	102.9	2248.7	204.4	11
1985	112.5	143.8	216.3	221.9	276	290.2	263.5	261.8	249.6	243.1	184.8	165.3	2628.8	219.1	12
1986	169.5	163.3	258.7	288.9	309.6	310.3	315.8		273.2	239.1	157.5	128	2613.9	237.6	11
1987	155.5	172.8	186.5	205.4									720.2	180.1	4
MÍNIMA	108.1	83.2	130.2	125.7	246.7	239.2	228	157.6	138.5	144.1	125.9	102.9	720.2	178.3	4
MÁXIMA	169.5	204.4	275.9	288.9	325.4	360.5	354.5	300.5	273.2	246.2	185.2	165.3	2628.8	237.6	12
MEDIA	131.4	151.2	208	226.2	275.2	293.8	289.6	223.6	220.9	215.2	161.7	136.8	2181.3	208.3	10.3
DESV.ST	25	32.7	43.2	44.1	28.2	41	41.3	60	46.8	37.3	23	23.7	640.6	21.3	2.5

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979		25	25.7	29.5	30.2	34.7	36.2	35.5	34.3	34.1	27	24.2		30.6	11
1980	24.4	26	26.2	29.7	31.1	36.1	36.5	35.8	35	32.2	28.2	25.4		30.6	12
1981	23.5	25.9	25.8	30.1	30.8	33.1	35.5	36.1	34.9	31.5	28.9			30.6	11
1982	23.4	25.6	26.8	31.9	31.7	36.1	36	36.3	35.9	32.2	27.5	24		30.6	12
1983	23.6	25.1	26	27.9	32.7	35.2	36.4	33.4	33.9	32.5	27.8	25.7		30	12
1984		25.1	30	31.9	34.3	36	34.4	34.8	34.8	31.6	28.4	24.1		31.4	11
1985	22.2	24	26.9	29.7	33.8	35.1	36.3	36.2	35.8	32.7	28	25.5		30.5	12
1986	26.6	26.2	29.2	31.5	33.2	34.1	36		35.4	31.5	28.4	25.3		30.7	11
1987	23.1	23.8	25.2	30.2										25.6	4
