COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3154 
 NOMBRE    : LEY FEDERAL DE AGUAS 5 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.09444444 ° 
 LONGITUD  : -111.5083333 ° 
 ALTITUD   : 85 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					0	0	2	0	0	25	0	14.3	41.3	5.2	8
1981	29.3	2.6	14.7	4	18.6	0	6.7	28.6	0	1.5	0	0	106	8.8	12
1982	4.5	0	0	0	0	0	16.2	0	24.5	0	9	12.5	66.7	5.6	12
1983	15.7	6.8	32	0	0	0	30.4	84.5	16	0	0	39.5	224.9	18.7	12
1984	52	0	0	0	0	0	16	37	17	34.4	0	25.5	181.9	15.2	12
1985	10.5	0	0	0	0	0	8.5	15.5	32.4	0	3.2	0	70.1	5.8	12
1986	0	13.8	0	0	0	0		60	4.5	0	0	0	78.3	7.1	11
1987	0	0	0	0	0	0	0	0	3	4.2	0	0	7.2	0.6	12
1988	0	0	0	0	0		0	0	9	0	0	17	26	2.4	11
1989		25	11	0	0	0	0	10.5	68.5	0	0	39	154	14	11
1990	0	0	0	0	0	0	5	0	33	0	29	75	142	11.8	12
1991	0	6.5	0	0	0	0	0	8	102	8	0	80	204.5	17	12
1992	43	3	20	0	0	0	45	24	35	0		37	207	18.8	11
1993	12	21	0	0		0	0	41	25	35	19	0	153	13.9	11
1994	0	0	0	0	0	0	0						0	0	7
1995	0	30	0	0	0	0	0	4	40	0	10	8	92	7.7	12
1996						0	0	50		0	0	0	50	8.3	6
1997		0	0	0	1	0	0	75		0	24	4.3	104.3	10.4	10
1998	0	0	0	0	0	0	75	48.5	12	0	0	0	135.5	11.3	12
1999	0	0	0	0	0	0	0	12.7	5	0	0	0	17.7	1.5	12
2000	0	0		0	0	3	0	34	25		0		62	6.9	9
2001	0	0	0	0	0	0	45	21	17	0	0	0	83	6.9	12
2002	2	0	0	0	0	0	14	0	26	0	13	12	67	5.6	12
2003	0	0	0	0	0	0		17.5	62	0	0	0	79.5	7.2	11
2004	35	8	0	0	0	0	12	57	54	21	0	6	193	16.1	12
2005	50	17	0	0	0	0	21	0	13	0	0	0	101	8.4	12
2006	0	0	0	0	0	0		0	12	31	0		43	4.3	10
2007	0	0	0	0	0	0	0	0	9	0		22	31	2.8	11
2008	0	0	0	0	0	0	0	27.5	14.5	115	6	4	167	13.9	12
2009						0	2.5	3	150	104	0	0	259.5	37.1	7
2010	0	0	0	0	0	0	0	0	0	0	21	0	21	1.8	12
2011	0	0	0	0	0	0	0	0	0	0	38	0	38	3.2	12
2012	0	27.5	0	0	0		0	34.5	28	71	0		161	16.1	10
2013	0	0	0	0	0	0	0	48	35	78	0	0	161	13.4	12
2014			0	0	0	0	47	33	94.5	15	0	0	189.5	19	10
2015	4	8	19	5	0	11	6	38	23.5	23	0	2	139.5	11.6	12
2016	0	0	4.5	3	0	0	13	29	71	52	0	3	175.5	14.6	12
2017	0	18	0	0	0	0	19.5	21.5	25.5	0	0	0	84.5	7	12
2018	0.5	7.5	0	0	0	2.7	10	5	16.5			2	44.2	4.4	10
2019	3.5	2	4	0	0	0	0	71	60	24	56.5	8	229	19.1	12
2020	0	2	4	2	0	0	0	17.5	51.5		0	0	77	7	11
2021	15	0	0	0	0	0	16	36	21	0	12	26	126	10.5	12
2022	0	0	0	0	0	0	21	25	57	0	0	0	103	8.6	12
2023	0	0	0	0	0	0	10	7.5	10	7	5	0	39.5	3.3	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MÁXIMA	52	30	32	5	18.6	11	75	84.5	150	115	56.5	80	259.5	37.1	12
MEDIA	7.3	5	2.7	0.3	0.5	0.4	10.8	23.8	31.8	16.2	6.1	10.9	107.7	9.8	11.1
DESV.ST	14.6	8.5	6.9	1.1	2.9	1.8	16.6	23.1	31.5	29.2	12.3	19.3	67.8	6.9	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					0	0	2	0	0	25	0	19.3	46.3	5.8	8
1981	94.7	2.6	14.7	4	18.6	0	6.7	41.1	0	1.5	0	0	183.9	15.3	12
1982	8.3	0	0	0	0	0	42.4	0	34	0	17	19.8	121.5	10.1	12
1983	50.2	6.8	37.5	0	0	0	100.7	109.7	29	0	0	39.5	373.4	31.1	12
1984	105	0	0	0	0	0	66	110.9	40.7	34.4	0	26.5	383.5	32	12
1985	16	0	0	0	0	0	12.2	24.9	32.4	0	3.2	0	88.7	7.4	12
