COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3156 
 NOMBRE    : SAN MIGUEL 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.72083333 ° 
 LONGITUD  : -112.3055556 ° 
 ALTITUD   : 400 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980							28	20	5	0	0	28	81	13.5	6
1981	26	0	15	4	0	0	47	37	32	5	0	0	166	13.8	12
1982	3	0	0	0	0	0	22	35	10	0	26	20	116	9.7	12
1983	10	16	41	3	0	0	33	21	25	0	0	13	162	13.5	12
1984	37	0	0	0	0	1	30	57	34	0	7	40	206	17.2	12
1985	14	0	0	0		0	21	40	6	0	18		99	9.9	10
1986	1	3	0	0	0	0	38	18	14	0	12	15	101	8.4	12
1987	0	6	0	0	0	0	8	16	29	0	0	7	66	5.5	12
1988	2	1	0	6	0	0	13	31	35	15	0	20	123	10.2	12
1989	44	16	0	0	0	0	55	26	23	16	0	15	195	16.2	12
1990	2	4			0	0	40	54	37		53	14	204	22.7	9
1991	42	37	44	0	0	0	3	26	13	18	33	10	226	18.8	12
1992	84	35	40	10	0	0	30	190	7	0	10	28	434	36.2	12
1993	98	45	0	0	4	0	0	41	67	8	2	10	275	22.9	12
1994	0	0	0	0	0	0	0	37	31	0	84	81	233	19.4	12
1995	50	11	0	0	0	0	53	44	0	0	27	0	185	15.4	12
1996	0	15	0	2	0	0	16	15	36.5	0	20	0	104.5	8.7	12
1997	7	6	0	0	0	0	3	48	23	0	6	15	108	9	12
1998	0	23	0	0	0	2	57	60	25	3	0	0	170	14.2	12
1999	0	0	0	0	0	11	13	40	1	0	0	0	65	5.4	12
