COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3163 
 NOMBRE    : AGUA CALIENTE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.44111111 ° 
 LONGITUD  : -109.7944444 ° 
 ALTITUD   : 195 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0	0	0	0	0	0	0	95	195			140	430	43	10
1983			11.2	0	0	0	45	38	39	7	1	20	161.2	16.1	10
1986	0	9	0	9	0	0	45.5	38	32	66	0	1	200.5	16.7	12
1987	2.5	0	0	0	0	0	31	40	22.5	28	18	12	154	12.8	12
1988	0	0	0	0	0	0	22	15	28	14	0	0	79	6.6	12
1989	55	5	0	0	0	0	28.5	280.5	8	0	0	25	402	33.5	12
1990	8	6	0	0	0	0	120	42	53				229	25.4	9
1991	2	6	0	0	0	0	0	15.5	105	10.5	33	25	197	16.4	12
1992	43	1	4	4	0	0	20	26	64	2	0	85.5	249.5	20.8	12
1993	41	0	0	0	0	0	12	51.5	73	20	197	0	394.5	32.9	12
1994	1	0	0	0	0	0	0	27	76	37	18		159	14.5	11
1995		0	0	0	0	0	5	36	80	0	0	0	121	11	11
1996	0	0	0	8.5	0	0	20	50	200	9	11	0	298.5	24.9	12
1997	41	0	0	14	0	15	77.5	37.9	110	41	14	0	350.4	29.2	12
1998	0	0	0	0	0	0	38	100	307	7	2	0	454	37.8	12
1999	0	0	0	0	0	0	60	80	24	0	0	0	164	13.7	12
2000	0	0	0	0	0	7	12	30	39	29	8	0	125	10.4	12
2001	0	0	13	0	0	0	2	30	400.5	56	0	1	502.5	41.9	12
2002	0	7	0	0	0	0		10	20	20	15	2	74	6.7	11
2003	2	20	0	0	0	0	31	140	300	0	0	0	493	41.1	12
2004	41	0	0	0	0	0	47	20	60	14.5	0	0	182.5	15.2	12
2005	4	40	0	0	0	0	29	49.5	30	20	0	0	172.5	14.4	12
2006	5	0	0	0	0	0	127	81	177	60	0	0	450	37.5	12
2007	7	0	0	0	0	0	5	57	200	0	37	18	324	27	12
2008	0	0	0	0	0	0	30	100.7	60	50.5	0	0	241.2	20.1	12
2009	0	0	0	0	0	0	0	39	105	40	0	25	209	17.4	12
2010	0	3	0			0	0	18	40	0	0	0	61	6.1	10
2011	0	0	0	0	0	0	5	26	20	25	9	0	85	7.1	12
2012	0	1	0	0	0	0	16	75	44	62	23	20	241	20.1	12
2013	0	0	0	0	0	0	25	67.5	62	30	22	0	206.5	17.2	12
2014	0	0	0	0	0	0	93		245	20	3	0	361	32.8	11
2015	6	22	14	0	0	31	38	34	55	21	28	0	249	20.8	12
2016	0	0	0	0	7	0	71	90	105	0	0	0	273	22.8	12
2017	0	10	0	0	0	0	53	80	0	1	0	15	159	13.2	12
2018	5	1	0	0	0	0	60	30	58	25	5	8	192	16	12
2019	2	0	0	0		0	30	90	82	63	112	0	379	34.5	11
2020	0	19	0	0	0	12		120	25		0	0	176	17.6	10
2021	2	0	0	0	0	60	0	42	0	0	0	0	104	8.7	12
2022	0	0	0	0	0	0	35	54	2	5	0	0	96	8	12
2023	0	0	0	0	16	0	0	31	42	163	21	0	273	22.8	12
MÍNIMA	0	0	0	0	0	0	0	10	0	0	0	0	61	6.1	9
MÁXIMA	55	40	14	14	16	60	127	280.5	400.5	163	197	140	502.5	43	12
MEDIA	7	3.8	1.1	0.9	0.6	3.1	32.5	58.6	89.7	25.6	15.2	10.5	241.8	20.9	11.6
DESV.ST	15	8.3	3.4	3	2.8	10.8	32.3	48	93.3	31.2	36.3	26.6	123.7	10.7	0.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0	0	0	0	0	0	0	204.5	455.5			144.5	804.5	80.4	10
1983			11.2	0	0	0	112.3	134.5	136.5	7	1	20	422.5	42.2	10
1986	0	9	0	9	0	0	76	132.5	75	124	0	1	426.5	35.5	12
1987	2.5	0	0	0	0	0	65.5	58.5	115.5	31	20	18	311	25.9	12
1988	0	0	0	0	0	0	63.5	44	41.5	42.5	0	0	191.5	16	12
1989	76.5	5	0	0	0	0	56.5	392.5	23	0	0	46	599.5	50	12
1990	8	6	0	0	0	0	168	105.5	176				463.5	51.5	9
1991	3	6	0	0	0	0	0	55	264.6	13.5	65	35.6	442.7	36.9	12
1992	94	1	4	4	0	0	37.8	68.4	140	2	0	89.5	440.7	36.7	12
1993	44	0	0	0	0	0	30	162	199	21	257	0	713	59.4	12
1994	1	0	0	0	0	0	0	128.5	141	56	33.5		360	32.7	11
1995		0	0	0	0	0	6	73	242	0	0	0	321	29.2	11
1996	0	0	0	8.5	0	0	33	198	420.5	9	11	0	680	56.7	12
1997	68	0	0	14	0	15	162.5	94.4	247	41	20	0	661.9	55.2	12
1998	0	0	0	0	0	0	110	185.5	450	14	3	0	762.5	63.5	12
1999	0	0	0	0	0	0	85	208	44	0	0	0	337	28.1	12
2000	0	0	0	0	0	11	27	84	96	81	8	0	307	25.6	12
2001	0	0	15	0	0	0	2	45	601	71	0	1	735	61.2	12
2002	0	12	0	0	0	0		10	58	25	16	2	123	11.2	11
2003	2	20	0	0	0	0	50	269	510	0	0	0	851	70.9	12
2004	106	0	0	0	0	0	108	71	149	24.5	0	0	458.5	38.2	12
2005	4	81	0	0	0	0	35	91.5	108	30	0	0	349.5	29.1	12
2006	6	0	0	0	0	0	366	230.5	305	170	0	0	1077.5	89.8	12
2007	15	0	0	0	0	0	6	73.5	361	0	37	18	510.5	42.5	12
2008	0	0	0	0	0	0	30	248.2	171	55	0	0	504.2	42	12
2009	0	0	0	0	0	0	0	55	111	152	0	25	343	28.6	12
2010	0	5	0			0	0	18	180	0	0	0	203	20.3	10
2011	0	0	0	0	0	0	5	65.3	56.8	25.3	12	0	164.4	13.7	12
2012	0	1	0	0	0	0	16	165	98.5	121	23	23	447.5	37.3	12
2013	0	0	0	0	0	0	52	107.5	268	45	30	0	502.5	41.9	12
2014	0	0	0	0	0	0	208		482	20	3	0	713	64.8	11
2015	10	25	31	0	0	31	70	160	155	37.5	28	0	547.5	45.6	12
2016	0	0	0	0	7	0	83	175	201	0	0	0	466	38.8	12
2017	0	10	0	0	0	0	53	165.5	0	1	0	15	244.5	20.4	12
2018	5	1	0	0	0	0	98	75	202	35	5	10	431	35.9	12
2019	2	0	0	0		0	30	127	85	126	234	0	604	54.9	11
2020	0	19	0	0	0	12		120	62		0	0	213	21.3	10
2021	3	0	0	0	0	77	0	148	0	0	0	0	228	19	12
2022	0	0	0	0	0	0	35	133	2	5	0	0	175	14.6	12
2023	0	0	0	0	16	0	0	68.5	45	194	21	0	344.5	28.7	12
MÍNIMA	0	0	0	0	0	0	0	10	0	0	0	0	123	11.2	9
MÁXIMA	106	81	31	14	16	77	366	392.5	601	194	257	144.5	1077.5	89.8	12
MEDIA	11.8	5.2	1.5	0.9	0.6	3.6	60	126.9	187	42.7	21.8	11.8	462	39.9	11.6
DESV.ST	27.3	13.9	5.6	3	2.8	13.3	72.4	77.3	154.5	52.5	55.4	28.2	215.2	18.6	0.8

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	28.6	29.9	31.5	36	36.4	39.4	33.4	32.9	32.5			25.8		32.6	10
1983			30.7	33.4	39.7	44.2	41.4	41	40.6	39.7	32.8	29.1		37.3	10
1986	30.3	30.1	33.1	35.6	37.1	37.7	37.9	37.6	35.1	33	31.6	27.9		33.9	12
1987	25.8	28	34	33.8	34.5	38.8	39.3	37.4	37.1	36.2	32.2	29.2		33.9	12
1988	28	31.7	31.4	33	36.3	38.7	39	37.8	38.5	36.7	33.1	28.4		34.4	12
1989	23.5	26.6	32.8	36.5	38.5	40.5	41.2	37.6	37	38	28.4	27.2		34	12
1990	28	28	34.1	36.6	38.5	41.5	39.7	39.2	39.9					36.2	9
1991	29.3	32	33	37.1	38.6	41.2	40.6	41.5	35.4	33	27.6	24.1		34.5	12
1992	22.3	24.1	28.4	33	34.9	36.9	36.8	36.3	35.5	34.4	29.3	25.1		31.4	12
1993	26.8	26.9	31.8	35.1	36.2	36.1	37.6	37.5	35	34.2	31.1	27.7		33	12
1994	27.7	28.9	35	36	39.6									33.4	5
1995		28.9	31	33.9	35.1	37.8	39.5	38.1	36	35.8	32.6	30.3		34.5	11
1996	29.3	30.9	33.2	35	38.8	39.7	40.4	36.7	35.4	36.2	31.8	27.5		34.6	12
1997	25.9	27.9	33.5	32	38.5	38.9	38.9	36.4	36.5	34.9	31.9	28		33.6	12
1998	29.2	30.8	34.5	33.9	39.8	41.5	39.2	37.9	34.3	35.6	32.5	28.4		34.8	12
1999	29.4	30.2	32.1	35.4	37.8	39.5	38.4	38.2	36.6	37.3	33.6	28.4		34.7	12
2000	29.3	32.2	32.4	37	39.7	40.8	39.9	37.8	37.6	34.6	28.8	29		34.9	12
2001	26.8	30.6	30.9	35.7	40	40.3	39.2	39	36.9	34.9	34.2	27.8		34.7	12
2002	28.1	28.1	32.4	30.9	36.4	38.5		39.6	38	35.7	33	25.8		33.3	11
2003	29.8	31.6	33.1	35.6	39.5	39.4	38.8	39.9	36.5	35.7	33.2	30.7		35.3	12
2004	26.2	30.1	34.9	33.6	37.1	39.6	40.5	40.2	35.8	35.7	29.3	27.9		34.2	12
