COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3165 
 NOMBRE    : JUNTA DE LOS ARROYOS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.66527778 ° 
 LONGITUD  : -110.075 ° 
 ALTITUD   : 500 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	1	0	0	0	0	0	10	19.5	20.5				51	5.7	9
1983							28			20	3	51	102	25.5	4
1984	0	0	0	0			57	28	26	17	0	45	173	17.3	10
1985	20	0	0		0	0	49.3	60	27		23	0	179.3	17.9	10
1986	0	0	0	10.5	0	0	13	45	0	30	0	27	125.5	10.5	12
1987	8	0	0	3	0	0	36	60	78	27	12	7	231	19.2	12
1988	0	0	0	0	0	0	18	70	45	10	0	0	143	11.9	12
1989	48	0	0	0	0	0	48	158	37	0	0	35	326	27.2	12
1990	0												0	0	1
MÍNIMA	0	0	0	0	0	0	10	19.5	0	0	0	0	0	0	1
MÁXIMA	48	0	0	10.5	0	0	57	158	78	30	23	51	326	27.2	12
MEDIA	9.6	0	0	2.2	0	0	32.4	62.9	33.4	17.3	5.4	23.6	147.9	15	9.1
DESV.ST	17	0	0	4.2	0	0	17.9	45.7	24.2	11.1	8.9	21.4	96.3	8.9	4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	2	0	0	0	0	0	30	33.5	46.5				112	12.4	9
1983							107.9			20	3	51	181.9	45.5	4
1984	0	0	0	0			155.01	159	119	17	0	69.2	519.21	51.9	10
1985	24.4	0	0		0	0	201.1	181.8	29.5		23	0	459.8	46	10
1986	0	0	0	16.7	0	0	26	178.8	0	50	0	27	298.5	24.9	12
1987	8	0	0	3	0	0	103	99	241	27	12	16	509	42.4	12
1988	0	0	0	0	0	0	18	91	65	13	0	0	187	15.6	12
1989	63.5	0	0	0	0	0	80.5	169	82	0	0	37	432	36	12
1990	0												0	0	1
MÍNIMA	0	0	0	0	0	0	18	33.5	0	0	0	0	0	0	1
MÁXIMA	63.5	0	0	16.7	0	0	201.1	181.8	241	50	23	69.2	519.21	51.9	12
MEDIA	12.2	0	0	3.3	0	0	90.2	130.3	83.3	21.2	5.4	28.6	299.9	30.5	9.1
DESV.ST	22.4	0	0	6.7	0	0	65.5	56.6	79.2	16.7	8.9	25.9	189.3	18	4

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	24.8	29.1	28.6	34.4	31	36.3	34.8	33.2	34.8					31.9	9
1983							33			30.2	27.2	25.5		29	4
1984	25.1	24.4	28.9	29			33.3	35.6	34.4	30	27.3	26		29.4	10
1985	26.6	26.2	29.4		28.1	32.3	31.2							29	6
1986		25.9	27	30	29.7	28.5	32.2	31.3	31.8	33.6	30.5	24.5		29.5	11
1987	25	25.5	26.1	28.8	29.8	33.7	35.4	34.4	32.9	32.2	27.7	22.1		29.5	12
1988	20.4	22.2	24.6	26.7	29.6	30.4	32.1	32.4	31.9	30.8	27.2	22.3		27.6	12
