COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3167 
 NOMBRE    : EL SARGENTO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.08027778 ° 
 LONGITUD  : -109.9944444 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0	0	0	0	0	0	1.3	0	113.5	0	13	43	170.8	14.2	12
1983	14	0	17	0	0	0	5.5	60	13	20	3.1	8	140.6	11.7	12
1984	24.5	0	0	0	0	0	17.5	20	24	4.5	0	38	128.5	10.7	12
1985	11	5	0	0	0	0	8	13.5	18	40	4.5	0	100	8.3	12
1986	0	0	0	8	0	0	18	42.5	14	13.5	0	17.5	113.5	9.5	12
1987	0	0	0	0					0.5	30.5			31	5.2	6
1988	0	0	0	0									0	0	4
1989	40	9.1	0	0	0	0	0	11	0	0	8	33	101.1	8.4	12
1990	0	0	0		0	0	5.5	40.6	0				46.1	5.8	8
1991	0	0	0	0	0	0	0						0	0	7
1992	14	9.3	0	0	0	0	7.5	0	0	0	0	8	38.8	3.2	12
1993	20	0	0	0	0	0	1	9.5	26.5	0	13.5	0	70.5	5.9	12
1994	0	0	0	0	0	0.01	0.01	4.5	1	1.5	23.5	30	60.52	5	12
1995	2.5	0	0	0	0	0	3.5	3.5	62	0	0	12	83.5	7	12
1996	0	0	0	0	0	0	0	41	30	0	21	0	92	7.7	12
1997	16	0	0	1.5	0	0	0.01	3.3	30	0	13.5	5	69.31	5.8	12
1998	0	20	0	0	0		0	39.5	67	0	0	0	126.5	11.5	11
1999	0	0	0	0	0	0	4	35	7.5	0	0	0	46.5	3.9	12
2000	0	0	0	0	0	0	0.01	0	25.5	2	2.5	0.01	30.02	2.5	12
2001	2	0	0	0	3	0	0	3	126.5	1.5	0	0	136	11.3	12
2002	1.1	10	0	0	0	0	0	0	10.5	0	3.5	0.01	25.11	2.1	12
2003	5.5	15.5	0	0	0	0	0	87	100	7	0	0	215	17.9	12
2004	20.4	0	0	0	0	0	0.01	20.3	11.2	50.3	0	0.01	102.22	8.5	12
2005	8.6	28.5	0	0	0	0	2	0.01	40	0	0	0	79.11	6.6	12
2006	9.1	0	0	0	0	0	60	4	237	45	0	0.01	355.11	29.6	12
2007	9	0	0	0	0	0	0	2.5	155.2	0.01	0.9	20	187.61	15.6	12
2008	0	0	0	0	0	0	5	11	7	3	0	0.01	26.01	2.2	12
2009	0	0	0.01	0	0	0.01	0.01	33	55.4	15	0	5	108.43	9	12
2010	0.01	3	0.01	0	0	0	0	10	31	0	0	0	44.02	3.7	12
2011	0	0	0	0	0	0	0	0	150	0	10	0	160	13.3	12
2012	0.01	0.01	0	0	0	0	0.01	8	80	31.5	0	12	131.53	11	12
2013	0	0	0	0	0	0	1	15	50	4	8	0.01	78.01	6.5	12
2014	0.01	0	0	0	0.01	0	15.2	13	66	1	0	0	95.22	7.9	12
2015	2	3	0.01	1	0.01	5	1	1	13	47	20	0.01	93.03	7.8	12
2016	0	0.01	5	0	0.01	1	0.01	33	50	5	0	0.01	94.04	7.8	12
2017	0	0.01	0	0	0	0	0	28	98	0	0	0	126.01	10.5	12
2019	11	0.01	0	0	0	0.01	0	15	152	64.5	64	0	306.52	25.5	12
2020		0								0	0	0	0	0	4
2021	0												0	0	1
2022	0	0.01	0	0	0	0.01	0	9	82	0	0	0	91.02	7.6	12
2023	0.01	15	0	0	0	0	0	47	2	120	3	0.01	187.02	15.6	12
2024	0.01	0	0	0	0	3	0.01	0.01	37.5	0			40.53	4.1	10
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	40	28.5	17	8	3	5	60	87	237	120	64	43	355.11	29.6	12
MEDIA	5.1	2.9	0.6	0.3	0.1	0.2	4.1	17.9	52.3	13.3	5.9	6.4	98.4	8.3	10.9
DESV.ST	8.8	6.4	2.8	1.3	0.5	1	10.5	20.2	55.3	24.9	12	11.9	75.4	6.2	2.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0	0	0	0	0	0	2.9	0	241.5	0	21	43	308.4	25.7	12
1983	14	0	17	0	0	0	5.5	108.5	28	20	3.1	8	204.1	17	12
1984	39	0	0	0	0	0	44	49.5	34	6.5	0	40.5	213.5	17.8	12
1985	12.5	5	0	0	0	0	8	16.5	26.5	40	4.5	0	113	9.4	12
1986	0	0	0	12.5	0	0	18	102.5	15.5	29.4	0	17.5	195.4	16.3	12
1987	0	0	0	0					0.5	30.5			31	5.2	6
1988	0	0	0	0									0	0	4
1989	46	14.6	0	0	0	0	0	29	0	0	9.5	37	136.1	11.3	12
1990	0	0	0		0	0	5.5	67.1	0				72.6	9.1	8
1991	0	0	0	0	0	0	0						0	0	7
1992	27.51	9.31	0	0	0	0	8	0	0	0	0	9	53.82	4.5	12
1993	33.5	0	0	0	0	0	1	21.5	47.5	0	20.5	0	124	10.3	12
1994	0	0	0	0	0	0.01	0.01	11.01	1	1.51	34.3	58.5	106.34	8.9	12
1995	3.5	0	0	0	0	0	3.5	8.5	104	0	0	12	131.5	11	12
1996	0	0	0	0	0	0	0	150	47.5	0	21	0	218.5	18.2	12
1997	16.01	0	0	1.5	0	0	0.02	11.31	64.5	0	13.5	5.01	111.85	9.3	12
1998	0	20.01	0	0	0		0	48	115	0	0	0	183.01	16.6	11
1999	0	0	0	0	0	0	4	35	18	0	0	0	57	4.8	12
2000	0	0	0	0	0	0	0.01	0	39.01	2	2.5	0.01	43.53	3.6	12
2001	2.01	0	0	0	3.01	0	0	6.5	229.51	1.5	0	0	242.53	20.2	12
2002	1.1	10	0	0	0	0	0	0	18.5	0	3.5	0.01	33.11	2.8	12
2003	11	15.5	0	0	0	0	0	156	135	9.8	0	0	327.3	27.3	12
2004	46.61	0	0	0	0	0	0.01	33.5	18.2	71.62	0	0.02	169.96	14.2	12
2005	12.1	42.5	0	0	0	0	2	0.01	40	0	0	0	96.61	8.1	12
2006	11.1	0	0	0	0	0	125	4	247.01	53.01	0	0.02	440.14	36.7	12
2007	21.04	0	0	0	0	0	0	2.52	165.81	0.01	0.91	28	218.29	18.2	12
2008	0	0	0	0	0	0	8.01	14.5	19	3	0	0.01	44.52	3.7	12
2009	0	0	0.01	0	0	0.01	0.01	52.2	55.4	59.51	0	5	172.14	14.3	12
2010	0.01	4.5	0.01	0	0	0	0	10.01	49	0	0	0	63.53	5.3	12
2011	0	0	0	0	0	0	0	0	170	0	10.01	0	180.01	15	12
2012	0.01	0.01	0	0	0	0	0.01	12	121.01	31.51	0	21.2	185.75	15.5	12
2013	0	0	0	0	0	0	1.01	26	70.71	7.01	8.02	0.01	112.76	9.4	12
2014	0.01	0	0	0	0.01	0	20.2	17.03	89.01	1.02	0	0	127.28	10.6	12
2015	2.03	4.3	0.03	1.01	0.01	7	1	1	31.22	79.71	20.02	0.03	147.36	12.3	12
2016	0	0.01	8	0	0.02	1	0.03	33.01	65.01	5	0	0.03	112.11	9.3	12
2017	0	0.01	0	0	0	0	0	28.01	118.01	0	0	0	146.03	12.2	12
2019	11	0.02	0	0	0	0.01	0	20.6	179	92.52	136.02	0	439.17	36.6	12
2020		0								0	0	0	0	0	4
2021	0												0	0	1
2022	0	0.01	0	0	0	0.03	0	12.04	227.53	0	0	0	239.61	20	12
2023	0.01	20	0	0	0	0	0	64.51	3.5	260	3.02	0.01	351.05	29.3	12
2024	0.01	0	0	0	0	3	0.01	0.01	39.51	0			42.54	4.3	10
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	46.61	42.5	17	12.5	3.01	7	125	156	247.01	260	136.02	58.5	440.14	36.7	12
MEDIA	7.6	3.6	0.6	0.4	0.1	0.3	6.8	31.1	75.6	21.2	8.7	7.9	147.5	12.5	10.9
DESV.ST	13.2	8.4	2.9	2	0.5	1.2	21.3	40	74.8	47.1	23.4	15	110.3	9.1	2.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	115.5	143.5	169.2	225.8	205.6	196.1	192.4	179.6	178.3	184.4	122.7	108.1	2021.2	168.4	12
1983	107.2	126.2	191.5	220.9	219.1	221.1	221.2	135.4	150.9			32.7	1626.2	162.6	10
1984	88.6	134.1	162.3	191.9	159.4	186.9	196.8	79.9	177.6	142.6	62.4	114.3	1696.8	141.4	12
1985	116.2	122	161.7	160.5	73.4	89	142.8	30.6			108.8	89	1094	109.4	10
1986	100.7												100.7	100.7	1
1990							56	134.3	35.9				226.2	75.4	3
MÍNIMA	88.6	122	161.7	160.5	73.4	89	56	30.6	35.9	142.6	62.4	32.7	100.7	75.4	1
MÁXIMA	116.2	143.5	191.5	225.8	219.1	221.1	221.2	179.6	178.3	184.4	122.7	114.3	2021.2	168.4	12
MEDIA	105.6	131.4	171.2	199.8	164.4	173.3	161.8	112	135.7	163.5	98	86	1127.5	126.3	8
DESV.ST	11.5	9.5	14	30.2	65.8	58	65.7	57.6	67.7	29.6	31.6	37.1	804.9	37	4.8

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	23.3	24.6	25.3	32.4	29.5	31.5	32.6	33.5	33.7	30.3	26.6	23.3		28.9	12
1983	23.1	24.4	25.9	24.9	29	33.1	34.6	32.7	31.7	31.1	27.5	24.8		28.6	12
1984	23.3	23.8	25.6	26.5	29.6	31.7	31.8	32.9	32.4	29.9	26.2	22.9		28	12
1985	21.2	23.7	24.4	26.2	30.3	32.4	33.6	33.6	33.5	30.4	26.4	29.6		28.8	12
1986	33.5	30.4	33.6	36.3	38.5	38.8	33.3	34.8	33.1	29.8	27.3	23.1		32.7	12
1987	22.6	23.6	23.7	26.9					33.9	31.7				27.1	6
1988	22.1	23.6	25.1	26.5										24.3	4
1989	20.6	21.7	24.9	28.8	30.2	31.9	33.3	33.6	34	32	27.6	23.6		28.5	12
1990	23	21.8	24.8		31.4	34	33.9	34.7	34.1					29.7	8
