COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3168 
 NOMBRE    : LORETO (OBS) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   : 76305 
 LATITUD   : 26.01666667 ° 
 LONGITUD  : -111.3472222 ° 
 ALTITUD   : 6.8 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1948						0	1.2	0	0	0	0	9	10.2	1.5	7
1949	15	0.1	0	0	0	0.01	0	0	4.4	0	0	1	20.51	1.7	12
1950	3			0.01									3.01	1.5	2
1981	3.3	0	0.1	0	0	0	0	0	0.1	0.7	0	0	4.2	0.3	12
1982	0.1	0.5	0	0	0	0	0	1.7	2.6	0	0.9	1.2	7	0.6	12
1983	0.1	0	1.9	0	0	0	4.3	5.9	2.9	0	3.1	0	18.2	1.5	12
1984	2	0	0	0	0	0	8.9	13.5	4.6	1.3	0	1.3	31.6	2.6	12
1985	4.3	0.3	0	0	0	0	0.2	0.3	0	1.8	0.4	0	7.3	0.6	12
1986	0.3	0	0	0	0	0	0.2	0.4	3.4	0	0	1.4	5.7	0.5	12
1987	0.3	0	0	0.2	0	0	2.9	0.6	3.2	1.3	0	0	8.5	0.7	12
1988	0	0	0	0.6	0	0	0	2.3	0	0	0	0.2	3.1	0.3	12
1989	1.7	1.9	0	0	0	0.4	0.8	0.7	0	0	2	0.7	8.2	0.7	12
1990	0	0	0	0	0	0	0	2.7	2.7	0	1.5	3.9	10.8	0.9	12
1991	0	1	0	0	0	0	0	0.9	4	0	2.1	6.9	14.9	1.2	12
1992	2.4	1.3	0.6	0.2	0	0	13.5	1	4	0.1	0	0.8	23.9	2	12
1993	3.5	1.2	0	0	0	0	0	1.9	11.5	1.7	0.7	0	20.5	1.7	12
1994	0.1	0	0	0	0	0	0	3.4	0	0	1.3	3.5	8.3	0.7	12
1995	1.2	1	0	0	0	0	0	3.3	1.3	0	1	0	7.8	0.7	12
1996	0	0.1	0	0	0	0	1.8	3.1	1.6	0.1	0.2	0	6.9	0.6	12
1997	0	0.2	0	0	0	0.3	1.2	4.2	13.3	0	0	1.1	20.3	1.7	12
