COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3176 
 NOMBRE    : LA FORTUNA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.65138889 ° 
 LONGITUD  : -111.2152778 ° 
 ALTITUD   : 130 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	1.5	7	6	0	0	0	0	0	14	8.5	8	33	78	6.5	12
1992	17	17	13	0	0	0	42.5	65	16	5	1.5	60	237	19.8	12
1993	58	30	0	0	0	0	0	76	28	0.4	4.5	3.5	200.4	16.7	12
1994	0	0	0	0	0	0	0	28.5	0.3	4.2	10.7	85	128.7	10.7	12
1995	0	28.5	0	0	0	0	0	9.5	38	0	4	1.5	81.5	6.8	12
1996	0	0	0	0	0	0	0	16.5	20	0	0	0	36.5	3	12
1997	15	0	0	0	3.5	0	0	44.5	44	5.3	1	1.5	114.8	9.6	12
1998	0	5.6	0	0	0	0.1	28.4	18	22	2.5	4	0	80.6	6.7	12
1999	0	0	0	0	0	0.1	0	18.5	4	0	0	0	22.6	1.9	12
2000	0	0	3	0	0	0	1.5	24	34.2	34	1	2	99.7	8.3	12
2001	0	2	0	0	0	0	0	47	68.5	0.1	0	0	117.6	9.8	12
2002	4	13.5	0	0	0	0	64	0	5	0	2	2	90.5	7.5	12
2003	2	18	0	1	0	0	0	40	40	21	0	0	122	10.2	12
2004	18	16	2	0	0	0	3.2	8.1	63.1	14.5	0	3	127.9	10.7	12
2005	25	16.5	0	0	0	0	0	9	65	32	0	0	147.5	12.3	12
2006	0	0	0	0	0	10	9.5	37.5	49.5	53	0	0	159.5	13.3	12
2007	8.5	4.5	0	0	0	0	0	3	62.7	5	6.5	14.4	104.6	8.7	12
2008	0	0	0	0	0	0	0	48	66	98	0	0	212	17.7	12
2009	0	0	0	0	0	1	7.5	106	106	97.1	0	0	317.6	26.5	12
2010	1	0	0	0	0	0	0	0	18	0	0	0	19	1.6	12
2011	0	0	0	0	0	0	0	63			36	0	99	9.9	10
2012	0		0		0	0	0	30	73	0	0	0	103	10.3	10
2013	0	0	0	0	0	0	5.5	10	28	67.5	2	0	113	9.4	12
2014	1	0	0	0	0	0	46.5	32	180	6	0	0	265.5	22.1	12
2015	11	1.5	20		0	12.5	35	27	70	43	0	0	220	20	11
2016	1.5	0	1	4.5	0	0	5.5	34	55	0.8		0.1	102.4	9.3	11
2017	0	19	0	0	0	0	1	0	22	0	0	0	42	3.5	12
2018	0	12	0		0	0	0		14	30	0	0	56	5.6	10
2019					0	0	0	2.5	7.5	45	30	0	85	10.6	8
2020	1	0	0	0	0	0	0	12	36	0		2	51	4.6	11
2021	10	0	0	0	0	0	0	14	0	0	0	0	24	2	12
2022	15	0	0	0	0	0	0	20	56	0	0	0	91	7.6	12
2023	0	2	0	0	0	0	0	0	0	0	7	0	9	0.8	12
2024	0	0	0	0									0	0	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MÁXIMA	58	30	20	4.5	3.5	12.5	64	106	180	98	36	85	317.6	26.5	12
MEDIA	5.7	6	1.4	0.2	0.1	0.7	7.6	26.4	40.8	17.9	3.8	6.3	110.6	9.5	11.4
DESV.ST	11.6	9	4.2	0.8	0.6	2.7	16.2	25.2	36.7	27.8	8.3	18.4	74.9	6.3	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	1.5	18	6	0	0	0	0	0	18	16	8	54	121.5	10.1	12
