COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3177 
 NOMBRE    : VALLE PERDIDO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.69583333 ° 
 LONGITUD  : -110.1194444 ° 
 ALTITUD   : 400 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	2	6.2	0	0	0	0	0	3.2	44	7	29.2	50	141.6	11.8	12
1992	40.5	11.4	7.2	0	0	0	54.5	56.6	42.7	20.3	3.3	108	344.5	28.7	12
1993	53.8	0	0	0	0	2.5	25	20.4	32.7	5.4	10.2	0	150	12.5	12
1994	0.01	0	0	0	0	0	3.9	44.3	21.3	13	83	38.6	204.11	17	12
1995	3.7	0.01	0	0	0	0	7.3	11.5	63.3	0	0	11.3	97.11	8.1	12
1996	0	0	0	0	0	0	13.7	145	200	2.2	0	0	360.9	30.1	12
1997	30.5	0	0	1.5	0	20	39.5	36.2	39.5	29.5	35	6.2	237.9	19.8	12
1998	0	7.7	0	0	0	0	82.5	58.7	180	7.3	0	0	336.2	28	12
1999	0	0	0	0.01	0	20	16.2	14	19.5	0	0	0	69.71	5.8	12
2000	0	0	4.9	0	0	0	62	32.3	51	138	67	0.01	355.21	29.6	12
2001	0	0	1.2	0	0.01	0	90.2	36.7	223.5	9.8	0	0	361.41	30.1	12
2002	1	16.2	0	0	0	0	45.5	4.6	38.5	3	2.9	2	113.7	9.5	12
2003	6	34.7	0	0	0	0	9.3	182.1	145.2	12.5	0	0	389.8	32.5	12
2004	16.5	8.5	6.5	0	0	0	27.5	31	28	6.8	0	5.9	130.7	10.9	12
2005	13.9	45.8	0	0	0	0	7.4	29.4	30	0	0	0	126.5	10.5	12
2006	8.1	0	0	0	0	2	56.6	28.6	200	45	0	2.5	342.8	28.6	12
2007	10	0	0	0	0	0	5	4.1	278	0	19.8	10.4	327.3	27.3	12
2008	0.1	0	0	0	0	0	13.5	74.8	69.3	42.8	0	0	200.5	16.7	12
2009	0	0	0	0	0	0	39.3	28.4	21	22.5	0	19.2	130.4	10.9	12
2010	4	16.3	2.1	0	0	0	0	22.3	61.5	0	0	0	106.2	8.8	12
2011	0	0	0	0	0	0	69.8	30.3	11.6	0.01	24	0	135.71	11.3	12
2012	0	5.6	0	0	0	2.8	2.7	36.5	68	34.2	0	16.8	166.6	13.9	12
2013	0	0	0	0	0	0	7.5	46.5	38.5	21	0	1.5	115	9.6	12
2014	0	0	0	0	2.5	16.5	70.9	45	224	35	0	0	393.9	32.8	12
2015	20	2	50.8	0	0	15	44.8	56	53	59	0	0	300.6	25	12
2016	0	0	8	0	2.5	4.5	53.5	54	123	0.3	7	0	252.8	21.1	12
2017	0	12.5	0	0	0	0	42	14.5	192	23	0	0	284	23.7	12
2018	0	4.2	0	0	0	20	5	25.5	53.7	35	9.2	32.5	185.1	15.4	12
2019	14	0	4	0	0	0	8.9	27	30	47.5	69	0	200.4	16.7	12
2020	1.6	41	7.5	0	0	2.8	54.5	27.5	38	5	0	0	177.9	14.8	12
2021	4	0	0	0	0	61	6.5	28.5	206	32	0.01	0	338.01	28.2	12
2022	14.5	0		0	0	6	38	39	57.5	6.5		0	161.5	16.1	10
2023	0	20.4	0	0	0	0	13.5	37	23.5	113	4	0	211.4	17.6	12
2024	0.01	1.5	0	0	0								1.51	0.3	5
MÍNIMA	0	0	0	0	0	0	0	3.2	11.6	0	0	0	1.51	0.3	5
MÁXIMA	53.8	45.8	50.8	1.5	2.5	61	90.2	182.1	278	138	83	108	393.9	32.8	12
MEDIA	7.2	6.9	2.8	0	0.1	5.2	30.8	40.3	88.1	23.5	11.4	9.2	219.1	18.3	11.7
DESV.ST	12.6	12.1	9	0.3	0.6	12	26.5	36.1	77.7	31.2	22.2	21.6	106.3	8.8	1.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	2	6.21	0	0	0	0	0	11.4	161.21	11	40	61.32	293.14	24.4	12
1992	64.6	18	8.6	0	0	0	89.1	94.3	67.91	62.9	3.3	108.03	516.74	43.1	12
1993	76.9	0	0	0	0	2.5	58.4	59.8	148.7	10.7	13.5	0	370.5	30.9	12
1994	0.01	0	0	0	0	0	3.9	172.4	52.4	19.1	100.5	63	411.31	34.3	12
1995	3.7	0.01	0	0	0	0	7.31	35.9	172.91	0	0	11.3	231.13	19.3	12
1996	0	0	0	0	0	0	21.81	319.6	335.7	2.2	0	0	679.31	56.6	12
1997	59.2	0	0	1.5	0	20	73.8	142	205.2	59	56.01	9.7	626.41	52.2	12
1998	0	10.4	0	0	0	0	148.4	148.3	251.4	8.5	0	0	567	47.2	12
1999	0	0	0	0.01	0	20	35.4	67.8	32.7	0	0	0	155.91	13	12
2000	0	0	4.9	0	0	0	122.1	112.2	129.01	155	79.5	0.01	602.72	50.2	12
2001	0	0	1.2	0	0.01	0	187.7	36.7	511.81	9.8	0	0	747.22	62.3	12
2002	1	16.2	0	0	0	0	83	8.6	118	4.5	2.9	2.01	236.21	19.7	12
2003	7	34.7	0	0	0	0	11.3	339.1	353.2	12.5	0	0	757.8	63.1	12
2004	47.1	8.51	6.5	0	0	0	50.91	141.5	69.6	22.6	0	9.6	356.32	29.7	12
2005	24.11	90.4	0	0	0	0	12.4	46.1	77.11	0	0	0	250.12	20.8	12
2006	14.1	0	0	0	0	3.3	116.3	89.1	412.21	66.7	0	2.5	704.21	58.7	12
