COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3178 
 NOMBRE    : SANTA INES 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.54222222 ° 
 LONGITUD  : -110.1491667 ° 
 ALTITUD   : 300 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	2	6	0	0	0	0	0	3.5	59	34			104.5	10.4	10
1992								64	30	0	1	110.5	205.5	41.1	5
1993	55	0	0	0	0	0	10	22	42	3		0	132	12	11
1995	0.5	0		0	0	0	0	3.5	60.5	0	0	0	64.5	5.9	11
1996	0	0	0	0	0	1.5	0	60	226	0	5	0	292.5	24.4	12
1997	20	0	2	2	0	0	34	73	40	15	25	10	221	18.4	12
1998	0	12	0	0	0	0	11	50	200	0	0	0	273	22.8	12
1999	0	0	0	0	0	0	10	20	12	0	0	0	42	3.5	12
2000	0	0	0	0	0	4	5	12	37	29	15	0	102	8.5	12
2001	0	0	0	0	0	0	44	8	385	0	0	0	437	36.4	12
2002	0	9	0	0	0	0	18	1	20	1	8	0	57	4.8	12
2003	8	23	0	0	0	0	2	126	104	12	0	0	275	22.9	12
2004	20	7	2	0	0	0	7	58	26	6	0	1	127	10.6	12
2005	8	35	0	0	0	0	0	24	47	0	0	0	114	9.5	12
2006	17	0	0	0	0	0	67	13	141	61	0	2	301	25.1	12
2007	20	5	0	0	0	0	2	2	172	0	29	18	248	20.7	12
2008	0	0	0	0	0	0	4	37	21	17	0	0	79	6.6	12
2009	0	0	0	0	0	0	2	38	37	17	0	19	113	9.4	12
2010	6	17	2	0	0	0	0	23	78	0	0	0	126	10.5	12
2011	0	0	0	0	0	0	1	4	6	0	24	0	35	2.9	12
2012	0	4	2	0	0	0	1	14	68	45	0	13	147	12.2	12
2013	0	0	0	0	0	0	0	19	91	20	0	0	130	10.8	12
2014	0	0	0	0	1	60	19	37	148	6	0	0	271	22.6	12
2015	6	0	10	0	0	22	20	26	72	54	0	3	213	17.8	12
2016	0	0	3	0	1	0	10	66	157	0	19	0	256	21.3	12
2017	0	22	0	0	0	0	0	258	22	0	0	0	302	25.2	12
2018	10	4	0	0	0	35	2	12	141	29	0	38	271	22.6	12
2019	13	0	4	0	0	0	0	53	11	45	88	0	214	17.8	12
2020	0	42	1	0	0	0	0	32	60	2	0	2	139	11.6	12
2021	5	0	0	0	0	0	0	26	196	38	14	21	300	25	12
2022	0	0	0	0	0	19	1	56	40	0	0	0	116	9.7	12
2023	10	0	0	0	0	0	66	35	0	110	0	0	221	18.4	12
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
MÁXIMA	55	42	10	2	1	60	67	258	385	110	88	110.5	437	41.1	12
MEDIA	6.3	5.8	0.8	0.1	0.1	4.6	10.8	39.9	85.9	17	7.6	7.7	179.7	15.8	11.5
DESV.ST	11.2	10.7	2	0.4	0.2	13	18.2	48.1	83.5	24.9	17.5	21	100.4	9.5	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	2	8.5	0	0	0	0	0	8.5	135	43			197	19.7	10
1992								151	84.5	0	1	111.5	348	69.6	5
1993	58	0	0	0	0	0	21	64	94	3		0	240	21.8	11
1995	0.5	0		0	0	0	0	9.5	242.5	0	0	0	252.5	23	11
1996	0	0	0	0	0	1.5	0	192	269.6	0	5	0	468.1	39	12
1997	33	0	2	2	0	0	74.5	222	245	15	31	10	634.5	52.9	12
1998	0	12	0	0	0	0	26	160	257	0	0	0	455	37.9	12
1999	0	0	0	0	0	0	20	34	12	0	0	0	66	5.5	12
2000	0	0	0	0	0	4	7	25	97	34	23	0	190	15.8	12
2001	0	0	0	0	0	0	60	12	705	0	0	0	777	64.8	12
2002	0	9	0	0	0	0	25	1	40	1	8	0	84	7	12
2003	8	23	0	0	0	0	2	149	168.8	12	0	0	362.8	30.2	12
2004	57	7	2	0	0	0	20	139	63	12	0	1	301	25.1	12
2005	11	92	0	0	0	0	0	67	90	0	0	0	260	21.7	12
2006	17	0	0	0	0	0	84	19	254	82	0	2	458	38.2	12
2007	27	5	0	0	0	0	2	2	179	0	31	18	264	22	12
2008	0	0	0	0	0	0	6	120	50	27	0	0	203	16.9	12
2009	0	0	0	0	0	0	5	103	76	57	0	19	260	21.7	12
2010	6	22	2	0	0	0	0	28	145	0	0	0	203	16.9	12
2011	0	0	0	0	0	0	1	7	10	0	25	0	43	3.6	12
2012	0	4	2	0	0	0	1	42	180	85	0	22	336	28	12
2013	0	0	0	0	0	0	0	30	151	20	0	0	201	16.8	12
2014	0	0	0	0	1	65	40	93	229	9	0	0	437	36.4	12
2015	11	0	28	0	0	22	41	109	199	86	0	3	499	41.6	12
2016	0	0	3	0	1	0	22	106	178	0	19	0	329	27.4	12
2017	0	22	0	0	0	0	0	272	47	0	0	0	341	28.4	12
2018	10	4	0	0	0	42	2	33	322	33	0	38	484	40.3	12
2019	14	0	4	0	0	0	0	84	11	68	165	0	346	28.8	12
2020	0	42	1	0	0	0	0	35	133	4	0	2	217	18.1	12
2021	7	0	0	0	0	0	0	52	219	43	14	22	357	29.8	12
2022	0	0	0	0	0	19	1	100	111	0	0	0	231	19.2	12
2023	10	0	0	0	0	0	80	117	0	137	0	0	344	28.7	12
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
MÁXIMA	58	92	28	2	1	65	84	272	705	137	165	111.5	777	69.6	12
MEDIA	8.5	7.8	1.4	0.1	0.1	5	17.4	80.8	156.2	24.1	10.7	8	308.8	27.2	11.5
DESV.ST	15.2	18.1	5	0.4	0.2	14.3	25.6	69.1	133.1	34.6	30.8	21.3	163.4	15.5	1.7

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	24.3	25.9	25.1	29.6	27.6	31.5	31.8	32.8	32.6	31				29.2	10
1992								30.5	32.6	30.3	28.7	27.1		29.8	5
1993	24.5	25.3	27.5	29.9	30.3	32.2	32.6	32.9	32.4	33.6		27.4		29.9	11
1995	23.1	24.2		25	28	30.4	31	31.5	32.8	32	31.6	28.2		28.9	11
1996	27.4	28.6	27.6	30.5	33.8									29.6	5
1997			25.9	25.8	29.3	31	32.9	32.6	32.6	31.5	28.5	25.8		29.6	10
1998	25.5	24.8	26	31	32.6	34.6	35.7	35.3	32.8	31.6	28	28		30.5	12
1999	27.7	27.6	27.8	28.7	29.8	28.9	30.1	30.9	31.5	31	29.4	29.3		29.4	12
2000	28.9	27	25.5	30.9	29.5	32.2	35.3	35.2	32.9	30.5	27.1	28.9		30.3	12
2001	25.5	28.8	26.1	30	30	32.5	33.5	34.8	33.9	31.9	29.8	26.6		30.3	12
2002	26.5	27.8	28.3	29.9	34.4	30.5	34	34.4	33.3	31.5	30.4	26.7		30.6	12
2003	29.1	26.2	27.3	30.3	31.3	28.8	33.4	33.6	31.6	31.9	30.1	27.8		30.1	12
2004	24.4	25	28.1	26.8	31.2	32.7	33.4	34.4	32.5	31.4	28.5	26.4		29.6	12
2005	26.6	24.7	26.3	31.2	29.3	29.4	32.6	33.7	34.3	30.2	30.8	28.2		29.8	12
2006	28	27.9	28.3	31.4	30.4	32.4	34.1	33.1	31.8	31.6	30.2	26.7		30.5	12
2007	24.5	26.3	29.8	28.6	29.9	32.3	33	34.3	32.4	32.9	29.5	26.1		30	12
2008	27.2	28	29	32.1	29.5	30.5	33	32.1	31.8	33.5	30.2	26.9		30.3	12
2009	27.6	28.5	27.8	28.2	31.6	31.5	34.5	34.9	33.2	30	29.2	26.3		30.3	12
2010	26.4	25.3	28.1	26.7	30.1	29.7	30.6	33.5	32.2	30.6	28.9	26.8		29.1	12
2011	26.6	26.5	30.1	28.9	31.5	32.5	33.9	33.9	34.7	34.3	29.3	26.9		30.8	12
2012	28.9	26.4	28.5	28.7	31.6	32	33.7	34.3	32.9	32.1	31.8	27.9		30.7	12
2013	27.3	27.1	31.1	29.7	31	32.1	33.3	34.4	31.8	32.8	28.7	24.6		30.3	12
2014	26	26.4	26.7	27.7	30.4	30.7	31.5	31.6	29.3	29.8	28.1	25.5		28.6	12
2015	25.7	25.9	26.1	26.6	27.3	29.4	31.1	31.2	30	29.1	29.4	25		28.1	12
2016	25.4	28.6	25.9	26.4	26.2	29.4	31.8	30.4	29.8	32.3	29.3	26		28.5	12
2017	24.2	25.1	27.4	27.9	25.8	26.5	31.6	31.9	29.5	32.8	31.2	25.9		28.3	12
2018	27.4	26	29.9	28.9	30.4	29.5	32.8	31.8	30.6	29	28.9	24.5		29.1	12
2019	26.4	25.4	27.5	28.3	26.3	28.9	32.1	32	31.4	30.5	27.4	25.7		28.5	12
2020	26.8	26.6	27.8	28.3	28	30.9	31.6	32.4	32.6	32.6	31	25.7		29.5	12
2021	25.5	26.7	27.9	28.4	28.7	30.2	31.6	32.5	30.7	30.5	29.8	28.2		29.2	12
2022	27.7	26.9	28.4	27.2	28.3	29.1	32.9	31.3	30.6	31.4	28	28.2		29.2	12
2023	25.3	24.8	28.1	27.9	26.7	30.9	33.1	34	33.4	29.8	30.7	29.1		29.5	12
2024	25.9	26.2	27.4	28.4	31.6									27.9	5
MÍNIMA	23.1	24.2	25.1	25	25.8	26.5	30.1	30.4	29.3	29	27.1	24.5		27.9	5
MÁXIMA	29.1	28.8	31.1	32.1	34.4	34.6	35.7	35.3	34.7	34.3	31.8	29.3		30.8	12
