COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3182 
 NOMBRE    : EL CRUCERO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.43888889 ° 
 LONGITUD  : -110.0694444 ° 
 ALTITUD   : 520 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	5	9	1	0	0	0	0	15	50	0.01	34	43	157.01	13.1	12
1992	40	7.9	2.5	0	0	0	68	62	38	0	0	96	314.4	26.2	12
1993	32	0	0	0	0	0	0	35	50	28	33	0	178	14.8	12
1994	0	0	0	0	0	0	1	65	70	62.5	69	30	297.5	24.8	12
1995	0.01	0	0	0	0					0	0.01	10	10.02	1.3	8
1996	0	0	0	0	0	0	5	122.5	173	0.01	7	0	307.51	25.6	12
1997	22.5	0	0.01	2.4	0.01	25.5	47	29.5	41	6	45	12	230.92	19.2	12
1998	0	9	0	0	0	0.01	35	40	256	8.5		0	348.51	31.7	11
1999	0	0	0	0	0	2	25	19	8.5	2.5	0	0	57	4.8	12
2000	0	0	0.4	0	0	3	21	51.5	48	27	10.5	0.01	161.41	13.5	12
2001			6.5					37	272	3	0	0.01	318.51	53.1	6
2002	2	13		0	0	0	65	1	103.5	4	4.5	2	195	17.7	11
2003	6.3	30	0	0	0	0	14	137	177	72	0	0	436.3	36.4	12
2004	22	0.01	0	0	0	0	2	14	40	11	0	0.01	89.02	7.4	12
2005	5	57	0	0.01	0	0	0.01	32	35	8	0	0	137.02	11.4	12
2006	8	0	0	0	0	0	76	46	100	0	0	0	230	19.2	12
2007	10	0	0	0	0	0	0.01	6	228	0	65	6	315.01	26.3	12
2008	0	0	0	0	0	0	5	48.5	20.5	18.6	0	0	92.6	7.7	12
2009	0	0	0.01	0	0.01	0	5	26	35	21	0	15	102.02	8.5	12
2010	13	8	0	0	0	0	0.01	7	42	0	0	0	70.01	5.8	12
2011		0	0	0	0	0	10	17	8	0	8	0	43	3.9	11
2012	0	3	0	0	0	20	10	30	70	30	0	12	175	14.6	12
2013	0	0	0	0	0	0	0.01	16.5	71	19	0	0.01	106.52	8.9	12
2014	0	0	0	0	0.01	14	71	30	354.4	5	0	0	474.41	39.5	12
2015	2	0	0	0	0	40	54	20	28	28	0	2.5	174.5	14.5	12
2016	0	0	0.2	0	0.01	0	38	51	107	19	10	0	225.21	18.8	12
2017	0	7.5	0	0	0	0	0	400	35	45	0	0	487.5	40.6	12
2018	8	12	0	0	0	65	0	42	75	20	0	32	254	21.2	12
2019	23	0	0	0	0	0	20	105	19	62	98	0	327	27.2	12
2020	0	2.5	0	0	0	10	13	95	35	0	0	0	155.5	13	12
2021	5	0	0	0	0	0	0	9	0	0	0	0	14	1.2	12
2022	0	6	0	0	0	0	0	0	25	0	0	0	31	2.6	12
2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MÁXIMA	40	57	6.5	2.4	0.01	65	76	400	354.4	72	98	96	487.5	53.1	12
MEDIA	6.6	5.2	0.3	0.1	0	5.8	18.9	50.3	81.7	15.2	12	7.9	197.4	17.4	11.6
DESV.ST	10.5	11.4	1.2	0.4	0	14.3	24.9	72.5	87.7	20	24.5	19	133.8	12.8	1.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	5	12.01	1	0	0	0	0	33.5	168.2	0.01	69	63.01	351.73	29.3	12
1992	73.01	7.9	2.5	0	0	0	226	175.5	76.03	0	0	96.02	656.96	54.7	12
1993	44.8	0	0	0	0	0	0	85.5	198	29	39.5	0	396.8	33.1	12
1994	0	0	0	0	0	0	1	165.7	109	127.5	113	52	568.2	47.4	12
1995	0.02	0	0	0	0					0	0.05	10	10.07	1.3	8
1996	0	0	0	0	0	0	5.03	478.03	323.53	0.01	7	0	813.6	67.8	12
1997	47.5	0	0.02	3.41	0.01	41.5	120.74	125.35	203.52	15	90.52	21.5	669.07	55.8	12
1998	0	10.52	0	0	0	0.02	114.22	174.03	386.02	25.01		0	709.82	64.5	11
1999	0	0	0	0	0	2.03	50.52	72.05	23.52	2.5	0	0	150.62	12.6	12
2000	0	0	0.4	0	0	4.52	57.42	143.57	139.51	79	25.01	0.01	449.44	37.5	12
2001			6.51					57	681.01	3.01	0	0.01	747.54	124.6	6
2002	2	13		0	0	0	81.01	1.03	297.01	4	5.5	2.01	405.56	36.9	11
2003	8.3	31	0	0	0	0	23.54	409.81	389.01	73.5	0	0	935.16	77.9	12
2004	69.01	0.01	0	0	0	0	9	44.52	147.5	19.03	0	0.01	289.08	24.1	12
2005	8	87.02	0	0.01	0	0	0.02	56.01	75.51	10	0	0	236.57	19.7	12
2006	13	0	0	0	0	0	144.01	75	237	0	0	0	469.01	39.1	12
2007	34.5	0	0	0	0	0	0.01	21.07	270	0	84.02	6	415.6	34.6	12
2008	0	0	0	0	0	0	9.03	332.5	203.01	51.4	0	0	595.94	49.7	12
2009	0	0	0.01	0	0.02	0	5.04	140.05	153	147	0	25	470.12	39.2	12
2010	23	16	0	0	0	0	0.01	26.22	230	0	0	0	295.23	24.6	12
2011		0	0	0	0	0	16.05	35.01	13	0	15.6	0	79.66	7.2	11
2012	0	3.01	0	0	0	20	27.01	97	160	61	0	26	394.02	32.8	12
2013	0	0	0	0	0	0	0.02	38.51	140.7	55	0	0.02	234.25	19.5	12
2014	0	0	0	0	0.02	19.5	294	156	468.41	9	0	0	946.93	78.9	12
2015	2	0	0	0	0	65	67.51	108	194	58	0	2.5	497.01	41.4	12
2016	0	0	0.2	0	0.03	0	87.5	179	193	19	10	0	488.73	40.7	12
2017	0	7.5	0	0	0	0	0	467.5	134	80	0	0	689	57.4	12
2018	8	12	0	0	0	95	0	123	316	59	0	32	645	53.8	12
