COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3184 
 NOMBRE    : JOSEFA ORTIZ DE DOMINGUEZ 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.00055556 ° 
 LONGITUD  : -111.8338889 ° 
 ALTITUD   : 30 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	11	14	10	0		0	0		3	3	12	11.3	64.3	6.4	10
1992	47	2.5	8.5	0	0	0	0	26	0	1.5	0	20	105.5	8.8	12
1993	73	16	0	0	0	0	0	55	10	0	45		199	18.1	11
1994	0	0	0	0	0	0	0	0	0	0	40	65.5	105.5	8.8	12
1995	0	18	0	0	0	0	0	0	10	0	14	5	47	3.9	12
1996	0	0	0	0	0	0	0	16.7		0	0		16.7	1.7	10
1999			0	0	0	0	7	0	0	0	0	0	7	0.7	10
2000	0	0	0	0	0	0	0	12	15	8	0	0	35	2.9	12
2001	0	0	0	0	0	0		0	26	0	0	0	26	2.4	11
2002	0	10.4	0	0	0	0	0	0	9	0	10.4	10	39.8	3.3	12
2003	2	2	0	0	0	0		170	40.8	0	0	0	214.8	19.5	11
2004	20.5	8	13	0	0	0	1	42	46	5	3	4	142.5	11.9	12
2005	67	17	0	0	0	0	0	0	5	21	0	0	110	9.2	12
2006	0	0	0	0	0	0	40	10	26	44	0	1	121	10.1	12
2007	9	0	0	0	0	0	0	0	50	1	8	18	86	7.2	12
2008	0	0	0	0	0	13	0	80	20	30	17	0	160	13.3	12
2009	0	0	0	0	0	0	0	37		30	0	8	75	6.8	11
