COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3185 
 NOMBRE    : SANTA MARTHA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.54861111 ° 
 LONGITUD  : -112.975 ° 
 ALTITUD   : 700 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	0	26	6	0	0	0	0	34	28	0	0	32	126	10.5	12
1992									0	0	0	50	50	12.5	4
1993	40	24	0										64	21.3	3
1994	0	0	0	0	0	0	0						0	0	7
1995	0	12	8	0	0	0	60	0	50	0	25	0	155	12.9	12
1996	0	4	0	0	0	0	0	14			0	0	18	1.8	10
1997	24	13	0	15.6	0	0	0	86	55	0	4.5	47	245.1	20.4	12
1998	0.01	49.5	4	0	0	0	24	42.5	0.01	0	0.01	0	120.03	10	12
1999	0	0	0.01	0	0	0	10.5	59	19.5	0	0	0.01	89.02	7.4	12
2000	0	0	36	0	0	0.01	17	5	8	73	2.8	0	141.81	11.8	12
2001	9	7.5	3.5	6.5	0	0	5	9.5	40	0	0	0	81	6.8	12
2002	0	17	0	0	0	0	0	0.01	22	0	14	23.5	76.51	6.4	12
2003	0	38	5	0	0	0	40	81	71	20	9	11	275	22.9	12
2004	0.01	19	20	0.01	0	0	13	0	74	0	0.01	11.6	137.63	11.5	12
2005	44	61	0	0	0	0	15	33	23	0	0	0	176	14.7	12
2006	0	0.01	0	0	0	5	75	0	139	156	0		375.01	34.1	11
2007	9	0	0	0	0	0	13	0.01	0	21	89	12	144.01	12	12
2008	3	0	0	0	0	0	0	63	0	4	43	4.5	117.5	9.8	12
2009	0.01	0.01	0	0	0	0.01	0.01	28	165	21	0	0.01	214.05	17.8	12
2010	80	15	9	0	0	0	0	53	2	7	0	0.01	166.01	13.8	12
2011	0	0	0	0	0	0	20	0	0	0	14	9	43	3.6	12
2012	0	20	6	0	0	0	0	45	30	0	0		101	9.2	11
2013	2.2	0	0	0	0	0	0	13	35	0	2	6	58.2	4.8	12
2014	0	0	0	0	6	0	23	22	145	20	0	0	216	18	12
2015	13	24	15	30	0	139	41	26	68	21	0	0.01	377.01	31.4	12
2016	8	0	7.5	6	0	0	9	7	80	0	0	40	157.5	13.1	12
2017	15	31	0	0	0	0	0	0	20	0	0	0	66	5.5	12
2018	0.5	5	0	0	0		10	26	21	85		0	147.5	14.8	10
