COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3186 
 NOMBRE    : AGUA DE SAN ANTONIO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.69027778 ° 
 LONGITUD  : -109.9444444 ° 
 ALTITUD   : 840 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								80	360	13	1		454	113.5	4
2000								61	19	40	9	1	130	26	5
2002	0	22	0	0	0	0	36	30	35	0	4	2	129	10.8	12
2003									285	10	2	0	297	74.2	4
2004	32	0	0	0	0	0	55	90	22	8	0	5	212	17.7	12
2005	3	100	0.01	0.01	0	0	80		51	0.01	0	0	234.03	21.3	11
2006	6	0	0	0	0	12.5	101	72	295	0	0	0.01	486.51	40.5	12
2007	4	0	0	0	0	0	21	70	415	37	26	10	583	48.6	12
2008	0	0	0	0	0	0	54	59	21	5	0	0	139	11.6	12
2009	0	0	0	0	0.01	0	14	137	2	57	0	23	233.01	19.4	12
2010	10	15	0	0	0	0	5	63	24	0	0	0	117	9.8	12
2011	0	0	0	0	0	0	21	60	64	38			183	18.3	10
2012	0	4	0	0	0	20	50	36	28	40	0	16	194	16.2	12
2013	0	0	0	0	0	0	20	75	50				145	16.1	9
2014	5	0	0	0	7	1	76	45	407	34	8	0	583	48.6	12
2015	7.5	25	27	0	1	77	50	87	49	35	13.5	0	372	31	12
2016	0	0	9.5	0	2	0	43	90	207	11	25	0	387.5	32.3	12
2017	0	3	7.5	0	0	0	61.5	50	400	14	0	0	536	44.7	12
2018	0	7	0	0	0	90	43	21	45	4	36	18	264	22	12
2019	11	0.5	0	0	0	0	24	61	60	64.5	104	0	325	27.1	12
