COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3187 
 NOMBRE    : EL IHUAJIL 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.99166667 ° 
 LONGITUD  : -111.4 ° 
 ALTITUD   : 105 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998											9.5	0	9.5	4.8	2
1999	0	0	0	0	0	0	0	60	4	0	0	0	64	5.3	12
2000	0	0	0	0	0	0	17	44	53	7	0.01	2	123.01	10.3	12
2001	0.01	0.01	0	0	2	0	23	32	34	0	0	0	91.02	7.6	12
2002	0.01	15	0	0.01	0.01	0	46	0	30	0	10	13	114.03	9.5	12
2003	0.01	21	0	0.01	0	0	0	110	40	0	0	0	171.02	14.3	12
2004	19	6	7	0	0	0	0.01	76.5	28.4	15.9	3.6	3	159.41	13.3	12
2005	40.6	15	29	0	0	0	6	8.8	30	8	0	0	137.4	11.4	12
2006	0	0	0	0	0	0	10	65	64.7	50.3	0	0	190	15.8	12
2007	5.8	0	2	0	0	0.1	0	3.4	33.3	0	8.7	7.6	60.9	5.1	12
2008	0.1	0	0	0	0	0	0	60	34.2	103.3	3.2	0	200.8	16.7	12
2009	0.01	0	0	0	0	19.2	1.5	17.2	83.5	102.5	2	0	225.91	18.8	12
2010	7.5	9.4	0	0	0	0	2.8	20	40	0	0	0	79.7	6.6	12
2011	0	0	0	0	0	0.2	0.01	16.7	0	0	60	1	77.91	6.5	12
2012	0	0	0	0	0	0	0	40	41	75	0		156	14.2	11
2013	0	0	0	0	0	0	8	22	23	95	19	5	172	14.3	12
2014	0	0	0	0	0	0	93	23	123	20	0	0	259	21.6	12
2015	25	0	77	0	0	0	110	20	20	0	0	0	252	21	12
2016	0	0	0	6	0	0	0	62	55	0	0	0	123	10.2	12
2017	0	20	0	0	0	0	0	0	50	0	0	0	70	5.8	12
2018	0	0	0	0	0	0	0	0	22	0	0	0	22	1.8	12
2019	0	0	0	0	0	0	0	0	19	73	60	0	152	12.7	12
2020	0	0	0	0	0	0	0	32	30	20	0	0	82	6.8	12
2021	0	0	0	0	0	0	40	25	25	17	13	23	143	11.9	12
2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2023	0	0	0	0	0	0	0	30	9	26	0	0	65	5.4	12
2024	0												0	0	1
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	40.6	21	77	6	2	19.2	110	110	123	103.3	60	23	259	21.6	12
MEDIA	3.8	3.5	4.6	0.2	0.1	0.8	14.3	30.7	35.7	24.5	7.3	2.2	118.5	10.1	11.2
DESV.ST	9.7	6.8	16.2	1.2	0.4	3.8	29.1	28.3	26.7	35.8	16.3	5.3	72.8	5.9	2.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998											9.5	0	9.5	4.8	2
1999	0	0	0	0	0	0	0	74.03	8.01	0	0	0	82.04	6.8	12
2000	0	0	0	0	0	0	27.01	88.03	92.02	20.5	0.01	2	229.57	19.1	12
2001	0.02	0.02	0	0	2.02	0	38.02	36.03	62	0	0	0	138.11	11.5	12
2002	0.01	15.01	0	0.02	0.02	0	46.01	0	77	0	18	13.02	169.09	14.1	12
2003	0.02	36.02	0	0.03	0	0	0	196	64	0	0	0	296.07	24.7	12
2004	20.01	6	7.01	0	0	0	0.02	116.51	96.41	22.4	3.61	3.03	275	22.9	12
2005	50.5	18.1	29	0	0	0	6	11.8	44.1	9	0	0	168.5	14	12
2006	0	0	0	0	0	0	22.2	151.52	136.2	78.6	0	0	388.52	32.4	12
2007	5.81	0	2	0	0	0.1	0	4.7	46.11	0	14.3	10.6	83.62	7	12
2008	0.13	0	0	0	0	0	0	165.41	132.41	117.9	3.2	0	419.05	34.9	12
2009	0.01	0	0	0	0	27.2	2.91	30.11	92.41	119.1	2	0	273.74	22.8	12
2010	7.5	9.4	0	0	0	0	2.8	44.1	68.1	0	0	0	131.9	11	12
2011	0	0	0	0	0	0.2	0.01	26.42	0	0	65.5	1	93.13	7.8	12
2012	0	0	0	0	0	0	0	90	101.01	147	0		338.01	30.7	11
2013	0	0	0	0	0	0	8	42.01	53.01	113	19	7	242.02	20.2	12
2014	0	0	0	0	0	0	113	56	198	20	0	0	387	32.2	12
2015	25	0	127	0	0	0	110	20	61	0	0	0	343	28.6	12
2016	0	0	0	6	0	0	0	108	75	0	0	0	189	15.8	12
2017	0	20	0	0	0	0	0	0	95	0	0	0	115	9.6	12
2018	0	0	0	0	0	0	0	0	58	0	0	0	58	4.8	12
2019	0	0	0	0	0	0	0	0	19	73	115	0	207	17.2	12
2020	0	0	0	0	0	0	0	32.01	55	20	0	0	107.01	8.9	12
2021	0	0	0	0	0	0	40	25	45	17	13	23	163	13.6	12
2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2023	0	0	0	0	0	0	0	63	9	45	0	0	117	9.8	12
2024	0												0	0	1
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	50.5	36.02	127	6	2.02	27.2	113	196	198	147	115	23	419.05	34.9	12
MEDIA	4.2	4.2	6.6	0.2	0.1	1.1	16.6	55.2	67.5	32.1	10.1	2.4	186.1	15.7	11.2
DESV.ST	11.3	9	25.8	1.2	0.4	5.4	31.9	55.9	45.9	46.7	25.3	5.5	121.8	10.1	2.8

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1999	13.07	14.41	15.65	16.67	20.73	18.59							99.12	16.5	6
MÍNIMA	13.07	14.41	15.65	16.67	20.73	18.59							99.12	16.5	6
MÁXIMA	13.07	14.41	15.65	16.67	20.73	18.59							99.12	16.5	6
MEDIA	13.1	14.4	15.7	16.7	20.7	18.6							99.1	16.5	6
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998											28.9	22.8		25.9	2
1999	26.2	28.5	27.8	28	32	34.1	34.1	36.1	33.6	34.8	29.9	25.8		30.9	12
2000	27.7	27.5	27.1	29.9	30.7	34.3	36.1	35.8	33.1	28.2	26	27.6		30.3	12
2001	23.1	25.6	25.9	29.2	31.2	33.7	36.7	36.6	34.6	32.3	28.9	25.1		30.2	12
2002	25.2	26.8	26.9	29.5	32.5	34.5	35.5	36.8	34.1	29.7	30	23.5		30.4	12
2003	28.4	24.9	27	28.5	32.8	31.8	35.2	35.1	32.5	31.7	29.2	25.9		30.2	12
2004	22.4	23.9	30.6	28.8	34.2	35.1	36.4	36.5	32.4	29.2	26	24.9		30	12
2005	24	23	26.8	30.1	31.2	32.5	34.9	35.3	36	30.5	29.6	27.5		30.1	12
2006	26.2	28.6	28.5	31.2	30.7	33.4	35.4	33.9	32.7	31.9	29.2	27.5		30.8	12
2007	20.8	24.9	29.2	26.1	28	32.2	32.1	32.2	28.5	29	24.8	19.8		27.3	12
2008	22.3	24.9	27.1	28.2	27.8	32.4	36.5	29.3	31.2	30.3	27.8	25		28.6	12
2009	27.2	28.5	32.5	29	34.1	34.8	37.3	37.6	34.5	29.5	29.7	23		31.5	12
2010	27.9	25.1	31.2	29.8	32.2	33.1	34.6	37.1	35.9	31.4	29.5	27.8		31.3	12
2011	28.1	27.6	29.3	32.2	32.5	36.6	37.3	38	39.4	36.2	26.8	23.4		32.3	12
2012	28.2	21	19.9	20.1	21.6	20.4	21.5	25	25.7	23.7	22.8			22.7	11
