COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3188 
 NOMBRE    : SAN JAVIER SUR 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 22.99666667 ° 
 LONGITUD  : -109.8452778 ° 
 ALTITUD   : 220 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								183	304	5	0	0	492	98.4	5
1999	0	0	0	0	0	0			20.5	0	0	0	20.5	2	10
2000	0	0	0	0	0	14	20			13	7	0	54	5.4	10
2001	0	0	0	0	0	0		26	360	0	0		386	38.6	10
2002	0	7	0	0	0	0	0	0	15	0	47	2	71	5.9	12
2003	0	0	0	0	0	0	0	43	175	0	0	0	218	18.2	12
2004	95		0	0	0	0	11	0	29	20	0	0	155	14.1	11
2005	1.5	57	0	0	0	0	3	27	17	76	0	0	181.5	15.1	12
2006	3.5	0	0	0	0	0	0	8	223	25	1	0	260.5	21.7	12
2007	4	0	0	0	0	0	0	7	152	0	14.5	21	198.5	16.5	12
2008	0	0	0	0	0	0		55	88	0	0	0	143	13	11
2009	0	0	0	0	1	0	0	31	14	57	3	31	137	11.4	12
2010	0	12	6	0	0	0	0	2.5	53	0	0	0	73.5	6.1	12
2011	0	0	0	0	0	0	20	13	0	0	11.5	0	44.5	3.7	12
2012	0	3	0	0	2.5	0	0	100	45	120	0	20	290.5	24.2	12
2013	0	0	0	0	0	0	20	52	56	93	1	0	222	18.5	12
2014	0	0	13	0	0	0	73	75	360	0	2	0	523	43.6	12
2015	0	18			5	20	21	71	36	53	20	16	260	26	10
2016	0	0	0	0	0	0	4.5	48	106	0	0	0	158.5	13.2	12
2017	0	0	0	0	6	0		330	9	0	0	0	345	31.4	11
2018	0	9	0	0	0	178	0	25	143	0	0	25	380	31.7	12
2019	0	0	0	0	0	0		90	50	6	100	2	248	22.5	11
2020	0	26	0	0	0	0	0	98	3	0	0	0	127	10.6	12
2021	0	0	0	0	0	0	0	133	57	0	0	0	190	15.8	12
2022	0	0	0	0	0	0	0	0	125	0	0	0	125	10.4	12
2023	0	0	0	0	0	0	15	30	30	0		0	75	6.8	11
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MÁXIMA	95	57	13	0	6	178	73	330	360	120	100	31	523	98.4	12
MEDIA	4	5.3	0.8	0	0.6	8.5	9.4	60.3	98.8	18	8.3	4.7	199.2	19.4	11
DESV.ST	18.6	12.6	2.8	0	1.6	35.6	17.1	73.8	108.8	33.3	21.7	9.5	136.5	19.2	1.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								345	389	7.5	0	0	741.5	148.3	5
1999	0	0	0	0	0	0			29	0	0	0	29	2.9	10
2000	0	0	0	0	0	19	20			37	9	0	85	8.5	10
2001	0	0	0	0	0	0		42	589	0	0		631	63.1	10
2002	0	7	0	0	0	0	0	0	46.3	0	72	3	128.3	10.7	12
2003	0	0	0	0	0	0	0	92	286	0	0	0	378	31.5	12
2004	112.5		0	0	0	0	11	0	82.5	43	0	0	249	22.6	11
2005	1.5	57	0	0	0	0	3	36	17	83	0	0	197.5	16.5	12
2006	7	0	0	0	0	0	0	8	273	43.5	1	0	332.5	27.7	12
2007	9	0	0	0	0	0	0	7	313	0	14.5	21	364.5	30.4	12
2008	0	0	0	0	0	0		84	186	0	0	0	270	24.5	11
2009	0	0	0	0	1	0	0	32	31	132	3	31	230	19.2	12
2010	0	16	7.5	0	0	0	0	6.5	62	0	0	0	92	7.7	12
2011	0	0	0	0	0	0	33	32	0	0	11.5	0	76.5	6.4	12
2012	0	3	0	0	2.5	0	0	278	142	140	0	20	585.5	48.8	12
2013	0	0	0	0	0	0	20	114	122	100	2	0	358	29.8	12
2014	0	0	13	0	0	0	136	141	482	0	2	0	774	64.5	12
2015	0	37			5	20	32	110.5	129.5	83	21.5	16	454.5	45.5	10
2016	0	0	0	0	0	0	4.5	126.6	141.5	0	0	0	272.6	22.7	12
2017	0	0	0	0	6	0		416	9	0	0	0	431	39.2	11
2018	0	9	0	0	0	178	0	69	247	0	0	25	528	44	12
2019	0	0	0	0	0	0		135	104	25	281	2	547	49.7	11
2020	0	31	0	0	0	0	0	133	3	0	0	0	167	13.9	12
2021	0	0	0	0	0	0	0	133	57	0	0	0	190	15.8	12
2022	0	0	0	0	0	0	0	0	205	0	0	0	205	17.1	12
2023	0	0	0	0	0	0	20	78.5	30	0		0	128.5	11.7	11
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MÁXIMA	112.5	57	13	0	6	178	136	416	589	140	281	31	774	148.3	12
MEDIA	5	6.4	0.8	0	0.6	8.7	14	100.8	159	26.7	16.7	4.7	312.8	30.5	11
DESV.ST	22	14.4	2.9	0	1.6	35.7	30.8	108.7	157.1	43.8	57	9.4	214.4	29.4	1.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								35	37.3	34.9	30.3	23		32.1	5
1999	22.8	23.6	24.4	22.8	28.8	32.3			37.6	32.4	28.9	26		28	10
2000	25.9	24.6	26.8	26.6	32.8	33.1	35.8			32.7	30.6	33.4		30.2	10
2001	24.9	24.6	24.6	28.7	31.3	35.5								28.3	6
2003						34.7	35.3	34.4	31.4	33.5	31	28.5		32.7	7
2004	25.5		29.8	29.5	34.4	35.7	35.4	34.4	33.2	32	29.1	28.4		31.6	11
2005	27.7	27.1	27.5	31.2	30.7	30.6	34.1	34.6	32.2	30	28.7	26.2		30	12
2006	24.5	25.4	26.1	28.5	30.8	33.9	33.1	32.4	30.2	30.4	30.9	27.9		29.5	12
2007	25.4	25.9	30.6	32.5	33.9	35.6	36.9	37.7	30	30.5	28.1	24.4		31	12
2008	24	24.7	26.4	28.8	30.2	32.4		29.6	29	29.6	27.4	24.1		27.8	11
2009	23.7	24.8	25.2	25.8	29.3	31.9	33.1	33.1	33.3	32	26.4	24.1		28.6	12
2010	22.2	22.5	24.8	26.2	29.1	32.6	33.3	35.2	32.5	31.9	28.5	27.6		28.9	12
2011	25.2	26.2	28.7	31.1	33.7	32.6	33.8	35.8	33.8	34.1	27.7	24.9		30.6	12
2012	27.5	28.4	29.8	29.7	33.9	32.9	33.6	30.5	30.2	29.2	28.6	23.7		29.8	12
2013	23.7	24.8	28.3	28.1	32.9	34.1	33.8	34.3	31.6	28.9	30.3	28.4		29.9	12
2014	29.4	30.8	30.6	33.9	35.8	37.6	36	37.3	38					34.4	9
2015					31.2	35.5	35	35.9	33.7	33.3	32.6	27.7		33.1	8
2016	27.1	31	30.8	31.8	32	36.4	37.3	35.7	33.6	34.5	33.6	30.5		32.9	12
2017	26.8	27.2	31.1	31.8	34.2	33.3		33.9	33.3	33	34.1	28.4		31.6	11
2018	29.4	31.2	29.7	32.2	30.1	33	36.9	36.5	33.8	33.2	27.9	30.3		32	12
2019	30	30	29.7	31.7	34.2	34.9		37	36.7	32.8	32.5	27.5		32.5	11
2020	25.1	27.2	30	32.1	34.8	38.3	39.5				34.4			32.7	8
2021	27.9	23.2	24.8	35.7	28	30.2	29.8	28.7	31.3					28.8	9
2022	24.7	24.6	24.6	29.3		25	23.5	23.2						25	7
2023	22.7	22.5	25.4	27.1	34.5	36.5	35.5	35.5	33.4					30.3	9
2024	25.8	24.5		29.2	28.1									26.9	4
MÍNIMA	22.2	22.5	24.4	22.8	28	25	23.5	23.2	29	28.9	26.4	23		25	4
MÁXIMA	30	31.2	31.1	35.7	35.8	38.3	39.5	37.7	38	34.9	34.4	33.4		34.4	12
MEDIA	25.7	26.1	27.7	29.8	31.9	33.7	34.3	33.8	33.1	32	30.1	27.1		30.4	9.8
DESV.ST	2.2	2.7	2.4	2.9	2.4	2.8	3.3	3.4	2.5	1.8	2.4	2.7		2.2	2.4

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								39	41	38	36	26		36	5
1999	26	28	27	26	32	34			39.5	37	33	31		31.4	10
2000	30	27	31	29	39	40	39			35	34	36		34	10
2001	29	29	30	34	39	39								33.3	6
2003						37	40	38	35	34	37	32		36.1	7
2004	29		37	35	38	40	38	37	36	38	34	32		35.8	11
2005	33	33	31	37	35	35	38	39	36	33	32	33		34.6	12
2006	28	29	30	34	35	40	36	39	36	37	34	31		34.1	12
2007	30	28	35	39	38	39	39	40	34	34	31	28		34.6	12
2008	28	29	32	34	33	38		35	31	34	31	27		32	11
2009	26	30	28	30	38	39	38	39	39	39	29	27		33.5	12
2010	27	26	28	31	35	37	37	39	36	36	33	31		33	12
2011	29	31	34	38	39	38	39	39	37	37	34	34		35.8	12
2012	31	31	32	36	38	38	38	35	37	36	31	27		34.2	12
2013	30	29	31	32	38	38	39	39	38	33	35	33		34.6	12
2014	34	37	35	39	42	41	40	39	39					38.4	9
2015					36	40	40	40	38	37	36	34		37.6	8
2016	31	35	37	36	36	39	40	39	39	38	37	36		36.9	12
2017	32	35	35	37	35	36		36	35	38	38	32		35.4	11
2018	32	35	36	39	36	39	45	42	38	37	35	36		37.5	12
2019	33	32	36	35	37	39		41	38	36	37	30		35.8	11
2020	26	30	34	35	37	45	43				38			36	8
2021	30	27	29	39	32	35	32	31	35					32.2	9
2022	26	26	30	32		30	29	26						28.4	7
2023	26	26	29	31	37	41	41	38	36					33.9	9
2024	29	26		38	31									31	4
MÍNIMA	26	26	27	26	31	30	29	26	31	33	29	26		28.4	4
MÁXIMA	34	37	37	39	42	45	45	42	41	39	38	36		38.4	12
MEDIA	29.3	30	32.1	34.6	36.3	38.2	38.5	37.6	36.8	36.2	34.2	31.4		34.5	9.8
DESV.ST	2.5	3.3	3.1	3.6	2.6	2.9	3.5	3.6	2.2	1.8	2.6	3.2		2.3	2.4

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								22.9	20	18.7	14.5	12.8		17.8	5
1999	12	12.9	13.8	12.2	18.9	21.5			17.3	16.8	15.3	10.8		15.2	10
2000	9.6	10.4	11.5	12.8	16	20.8	21.5			17.2	13.3	15.9		14.9	10
2001	8.9	10.1	11.6	12	13.6	15.7								12	6
2003						25.3	25.5	25.3	23.5	24	18.6	14.5		22.4	7
2004	12.2		15.6	15.9	20.9	23.4	24.5	23.4	22.5	21.1	16.4	12.6		19	11
2005	14.8	14.5	14.7	18.1	19.2	21.9	24.5	24.6	24.6	20.2	17.9	14.5		19.1	12
2006	13.1	13.5	14.3	16.7	19.5	23.6	24.2	22.9	20.6	19.4	16.9	13.6		18.2	12
2007	11.4	12.2	13.8	15	18.5	22	23.4	23.9	23	19.9	16.9	12.8		17.7	12
2008	12.3	10.9	13	18.1	18.2	21.7		21.5	18.8	16	15.1	12.2		16.2	11
2009	12.5	9.6	9.5	10.5	16.9	18.7	18.9	20.7	17.1	13.2	13.8	10.3		14.3	12
2010	8.7	11.1	10.1	9	12.1	14	15.3	20.3	20.9	18.8	14.8	6		13.4	12
2011	12.2	9.5	14.4	16.1	17.9	21	23.4	23.1	24	20.1	15.1	12.2		17.4	12
2012	8.6	9.7	10.9	14.9	18.5	21.3	23	22.8	22	19.2	17	13.6		16.8	12
2013	12.3	11.6	15.2	14.7	17.7	20.9	22.5	21.9	21	18.6	17.3	14.2		17.3	12
2014	15.4	16.2	16.1	16.8	21.9	24	23.7	20.9	19.2					19.4	9
2015					18.6	22.8	24	24.5	23.8	21.5	18.7	15.1		21.1	8
2016	12.6	15	15.6	16.8	20.7	22.8	24.1	22.1	21	22	18.4	15.6		18.9	12
2017	12.3	12.6	15.8	16.7	15.2	21.8		15.3	21.1	21.8	19	15.4		17	11
2018	14.3	13.4	12.1	16.8	19.1	17.8	18.3	20.4	20.2	19	16.6	13.5		16.8	12
2019	12.8	13.2	14.9	16.5	20.5	18.3		20.4	19.3	15.7	18.7	13.6		16.7	11
2020	12	14.7	13.2	19.2	22	21.9	23.5				13.4			17.5	8
2021	11.8	13.4	11.2	20.7	19.1	19.8	21.8	10.7	10.8					15.5	9
2022	13.9	13	14.5	18.1		14.1	19.1	19.7						16.1	7
2023	8.9	8.5	15.1	17	16.3	19.6	20.9	22.3	20.3					16.5	9
2024	18.6	0		13.8	18.4									12.7	4
MÍNIMA	8.6	0	9.5	9	12.1	14	15.3	10.7	10.8	13.2	13.3	6		12	4
MÁXIMA	18.6	16.2	16.1	20.7	22	25.3	25.5	25.3	24.6	24	19	15.9		22.4	12
MEDIA	12.2	11.6	13.5	15.6	18.2	20.6	22.2	21.4	20.5	19.1	16.4	13.1		16.9	9.8
DESV.ST	2.3	3.3	2	2.8	2.4	2.9	2.6	3.3	3	2.6	1.9	2.3		2.4	2.4

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								20	16	14	13	8		14.2	5
1999	8	11	11	11	15	19			14	13	11	8		12.1	10
2000	6	9	9	10	12	17	20			12	10	12		11.7	10
2001	5	7	10	10	10	12								9	6
2003						23	22	23	20	22	15	10		19.3	7
2004	10		10	12	14	20	20	20	18	17	14	10		15	11
2005	12	10	13	14	16	16	21	21	20	16	15	10		15.3	12
2006	10	10	10	14	14	20	21	19	16	14	14	10		14.3	12
2007	9	9	10	11	14	16	20	20	20	16	12	9		13.8	12
2008	8	8	9	14	14	17		20	13	12	12	8		12.3	11
2009	8	5	5	5	14	16	14	17	14	9	11	5		10.2	12
2010	6	4	5	5	9	10	11	15	18	14	12	4		9.4	12
2011	10	0	10	13	14	15	20	20	21	16	12	9		13.3	12
2012	6	7	8	11	14	17	20	18	20	16	15	9		13.4	12
2013	8	7	10	11	16	16	18	17	18	14	14	9		13.2	12
2014	11	12	14	14	18	21	20	20	16					16.2	9
2015					15	20	21	22	20	18	15	10		17.6	8
2016	9	10	10	12	16	17	20	15	15	16	11	12		13.6	12
2017	9	10	12	13	12	15		12	12	19	15	11		12.7	11
2018	8	10	1	12	12	13	13	16	0	13	13	10		10.1	12
2019	10	11	12	15	20	15		2	17	14	16	12		13.1	11
2020	7	12	10	0	20	19	21				12			12.6	8
2021	10	10	10	10	14	18	19	10	10					12.3	9
2022	10	10	10	11		10	17	16						12	7
2023	4	7	11	14	14	17	19	20	18					13.8	9
2024	14	0		10	15									9.8	4
MÍNIMA	4	0	1	0	9	10	11	2	0	9	10	4		9	4
MÁXIMA	14	12	14	15	20	23	22	23	21	22	16	12		19.3	12
MEDIA	8.6	8.1	9.5	11	14.4	16.6	18.8	17.3	16	15	13.1	9.3		13.1	9.8
DESV.ST	2.3	3.4	2.8	3.5	2.6	3.2	3	4.8	4.7	2.9	1.7	2.1		2.4	2.4

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998								29	28.6	26.8	22.4	17.9		24.9	5
1999	17.4	18.2	19.1	17.5	23.9	26.9			27.5	24.6	22.1	18.4		21.6	10
2000	17.8	17.5	19.1	19.7	24.4	27	28.6			25	22	24.6		22.6	10
2001	16.9	17.4	18.1	20.4	22.4	25.6								20.1	6
2003						30	30.4	29.9	27.4	28.8	24.8	21.5		27.5	7
2004	18.9		22.7	22.7	27.6	29.6	30	28.9	27.9	26.6	22.8	20.5		25.3	11
2005	21.2	20.8	21.1	24.6	25	26.2	29.3	29.6	28.4	25.1	23.3	20.4		24.6	12
2006	18.8	19.4	20.2	22.6	25.1	28.8	28.6	27.6	25.4	24.9	23.9	20.8		23.8	12
2007	18.4	19	22.2	23.8	26.2	28.8	30.1	30.8	26.5	25.2	22.5	18.6		24.3	12
2008	18.1	17.8	19.7	23.5	24.2	27		25.6	23.9	22.8	21.2	18.1		22	11
2009	18.1	17.2	17.4	18.1	23.1	25.3	26	26.9	25.2	22.6	20.1	17.2		21.4	12
2010	15.4	16.8	17.4	17.6	20.6	23.3	24.3	27.8	26.7	25.4	21.6	16.8		21.1	12
2011	18.7	17.9	21.6	23.6	25.8	26.8	28.6	29.4	28.9	27.1	21.4	18.5		24	12
2012	18	19	20.4	22.3	26.2	27.1	28.3	26.6	26.1	24.2	22.8	18.6		23.3	12
2013	18	18.2	21.8	21.4	25.3	27.5	28.1	28.1	26.3	23.8	23.8	21.3		23.6	12
2014	22.4	23.5	23.4	25.4	28.8	30.8	29.9	29.1	28.6					26.9	9
2015					24.9	29.1	29.5	30.2	28.8	27.4	25.6	21.4		27.1	8
2016	19.9	23	23.2	24.3	26.4	29.6	30.7	28.9	27.3	28.2	26	23		25.9	12
2017	19.6	19.9	23.5	24.2	24.7	27.5		24.6	27.2	27.4	26.6	21.9		24.3	11
2018	21.9	22.3	20.9	24.5	24.6	25.4	27.6	28.4	27	26.1	22.2	21.9		24.4	12
2019	21.4	21.6	22.3	24.1	27.4	26.6		28.7	28	24.2	25.6	20.6		24.6	11
2020	18.6	21	21.6	25.6	28.4	30.1	31.5				23.9			25.1	8
2021	19.9	18.3	18	28.2	23.6	25	25.8	19.7	21					22.2	9
2022	19.3	18.8	19.6	23.7		19.6	21.3	21.4						20.5	7
2023	15.8	15.5	20.2	22	25.4	28	28.2	28.9	26.9					23.4	9
2024	22.2	12.2		21.5	23.2									19.8	4
MÍNIMA	15.4	12.2	17.4	17.5	20.6	19.6	21.3	19.7	21	22.6	20.1	16.8		19.8	4
MÁXIMA	22.4	23.5	23.5	28.2	28.8	30.8	31.5	30.8	28.9	28.8	26.6	24.6		27.5	12
MEDIA	19	18.9	20.6	22.7	25.1	27.2	28.3	27.6	26.8	25.6	23.2	20.1		23.6	9.8
DESV.ST	1.9	2.6	1.9	2.7	1.9	2.5	2.5	2.8	1.9	1.7	1.8	2.1		2.1	2.4
