COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3190 
 NOMBRE    : SAN LAZARO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.59138889 ° 
 LONGITUD  : -109.6791667 ° 
 ALTITUD   : 79 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	0	14	0	0	0	0	14	2	16	13	39	5	103	8.6	12
2003	2	2	0	0	0	0	2	129	264	0	0	0	399	33.2	12
2004	36	5	0	0	0	0	9	6	105	29	0	0	190	15.8	12
2005	0	40	0	0	0	0	8	14	23	80	0	4	169	14.1	12
2006	12	0	0	0	0	0	150	60	270	30	0		522	47.5	11
2007	13	0	0	0	0	0	6	50	180	0	28	14	291	24.2	12
2008	0	0	0	0	0	0	7	90	112	12	0	0	221	18.4	12
2009	0	0	0	0	0	0	0	90	89	80	0	30	289	24.1	12
2010	0	12	0	0	0	0	0	0.01	70	0	0	0	82.01	6.8	12
2012	0	3	0	0	0	0	0	30	20	80	0	28.5	161.5	13.5	12
2013	0	0	0	0	0	0	0	40	58	100	10	0	208	17.3	12
2014	0	0	0	0	0	0	0	18	360	0	0	0	378	31.5	12
MÍNIMA	0	0	0	0	0	0	0	0.01	16	0	0	0	82.01	6.8	11
MÁXIMA	36	40	0	0	0	0	150	129	360	100	39	30	522	47.5	12
MEDIA	5.2	6.3	0	0	0	0	16.3	44.1	130.6	35.3	6.4	7.4	251.1	21.2	11.9
DESV.ST	10.8	11.7	0	0	0	0	42.3	41.2	113.2	38.5	13.2	11.6	130.1	11.6	0.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	0	14	0	0	0	0	14	2	20	22	45	5	122	10.2	12
2003	2	4	0	0	0	0	2	242	441	0	0	0	691	57.6	12
2004	64	5	0	0	0	0	18	6	234	59	0	0	386	32.2	12
2005	0	79	0	0	0	0	8	14	34	117	0	4	256	21.3	12
2006	12	0	0	0	0	0	168	105	435	53	0		773	70.3	11
2007	13	0	0	0	0	0	6	71	264	0	28	14	396	33	12
2008	0	0	0	0	0	0	14	157	184	33	0	0	388	32.3	12
2009	0	0	0	0	0	0	0	100	110	272	0	30	512	42.7	12
2010	0	12	0	0	0	0	0	0.01	95	0	0	0	107.01	8.9	12
2012	0	3	0	0	0	0	0	58.3	69	260	0	31.5	421.8	35.1	12
2013	0	0	0	0	0	0	0	121	118	102	16	0	357	29.8	12
2014	0	0	0	0	0	0	0	73	468	0	0	0	541	45.1	12
MÍNIMA	0	0	0	0	0	0	0	0.01	20	0	0	0	107.01	8.9	11
MÁXIMA	64	79	0	0	0	0	168	242	468	272	45	31.5	773	70.3	12
MEDIA	7.6	9.8	0	0	0	0	19.2	79.1	206	76.5	7.4	7.7	412.6	34.9	11.9
DESV.ST	18.4	22.3	0	0	0	0	47.3	72.5	163.3	96.9	14.8	12.2	200.2	17.7	0.3

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	25.7	27.1	29.5	32	30.6	31.1	32.2	32.1	31.3	29.4	27.5	22.7		29.3	12
2003	24.7	23.1	23.9	26.2	29.3	33.1	37.1	36	28.6	29	26.6	24.5		28.5	12
2004	22.2	22.1	27.4	26.6	31.6	33.4	31.9	32.9	30.1	28.9	25.9	26		28.2	12
2005	28.4	29.1	29.1	29.8	36.7	35.9	39.4	39.4	37.2	29.6	26.5	29.1		32.5	12
2006	29.1	29.5	32.1	35.2	35.9	37.3	37.8	38.6	36.9	34.1	27.9			34	11
2007	21.5	24.6	28.9	30.2	31.1	33.6	39.6	39.2	37.3	36.2	30.5	27.5		31.7	12
2008	27.7	28.4	28.3	30.5	32.3	35	36.6	37.7	36.4	36.5	34.9	27		32.6	12
2009	25.9	25.9	27.9	32.6	37.9	38.6	38.7	39.1	38.6	33.3	23.9	24.3		32.2	12
2010	26.8	25.7	24.5	30.9	32.3	39	38.1	38	36.8	35.2	33.5	28.6		32.5	12
2012	30	28.9	30.3	30.2	36.5	37.5	37.3	34.9	33.6	33.3	32	28.1		32.7	12
2013	28.1	29.9	35.6	32.7	31.4	36.8	37.2	37.4	36.2	35	29.5	26.1		33	12
2014	29.5	30.9	30.1	32.5	34.8	32	33.5	33.3	33.9	31.9	31.9	28.6		31.9	12
MÍNIMA	21.5	22.1	23.9	26.2	29.3	31.1	31.9	32.1	28.6	28.9	23.9	22.7		28.2	11
MÁXIMA	30	30.9	35.6	35.2	37.9	39	39.6	39.4	38.6	36.5	34.9	29.1		34	12
MEDIA	26.6	27.1	29	30.8	33.4	35.3	36.6	36.5	34.7	32.7	29.2	26.6		31.6	11.9
DESV.ST	2.8	2.8	3.1	2.5	2.8	2.6	2.6	2.6	3.2	2.9	3.4	2.1		1.9	0.3

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	28	31	33	38	36	35	39	38	39	33	30	26		33.8	12
2003	28	27	27	29	34	37	39	40	31	32	31	28		31.9	12
2004	26	28	38	31	34	39	34	39	35	34	30	31		33.2	12
2005	30	31	32	34	40	40	41	42	41	32	30	32		35.4	12
2006	33	33	37	39	40	40	41	41	40	40	31			37.7	11
2007	25	28	34	32	34	41	42	41	41	40	35	31		35.3	12
2008	36	32	31	34	36	39	39	40	39	39	38	31		36.2	12
2009	29	28	31	38	41	41	41	42	41	40	28	28		35.7	12
2010	31	31	29	37	36	41	40	41	40	38	38	31		36.1	12
2012	34	32	33	34	40	39	40	38	37	36	36	33		36	12
2013	31	34	38	35	36	39	40	40	39	38	32	29		35.9	12
2014	32	35	33	34	37	35	36	35	38	34	35	30		34.5	12
MÍNIMA	25	27	27	29	34	35	34	35	31	32	28	26		31.9	11
MÁXIMA	36	35	38	39	41	41	42	42	41	40	38	33		37.7	12
MEDIA	30.2	30.8	33	34.6	37	38.8	39.3	39.8	38.4	36.3	32.8	30		35.1	11.9
DESV.ST	3.3	2.6	3.4	3	2.6	2.1	2.3	2	2.9	3.2	3.4	2		1.6	0.3

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	7.7	7.3	9.3	13.5	17	21.6	23.9	23.1	22.2	17.6	13.5	10.2		15.6	12
2003	10.8	12.3	11.5	15	17.3	20.5	20.2	21.6	20.3	18.3	13.3	9.8		15.9	12
2004	9.6	8.2	11.2	13	16.8	20.6	22.4	22	20.2	15.7	11.8	9.3		15.1	12
2005	10.4	10.6	10.1	12.2	20.7	18.1	21.6	21.2	16.9	12.1	11.2	10.3		14.6	12
2006	9.4	10.9	12.7	13.8	16.1	19.2	23.1	18.5	19.2	18.8	14.3			16	11
2007	8.7	6.9	8.5	10.1	11.1	17.7	20	20.7	19.7	16.1	10.9	7.3		13.1	12
2008	7.8	9.1	10.2	12.4	13.2	18.3	23.4	22.4	20.8	18.7	14.8	6.6		14.8	12
2009	6.1	6.9	9.5	15.5	12.3	17.6	21.5	22.5	15.3	13.2	10.7	5.5		13.1	12
2010	4.6	5	6.1	10.2	15.5	15.1	22.4	24.2	23.3	17.3	12.6	10.8		13.9	12
2012	10.1	9.7	10.7	11.8	15.2	18.2	20.3	24.5	17.4	22.3	19.5	13.9		16.1	12
2013	10	14.5	25.4	22.3	16.8	18.3	19.3	21.1	20.5	18.5	13.8	11.4		17.7	12
2014	19.8	20.3	19.9	21.6	25.1	21.8	22.9	23.6	22.9	20.9	19.7	20.1		21.6	12
MÍNIMA	4.6	5	6.1	10.1	11.1	15.1	19.3	18.5	15.3	12.1	10.7	5.5		13.1	11
MÁXIMA	19.8	20.3	25.4	22.3	25.1	21.8	23.9	24.5	23.3	22.3	19.7	20.1		21.6	12
MEDIA	9.6	10.1	12.1	14.3	16.4	18.9	21.8	22.1	19.9	17.5	13.8	10.5		15.6	11.9
DESV.ST	3.7	4.1	5.3	3.9	3.7	1.9	1.5	1.7	2.4	2.9	3	4		2.3	0.3

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	2	5	6	10	12	19	22	21	17	12	10	5		11.8	12
2003	7	9	9	10	14	16	14	16	15	12	10	5		11.4	12
2004	6	5	6	10	13	16	19	20	16	12	9	5		11.4	12
2005	7	8	7	8	15	16	20	20	13	10	6	7		11.4	12
2006	6	7	10	11	14	14	20	15	15	14	7			12.1	11
2007	4	4	6	7	8	12	15	18	16	11	7	1		9.1	12
2008	4	5	6	10	10	14	20	20	16	16	10	4		11.2	12
2009	4	4	6	9	10	14	16	20	12	10	8	2		9.6	12
2010	3	2	3	7	11	11	18	20	21	14	10	6		10.5	12
2012	7	6	8	10	12	15	16	21	14	20	16	10		12.9	12
2013	6	12	23	20	12	15	16	18	18	15	11	10		14.7	12
2014	15	17	18	20	22	20	21	20	20	20	17	17		18.9	12
MÍNIMA	2	2	3	7	8	11	14	15	12	10	6	1		9.1	11
MÁXIMA	15	17	23	20	22	20	22	21	21	20	17	17		18.9	12
MEDIA	5.9	7	9	11	12.8	15.2	18.1	19.1	16.1	13.8	10.1	6.5		12.1	11.9
DESV.ST	3.3	4.1	5.8	4.4	3.5	2.6	2.6	1.9	2.6	3.4	3.4	4.5		2.6	0.3

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	16.7	17.2	19.4	22.8	23.8	26.4	28	27.6	26.8	23.5	20.5	16.4		22.4	12
2003	17.8	17.7	17.7	20.6	23.3	26.8	28.6	28.8	24.5	23.6	20	17.1		22.2	12
2004	15.9	15.2	19.3	19.8	24.2	27	27.1	27.4	25.1	22.3	18.9	17.6		21.6	12
2005	19.4	19.9	19.6	21	28.7	27	30.5	30.3	27	20.9	18.9	19.7		23.6	12
2006	19.2	20.2	22.4	24.5	26	28.2	30.4	28.6	28	26.5	21.1			25	11
2007	15.1	15.8	18.7	20.1	21.1	25.6	29.8	30	28.5	26.2	20.7	17.4		22.4	12
2008	17.8	18.8	19.2	21.4	22.8	26.6	30	30	28.6	27.6	24.9	16.8		23.7	12
