COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3191 
 NOMBRE    : SAN FRANCISCO DE LA SIERRA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.59833333 ° 
 LONGITUD  : -113.0319444 ° 
 ALTITUD   : 1080 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2006							15	0	116	199	0	0	330	55	6
2007	12	0	0	0			5.5	10	17	10.5	82	15	152	15.2	10
2008							0	120	17.5	0	33	0	170.5	28.4	6
2009	6	6	0	0	0	0	7	80	210	0	0	5	314	26.2	12
2010	50	40	0	0	0	0	0	40	0	0	0	0	130	10.8	12
2011	0	0	0	0	0	0	5	21	0	0	0	6.9	32.9	2.7	12
2012	0	20	0	0	0	0	0	70	47	50	0		187	17	11
2013	30	0	0	0	0	0	10	16	38	0	4.5	8	106.5	8.9	12
2014	0	0	0	0	0	0	68	30	340	50	0	0	488	40.7	12
2015	27	24	0	41	0	156	56	57	88	67	0	0	516	43	12
2016	20	0	10	0.7	0	2	38	42	45	0	0	40	197.7	16.5	12
2017	23	34	0	0	0	0	7	20	210		0	0	294	26.7	11
2018	0	7	0	0	0	0	9	40	3	127	1.5	2	189.5	15.8	12
2021	0	0	0	0	0	28	4	5	17	0	0	115	169	14.1	12
2022	0	0	0	0	0	4	3	11	50	0	0	0	68	5.7	12
2023	20	10	3	0	0	0	33	115		0	0	0	181	16.5	11
2024	2	3	20	2									27	6.8	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	27	2.7	4
MÁXIMA	50	40	20	41	0	156	68	120	340	199	82	115	516	55	12
MEDIA	12.7	9.6	2.2	2.9	0	14.6	16.3	42.3	79.9	33.6	7.6	12.8	209	20.6	10.5
DESV.ST	15.2	13.5	5.6	10.5	0	43.2	21	37.2	99.4	58.8	21.5	30.2	140.1	14.4	2.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2006							22	0	143.5	199	0	0	364.5	60.8	6
2007	12	0	0	0			14.3	14.1	36.9	10.5	86	15	188.8	18.9	10
2008							0	182.6	17.5	0	33	0	233.1	38.9	6
2009	6	11	0	0	0	0	7	91.5	280	0	0	5	400.5	33.4	12
2010	110	40	0	0	0	0	0	63	0	0	0	0	213	17.8	12
2011	0	0	0	0	0	0	5	21	0	0	0	6.9	32.9	2.7	12
2012	0	36	0	0	0	0	0	179	62	60	0		337	30.6	11
2013	30	0	0	0	0	0	15	57	53	0	4.5	10.4	169.9	14.2	12
2014	0	0	0	0	0	0	99	66	625	77	0	0	867	72.2	12
2015	27	32	0	41	0	156	98	57	207	87	0	0	705	58.8	12
2016	27	0	10	0.7	0	3	52	42	45	0	0	47	226.7	18.9	12
2017	43	34	0	0	0	0	7	21	217		0	0	322	29.3	11
2018	0	17	0	0	0	0	14.02	48	3.02	167.01	1.5	2	252.55	21	12
2021	0	0	0	0	0	28	4	12.3	53	0	0	117	214.3	17.9	12
2022	0	0	0	0	0	4	3	32	152	0	0	0	191	15.9	12
2023	24	18	3	0	0	0	79	204		0	0	0	328	29.8	11
2024	2	7	35	2									46	11.5	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	32.9	2.7	4
MÁXIMA	110	40	35	41	0	156	99	204	625	199	86	117	867	72.2	12
MEDIA	18.7	13	3.2	2.9	0	14.7	26.2	68.2	126.3	40	7.8	13.6	299.5	29	10.5
DESV.ST	29	15.4	9.2	10.5	0	43.1	35.2	64.4	164	65.8	22.4	31.1	210.1	19	2.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2018				32									32	32	1
MÍNIMA				32									32	32	1
MÁXIMA				32									32	32	1
MEDIA				32									32	32	1
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
