COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3194 
 NOMBRE    : BUENAVISTA SUR 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.98055556 ° 
 LONGITUD  : -110.15 ° 
 ALTITUD   : 400 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000										5.5	1	0	6.5	2.2	3
2001	0	0	0	0	2.1	0	13	7.3	360	17.5	0	1.2	401.1	33.4	12
2002	2.1	20	0	0	0	0	14	16.4	55	0	0	0	107.5	9	12
2003	8	40	0	0	0	0	0.5	90.8	285	0	0	0	424.3	35.4	12
2004	20	7.5	0	0	0	0	18.3	31	11.4	7.3	0	0	95.5	8	12
2005	5.3	53	0	0	0	0	0	0	30.5	0	0	0	88.8	7.4	12
2006	9.5	0	0	0	0	1	23.6	18.5	185	35.5	0	3.1	276.2	23	12
2007	8.5	0	0	0	0	0	2	18	230	0	25	20.5	304	25.3	12
2008	0	0	2.5	0	0	0	9.5	105	10.5	35	0	0	162.5	13.5	12
2009	0	0	0	0	0	0	0	55	45	0	0	0	100	8.3	12
2010	5	0	1	0	0	0	0	3.2	16.5	9.5	0	5.9	41.1	3.4	12
2011	0	0	0	0	0	0	40	32	30.5	45.5	29.5	0	177.5	14.8	12
2012	0	5.5	0	0	0	0.01	0.5	60	75	42	0	20	203.01	16.9	12
2013	0	0	0	0	0	2.5	2	35	103	0	0	2	144.5	12	12
2014	0	0	0	0	0.01	40	50	60	110	22.5	0	0	282.51	23.5	12
2015	21.5	0.01	15	0.01	0	10	40	46	40	16	5	0.01	193.53	16.1	12
2016	0	0	22	0	6	32	20	49	90	0.01	3	0.1	222.11	18.5	12
2017	0.01	13	0.2	0	0	0.01	19	50	4	2	0		88.22	8	11
2018	6	0.01	0	0	0	50	20	18	60	1	0.01	53	208.02	17.3	12
2019	8	0	6	0	0	0.01	0.01	27	65	60	66	0.01	232.03	19.3	12
2020	0	26	0.6	0.01	0	4	16	9	47	10	0	12	124.61	10.4	12
