COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3196 
 NOMBRE    : LA HIGUERILLA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.86944444 ° 
 LONGITUD  : -110.0708333 ° 
 ALTITUD   : 420 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000										8	1	0	9	3	3
2001	1	0	0.8	0	10	0	12	12.5	300	20	0	0	356.3	29.7	12
2002	0	20	0	0	0	0	20	20	65	0	0	0	125	10.4	12
2003	8	30	0	0	0	11	21.2	306	220	9.5	0	0	605.7	50.5	12
2004	24.5	6.5	16	0	0	0	48	42	23	8.1	0	0	168.1	14	12
2005	7	43	0	0	0	0	0	40	54	0	0	0	144	12	12
2006	14	0	0	0	0	0	71	62	289	69	0	2	507	42.2	12
2007	11	0	0	0	0	0	6	7	88	0	0	19	131	10.9	12
2008	0	0	0	0	0	0	11.5	32	22	27	2	0	94.5	7.9	12
2009	0	0	0	0	0	0	1.7	61	97	27	3	41.2	230.9	19.2	12
2010	4	8	1	0	0	0	2.1	21	42.5	0	0	0	78.6	6.6	12
2011	0	0	0	0	0	12	57	62	42	8	22	0	203	16.9	12
2012	0	3.8	0	0	0	0	0	69	107	58	0	15	252.8	21.1	12
2013	1	0	0	0	0	0	3	23.2	64	18	1.2	7	117.4	9.8	12
2014	0	0	0	0	1.5	0	118	60	130	5.5	0	0	315	26.2	12
2015	5	18	75	1	0	1.5	28	56.3	81	34	11	0	310.8	25.9	12
2016	0	0	13.5	1.5	9.5	0	44	72	93	8.2	0	0	241.7	20.1	12
2017	0	7.5	0	0	0	0	2	36	123	1	0	0	169.5	14.1	12
2018	5.5	0	0	0	0	48	3.2	162	69.9	11	0	51	350.6	29.2	12
2019	13	0	3	0	0	0	14	18	180	34	48	0	310	25.8	12
2020	1.6	18	0	0	0	2	28	125	31	6.5	0	4.5	216.6	18	12
2021	0	0	0	0	0	29	20.7	83.5	116	17	0	0	266.2	22.2	12
2022	23	0	0	0	0	9	21	111	547	3	0	0	714	59.5	12
2023	0	26.9	0	0	0	0	24.2	29	18	383	3	0	484.1	40.3	12
MÍNIMA	0	0	0	0	0	0	0	7	18	0	0	0	9	3	3
MÁXIMA	24.5	43	75	1.5	10	48	118	306	547	383	48	51	714	59.5	12
MEDIA	5.2	7.9	4.8	0.1	0.9	4.9	24.2	65.7	121.8	31.5	3.8	5.8	266.7	22.3	11.6
DESV.ST	7.4	12.2	15.9	0.4	2.8	11.6	28.1	64.7	121.2	77	10.6	13.4	171.5	14.1	1.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000										8	1	0	9	3	3
2001	1.4	0	0.8	0	10	0	19.5	30.5	456.9	26	0	0	545.1	45.4	12
2002	0	20	0	0	0	0	35	52	178	0	0	0	285	23.8	12
2003	8	30	0	0	0	11	45.7	329	270.5	14.1	0	0	708.3	59	12
2004	61.5	6.5	16	0	0	0	124.1	187.4	59.3	21.7	0	0	476.5	39.7	12
2005	13.5	76	0	0	0	0	0	108	110	0	0	0	307.5	25.6	12
2006	14	0	0	0	0	0	113	203	416	119.5	0	2	867.5	72.3	12
2007	18	0	0	0	0	0	6	13	125	0	0	33	195	16.2	12
2008	0	0	0	0	0	0	23.5	132	43.3	79.5	2	0	280.3	23.4	12
2009	0	0	0	0	0	0	1.7	185	176	54.6	3	41.2	461.5	38.5	12
2010	4	14	1	0	0	0	2.1	52.3	111.4	0	0	0	184.8	15.4	12
2011	0	0	0	0	0	12	66.9	112.9	84.7	9	25.5	0	311	25.9	12
2012	0	3.8	0	0	0	0	0	181.5	237.2	58	0	29	509.5	42.5	12
2013	1	0	0	0	0	0	3.01	39.5	183	27	1.2	7	261.71	21.8	12
2014	0	0	0	0	1.5	0	294.5	231.3	276	11.1	0	0	814.4	67.9	12
2015	10	18	82.5	1	0	1.5	73.9	164.5	146.8	61.5	11	0	570.7	47.6	12
2016	0	0	13.5	1.5	9.5	0	58.5	121	161.5	15.7	0	0	381.2	31.8	12
2017	0	7.5	0	0	0	0	2	85.8	135.5	1	0	0	231.8	19.3	12
2018	5.5	0	0	0	0	48	3.2	238.5	234.8	12	0	51	593	49.4	12
2019	17.9	0	3	0	0	0	27	33.7	292	42	136	0	551.6	46	12
2020	1.6	25.5	0	0	0	2	33	134.5	122.5	9	0	4.5	332.6	27.7	12
2021	0	0	0	0	0	29	20.7	224	158	17	0	0	448.7	37.4	12
2022	23	0	0	0	0	10	43	309.6	608.5	3	0	0	997.1	83.1	12
2023	0	26.9	0	0	0	0	24.2	77.12	41	400	3	0	572.22	47.7	12
MÍNIMA	0	0	0	0	0	0	0	13	41	0	0	0	9	3	3
MÁXIMA	61.5	76	82.5	1.5	10	48	294.5	329	608.5	400	136	51	997.1	83.1	12
MEDIA	7.8	9.9	5.1	0.1	0.9	4.9	44.4	141.1	201.2	41.2	7.6	7	454	37.9	11.6
DESV.ST	13.7	17.6	17.4	0.4	2.8	11.6	64.7	89	138.7	82	27.9	14.9	235.3	19.4	1.8
