COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7001 
 NOMBRE    : ABASOLO CHIAPAS (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOSINGO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.83333333 ° 
 LONGITUD  : -92.21722222 ° 
 ALTITUD   : 1280 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970										48	24	16	88	29.3	3
1971	11	8	28	4.5	26	42	31	27	92.5	38.5	76.5	15	400	33.3	12
1972	14	26	20	29.5	65	33	64.5	46	26	39	31.5	50.5	445	37.1	12
1973	15	8	0.5	52.5	54	56	29.5	75	115	48.5	26	17.5	497.5	41.5	12
1974	19	30	6.5	28	22.5	65	56	18	86	30.5	12.5	9.5	383.5	32	12
1975	11	5	18	9.5	30	53.5	38.5	56.5	36	126.5	42.5	8.5	435.5	36.3	12
1976	10.5	28	2	18.5	17	41.5	53.5		47	44.5	54.5	10	327	29.7	11
1977	5.5	18	10	17.5	30.5	62.5	18	62	76.5	33	32	27	392.5	32.7	12
1978	10.5	11	28	43	66	63.5	43	48.5	47	104	14	30	508.5	42.4	12
1979	15	10	5	35	22	44.5	47	33	58	26.5	24	24.5	344.5	28.7	12
1980	7	10	34.1	39.6	42	93.5	61	45	64.5	57	42	18.5	514.2	42.9	12
1981	18.5	18.5	74.5	40	41.5	49	59.5	62.5	75.5	45	7.5	11.5	503.5	42	12
1982	7.5	19.5	31.5	15	62.5	51	33	40.5	51.5	20	24	17.5	373.5	31.1	12
1983	14.5	27	13	15.5	17.5	49	51	43	71	24.5	45.5	26.5	398	33.2	12
1984	10	8.5	6	24.5	84.5	93	44	27.5	40.5	45.5	6	19.5	409.5	34.1	12
1985	9.5	29	25.5	33.5	47.5	49.5	18	37.5	46	31	12	47.5	386.5	32.2	12
1986	15	30.6	29.5	5	62.5	31.5	21	31	23	30.5	29	19	327.6	27.3	12
1987	4.5	7	70	50	32.5	49.5	44	23	74.2	11.5	17	80	463.2	38.6	12
1988	33.5	14	29	9	22.6	56	32	100	55	60	20	4.5	435.6	36.3	12
1989	16	12	9	32	38	52.5	62	60	67	59	27.5	10	445	37.1	12
1990	10	9	36	32	23.5	28	48.5	54	41	32	47.5	53.5	415	34.6	12
1991	13	11	11.5	84	34	40	18.5	28.6	58.7	43	16	47.8	406.1	33.8	12
1992	12.5	5.5	20	25	32	69.5	23.3	41	89	36	20	21	394.8	32.9	12
1993	8.8	30.5	24	17	21.5	29.5	21	45.5	29	17.5	24.5	17.5	286.3	23.9	12
1994	13.5	22	7.5	22.7	20	59.5	23.7	43.5	33.5	54.2	20	5.9	326	27.2	12
1995	9.5	16	38	48	56	29.5	62.8	67.2	58	33.5	27	11	456.5	38	12
1996	20.5	5	31	66	25.5	30	47.7	53.5		21.3	40.5	16.3	357.3	32.5	11
1997	7.2	23.5	7.7	44	63	49	36.5	32.5	63.5	32	23.8	12.8	395.5	33	12
1998	9	11.5	7	3.5	9.5	43.5	44	29	66.5	44	49.2	9.8	326.5	27.2	12
1999	11.6	9.8	6.5	46.5	19.5	75.4	57.3	69	68	27			390.6	39.1	10
2001	9.6	31.1	5.9	38.5	100	45	34.9	73.5	63	37.6			439.1	43.9	10
2002	24.3	5.8	14.3	7.9	8.5	39.2	55.8	29.2	28.4	64.6	20.4	39.2	337.6	28.1	12
2003	18.4	12.8	31.9	8	10.4	36.6	72.8	21.9	28.9	43.3	40.7	37.1	362.8	30.2	12
2004	13.2	12	20	24.3	15.3	35.2	63.4	40.8	35.8	87.9	30	62.2	440.1	36.7	12
2005	23.4	7	2.5	16.2	45	48.6	41.1	49	35.3	41	13.9	11.8	334.8	27.9	12
2006	16.1	20.5	27	33.2	48.3	32.4	44.6	68.6	47.5	42.2	21.3	29.1	430.8	35.9	12
2007	38.2	12.5	15	11	78.5	38.1	28	50.5	65.3	87.4	21.5	5.8	451.8	37.6	12
2008	20	32.8	12.2	31.3	68.5	70.3	51.8	26.5	50	35	7.6	10	416	34.7	12
2009	12.5	14.7	10.3	65.8	44.3	71.2	29	37.6	78.2	36	13.5	26	439.1	36.6	12
2010	20	9.5	29.2	26	35.3	54.6	35				33.8	23	266.4	29.6	9
2011	33.7	13.5	52	24.2	12	50.8	48.2	50.3	100	31.5	22.7	11.7	450.6	37.5	12
2012	12	10.8	16.8	40	37	72.1	29.4	61.3					279.4	34.9	8
MÍNIMA	4.5	5	0.5	3.5	8.5	28	18	18	23	11.5	6	4.5	88	23.9	3
MÁXIMA	38.2	32.8	74.5	84	100	93.5	72.8	100	115	126.5	76.5	80	514.2	43.9	12
