COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7002 
 NOMBRE    : ABELARDO L. RODRIGUEZ 
 ESTADO    : CHIAPAS 
 MUNICIPIO : COMITÁN DE DOMÍNGUEZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.37916667 ° 
 LONGITUD  : -92.2375 ° 
 ALTITUD   : 1920 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944	0	10.5	11.3	12	12	43.5	18.6	27.3	43	16	0	0.01	194.21	16.2	12
1945	3	2	20	0.5	35.5	39.5	45	78.6	66.8	38.9	7.3	27.5	364.6	30.4	12
1946	2	0.4	5.2	24.8	25.5	35.2	59	42.4	56.2	35.6	8	14	308.3	25.7	12
1947	6.2	5.2	17.5	35	45.2	60	17		40	24		10.5	260.6	26.1	10
1948	0.5	5.4	0.5	18.5	25.2	20.5	60.9	23.2	62.7	23.5	12		252.9	23	11
1962							6	25	12	8.9	31.2	12.8	95.9	16	6
1963	9.2	0	4	0	6.2	40	0	0	21.1	8	20	1.5	110	9.2	12
1964	0	0	10	25	20	67.5	40	29	24	0	20.5	0.5	236.5	19.7	12
1965	0	13	0	0	20	75	13	20	20	20	5	0	186	15.5	12
1966	4	8.5	15	20	20.5	31.5	23.5	23.1	56.1	50	1.1	0	253.3	21.1	12
1967	0.5	5	14	70	12.5	34	18	5.5	28.1	47.5	9.3	3	247.4	20.6	12
1968	3	4	1	5.5	57.5	64.5	18.5	23	45	54.5	8	13.5	298	24.8	12
1969	11.5	0.1	26	38.2	20	38.2	38	40.5	30.5	38.1	9	0	290.1	24.2	12
1970	3	0	0	14	10	19.5	54	57.5	20	20	0	38	236	19.7	12
1971	0	17	7.5	0	15	20	18.5	30	24	10	15	0	157	13.1	12
1972	0	0	24.5	10.5	15	35	27	20		9	12	5	158	14.4	11
1973	0	10	5.5	24	25.5	28		69	10	40	0	0	212	19.3	11
1974	0	0	0	20.3	9.1	23	12	73	25	1.2	0	0.3	163.9	13.7	12
1975	0.4	1	0.2	0.2		29	24	1.6	8.5	27		2.1	94	9.4	10
1976	1	1	13	3	13	2.3	18	4	27	0.9	9	0.8	93	7.8	12
1977	0.1	0.1	0.6	5.5	14.4	37.3	0.9	22.4	41	25	5	0.1	152.4	12.7	12
1978	0.01	0	26	17	31	40	53	40	52	59	6.3	41	365.31	30.4	12
1979	0	0		50	24	40		29	51	28	0	3	225	22.5	10
1980	29	10	1	62	85.3	17.8	43.6	28.8	40		7.8	0	325.3	29.6	11
1981	0	18.6	20	18.5	32.5	80	25.2	34.4	28.6	32.1	0	0	289.9	24.2	12
1982	0	20	3.8	16.7	55.2	56.8	18.1	13.2	44	39	6	0	272.8	22.7	12
1983	0	46.5	26.3	4.1	14.6	47.3	27.5	120	82	40	12.5	5.2	426	35.5	12
1984	2.4	1.5	10.2	20	48.5	45.5	42.5	50.5	40.5	6.5	0.1	1	269.2	22.4	12
1985	4	9	4.5	13	12.4	56.2	13.8	45	33.6	13.8	17.5	0.01	222.81	18.6	12
1986	0.1	9.6	0.1	28.2	75.8	16.2	17.2	6	15	37.8	6.5	0.1	212.6	17.7	12
1987	0	0.1	10.3	9.5	46	57.5	10.8	7.5	40	40	6	7.5	235.2	19.6	12
1988	9	6.8	5.2	22.5	50.5	33	42.5	24	58.2	21.5	19	0.01	292.21	24.4	12
1989	2.5	4.2	12.4	14	33.2	67	22	58.5	26.2	53	4.8	2.5	300.3	25	12
1990	8.5	6.5	10.5	17.5			36.5	18.5	18.5	17.5	22.5	0.01	156.51	15.7	10
1991	1.5	7	0	15	72	60	51	37.5	43	12.5	8.5	0.01	308.01	25.7	12
1992	0.1	3.5	13.5	10.5	20	42	25	22	51	44.5	13.5	25	270.6	22.6	12
1993	0	9.5	10	11.5	20	47.5	20	43.5	20	48.5	0.1	5.5	236.1	19.7	12
1994	18.5	2	0	23.5	20	55	22.5	60	23.5	11.5	16.5	0	253	21.1	12
1995	0	0	24	48	23.5	63.5	38.5	65	30.5	23	5	6.5	327.5	27.3	12
1996	0	0	9.5	26.5	28.5	24.5	22.5	45.5	22.5	31.5	8.5	0	219.5	18.3	12
1997			7.5	23	36	40	29	30.5	52	40	50	6.5	314.5	31.4	10
1998	0	9.5	0	0	22	55.5	28.5	28	40	51	40	0	274.5	22.9	12
1999	0	0	7.5	35.5	20	84	73	45	73	29.5	0	7.5	375	31.2	12
2000	0	0	0	12.5	60.5	52	25.5	55.5	42.5	23.5	16.5	0.01	288.51	24	12
2001	0	4	0.01	12.5	32.5	54	28	29.5	31	23.5	17	17.5	249.51	20.8	12
2002	0	20	6	13.5	35.5	30	8	30	40	45.5	12.5	0	241	20.1	12
2003	0	0	25	31	12	32.5	14	26.5	51.5	20	12.5	31	256	21.3	12
2004	0	0	27.5	40	31	42.5	20	8.5	43.5	31.5	0.01	0	244.51	20.4	12
2005	0	0	14.5	20	30	55.5	46	55.8	27.5	53	30.3	4.5	337.1	28.1	12
2006	0.01	10.5	5.5	23.5	31	52.5	38.5	38	17	24	24.5	0.01	265.02	22.1	12
2007	0.01	0	0.01	20	40	44.5	32.5	40	42.5	32	5.5	0	257.02	21.4	12
2008	0	0.01	10.5	25.5	25.5	25.5	19	20.7	20.7	13.5	6	0	166.91	13.9	12
2009	0	0	0	10	10.1	20.1	13.1	6.3	9.1	13	7	19	107.7	9	12
2010	0	0	10.1	25	10.3	11	10	16	20	4	4	0	110.4	9.2	12
2011	10	5.2	5	5	13.1	25	46.4	65	13.4	30	8.3	0	226.4	18.9	12
2012	0	12	10	36.5	40.3	51.3	15.3	24.5	16.1	10	0	2.1	218.1	18.2	12
2013	0.5	0	0	10	13	67.1	10.1	20	31	10.1	7.4	13.5	182.7	15.2	12
2014	0.1	4.5	24.5	26	25	51	0	42	23.7	20.5	18.5	0	235.8	19.6	12
2015	1.5	1.5	1.1	19.5	40	16.5	43	20	34	43.3	11	3.05	234.45	19.5	12
2016	0	1.7	11.5	40	45	72.1	7.5	40.1	31	0	10	0.1	259	21.6	12
2017	7.3	0	0	19.5	40								66.8	13.4	5
MÍNIMA	0	0	0	0	6.2	2.3	0	0	8.5	0	0	0	66.8	7.8	5
MÁXIMA	29	46.5	27.5	70	85.3	84	73	120	82	59	50	41	426	35.5	12
MEDIA	2.4	5.2	9	20.1	29.4	42.7	26.8	34	34.6	26.7	10.6	5.6	237.4	20.5	11.6
DESV.ST	5.1	7.8	8.6	14.7	17.5	18.3	16.3	21.9	16.4	15.8	10.1	9.7	75.5	6	1.3

LLUVIA TOTAL MENSUAL
