COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7007 
 NOMBRE    : AMATENANGO DEL VALLE 
 ESTADO    : CHIAPAS 
 MUNICIPIO : AMATENANGO DEL VALLE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.52805556 ° 
 LONGITUD  : -92.43777778 ° 
 ALTITUD   : 1820 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964										0	15	17	32	10.7	3
1965	9	10	17.5	22.1	46	71.5	21	37	45.5	28	8	0.01	315.61	26.3	12
1966	0.1	0.5	52	22.5	46	45	44	70	50	48	13	2	393.1	32.8	12
1967	6	2	17.5	29	25	45	11.5	37	48	50	0.01	9.5	280.51	23.4	12
1968	2.5	6	0	21.5	36	55	56	68	70	20	9	28	372	31	12
1969		0	3.5	15.5	15	41	40		80	28.7	3	0	226.7	22.7	10
1970	0.5	0	0	27	45	37.7	50	46	37	35	0.4	0	278.6	23.2	12
1971	7	0	0	0	0	26	26	0	50.2	42.4	30.4	4	186	15.5	12
1972	1	0	2	17	8.7	31.5	31.5	27.6	33.4	17	37	8	214.7	17.9	12
1973	0	1	0	9.5	53.5	44	42.5		45	20	8	6	229.5	20.9	11
1974	5.5	0	12	20	18.5	102	55	36	52	9	0.5	8	318.5	26.5	12
1975	8.5	5.5	7.5	0.3	44	30	52.5	45.5	103.5	25.5	22.5	0	345.3	28.8	12
1976	1	0	20.5	50.5	33.5	45	27.5	46	30.5	32.5	45.5	0	332.5	27.7	12
1977	0	0	0	8.5	55.5	18.5	15.5	43.5	42.5	37.5	10.5	8.5	240.5	20	12
1978	28.5	3.5	11.5	5.5	45.5	44.5	94.5	49.1	56.5	25.5	16.5	17.5	398.6	33.2	12
1979	0	0	11.5	20.5	24	24.5	56.5	47.5	62.5	72.5	0	26.5	346	28.8	12
1980	5	0	0	45.5	43.5	50.5	26.5	28.5	45.5	13.5	2.5	1	262	21.8	12
1981	0	2.5	7.5	35.5	31.5	56.5	58.5	66.5	62.5	60.5	0	0	381.5	31.8	12
1982	0	8.5	8	8.5	58.5	32.5	20	52.5	52.5	20.3	30.5	0	291.8	24.3	12
1983	0	52.5	36.5	8.5	15.5	32.8	51	34.5	84.4	11.5		3.5	330.7	30.1	11
1984	0	0	0	0	48.5	82.5	52.5	70.5	30.5	12.5	0	19	316	26.3	12
1985	0	18.5	8.5	15.5	23.5	92.5	28.5	49.5	23.5	17.5	35.5	32.5	345.5	28.8	12
1986	0	0	0	23.5	112.5	50.5	28.5	24.5		13.5	4.5	0	257.5	23.4	11
1987	0	0	0	12.5	41.5	34.5	63	40	72	8	0	12	283.5	23.6	12
1988	8	2	11	23.5	13	73	58	47	67	22	7	1	332.5	27.7	12
1989	0	0.5	3	9	51	79	26.5	50	88	36	10	0	353	29.4	12
1990	2	0	11.5	23	68.5	30	37	40	25.5	14	9	8.5	269	22.4	12
1991	0	0	0	15	40	47	41	34	50	26	10	0	263	21.9	12
1992	0	0	0	24	30.5	46	36.5	34	30	25	19	5	250	20.8	12
1993	3	12.5	15.5	31	21	64	19	80.5	47.5	40	2	0	336	28	12
1994	13	4	0	14	46.5	32	69	74	25	22	21.5	0	321	26.8	12
1995	0	0	17	66	35	40	57	42	56	27	8.4	8.1	356.5	29.7	12
1996	10	5.1	4	22	33.3	51	30	131.5	70	5	31	4	396.9	33.1	12
1997	2	3	3	13.5	50.5	53	35.5	46.1	93	40	32.5	12.5	384.6	32	12
1998	0	12.5	0	0	18	40	40	73	70.5	28.6	106.5	0	389.1	32.4	12
1999	1.2	2.5	5.5	39	26	92.5	70	50				19.2	305.9	34	9
2000	0	0	5.5	7.5	60	28.7	30.7	53.3	49.2	7.5	3	0.7	246.1	20.5	12
2001						73.2	74.5	31.8	52.2	28.8	0.4	17.7	278.6	39.8	7
2002	0	0.9	2.4	18.3	63.1	47.2	39.5	34.6	53.8	40	6	26.4	332.2	27.7	12
2003	0	0	6.8	2.6	41	28.5	62	61.4	82.8	24	8.4	7.2	324.7	27.1	12
2004	0.01	0	0	28.5	22.3	36.8	76.5	44.2	48.2	41.5	5.5	10.8	314.31	26.2	12
2005	0	0	15.5	10.5	23.1	80.2	25.3	57	44	119	18	5.5	398.1	33.2	12
