COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7010 
 NOMBRE    : ARCO DE PIEDRA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VENUSTIANO CARRANZA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.2 ° 
 LONGITUD  : -92.66666667 ° 
 ALTITUD   : 717 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949			0.01	4.5	51.7	28.2	26.3	51	69.5	32.1	2	0.01	265.32	26.5	10
1950	8.9	0.6	36.4	5.9	35.1	75.4	45	80.4	62.4	48.2	0.1	0.1	398.5	33.2	12
1951	0.01	0.2	0.01	0.3	40.7	38	47.8	25.4	49.5	42.5	8.7	0.01	253.13	21.1	12
1952	0	0	16.4	24.4	35.6	40.3	66.5	38.2	64.5	68.5	10	1.3	365.7	30.5	12
1953	1	0	0	12	28.6	86	30.7	41.2	56.5	34	3.4	0.7	294.1	24.5	12
1954	0.01	0.01	32.3	35	45.6	56	50.2	55.2	67.5	43	1	0.01	385.83	32.2	12
1955	1.5	2	12	27.4	39	26.6	59.8	41	26	50.4	2.7	5.2	293.6	24.5	12
1956	2.9	0	3.5	11.3	23.5	105.2	35.4	41.8	101.8	80	2.3	0.01	407.71	34	12
1957	1.5	12	43	34.5	7	89.2	39.5	29	67.9	25.2	2.5	0.01	351.31	29.3	12
1958	0.2	0	0	27.1	27.4	58.5	60.4	58.9	50.7	77.5	23.2	5.5	389.4	32.5	12
1959	0.01	0.8	0.5	6.7	50.2	36.2	32.2	29.5	38.5	89	7	0	290.61	24.2	12
1960	0.8	0	0	9.5	26.5	63.5	53.8	64.1	84.6	67.5	1.9	0.1	372.3	31	12
1961	0.2	5.4	15.5	13.2	36.9	74.8	40.5	57	44	44.6	10.5	1.5	344.1	28.7	12
1962	0.1	0	0.3	10	20	33	41.5	30.4	90.2	33.5	2.5	0.7	262.2	21.9	12
1963	0.01	0.8	0.4	24	72.9	42.9	45	21.5	37.9	3.8	40.7	0.01	289.92	24.2	12
1964	0.01	0	4.3	4.3	12.8	70.5	58.5	46.5	34.6	33.5	18.6	18.2	301.81	25.2	12
1965	1.4	0.01	6.5	7	30.8	54.8	37.8	51.9	42.9	26	8.4	0.8	268.31	22.4	12
1966	0.01	0.01	16.5	45	52.1	30.3	55.5	42.9	83.5	26.9	15.6	1	369.32	30.8	12
1967	6.8	14.4	2.3	57.3	20.2	51.2	22	50	35.2	36	0.3	13.5	309.2	25.8	12
1968	0.01	55.1	0.01	12.5	44.5	56.8	35.5	54.4	73.4	90.5	4	2	428.72	35.7	12
1969	0	0	0.1	30.4	41.4	56.8	93.2	57.2		29.9	1.8	0.9	311.7	28.3	11
1970	0	0	0	8.4	10.5	58.6	73.7	53.7	73.3	33.4	3.9	22.3	337.8	28.1	12
1971	0.01	0.01	0	1.5	13.4	52.5	65.3	66	60.9	0	13.2	0.3	273.12	22.8	12
1972	0	0.7	0.2	28	27.8	39.6	71	35.5	38	20.5	37	0	298.3	24.9	12
1973	0	0	0	8.5	16.5	72	90	57	13.5	128	10.3	0.1	395.9	33	12
1974	0	0.3	27.6	9									36.9	9.2	4
MÍNIMA	0	0	0	0.3	7	26.6	22	21.5	13.5	0	0.1	0	36.9	9.2	4
MÁXIMA	8.9	55.1	43	57.3	72.9	105.2	93.2	80.4	101.8	128	40.7	22.3	428.72	35.7	12
MEDIA	1	3.7	8.4	17.6	32.4	55.9	51.1	47.2	57	46.6	9.3	3	319	27.1	11.6
DESV.ST	2.2	11.3	12.9	14.4	15.6	20.4	18.5	14.1	21.8	29.3	10.7	6	77.4	5.5	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949			0.01	11.5	135.45	117.84	140.05	277.83	553.01	86.65	8.12	0.08	1330.54	133.1	10
1950	9.54	0.63	36.86	8.15	85.44	276.41	232	272.45	265.66	119.56	0.92	1.61	1309.23	109.1	12
1951	0.01	0.2	0.02	0.31	168.03	173	254.24	121.57	356.13	133.53	17.29	0.15	1224.48	102	12
1952	0	0	22.8	61.91	131.8	254.25	317.65	181.8	345.04	228.66	12.88	1.53	1558.32	129.9	12
1953	1	0	0	18	90.61	368.62	193.4	148.47	347.85	151.97	5.21	1	1326.13	110.5	12
1954	0.03	0.02	39.51	104.31	173.31	388.52	208.78	341.91	242.53	154.65	1.51	0.09	1655.17	137.9	12
1955	1.53	2	12.41	34.11	74.22	173.92	468.72	183.02	126.76	243.55	3.47	14.67	1338.38	111.5	12
1956	2.98	0	3.5	13.21	209.71	446.01	145.58	179.73	410.32	154.76	6.24	0.08	1572.12	131	12
