COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7011 
 NOMBRE    : ARGELIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHICOMUSELO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.88333333 ° 
 LONGITUD  : -92.36666667 ° 
 ALTITUD   : 660 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1948									52	7	5	7	71	17.8	4
1949	0.01	0		0.01	3	35.5	16.5	21	46	35	2	0.5	159.52	14.5	11
1950	0	6	0.01	0.01	40.5	26.5	40	35	31	48			227.02	22.7	10
1952				32.8	24.6	76.4	83.7	38	40	76.5	5.3	6.5	383.8	42.6	9
1953	0.01	1	0	0	13	67.5	45.5	14.5	73	42	1.5	8.5	266.51	22.2	12
1954	0	20	4.5	15.5	42.5	56	60	73	49	32.7	15	0	368.2	30.7	12
1955	0.01	16	0	8	17	43	54.5	46.5	66.1	33.5	58	8.3	350.91	29.2	12
1956	1	0	0	2	42.4	36.2	23	22.7	111.2	17.5	7.5	0.01	263.51	22	12
1957	2	7.8	1.3	22	35	39.1	23.3	18.5	57.7	7	24	0.4	238.1	19.8	12
1958	1	0.5	10.6	8.2	35.5	60	27.9	42.4	33	62.3	17	4.8	303.2	25.3	12
1959	1.5	0	13.5	20.8	21	38	47.8	29.4	64	44.1	15.1	0.7	295.9	24.7	12
1960	7	0	0	1.5	34.5	64.5	25.5	55.7	54.3	42.5	7.8	0	293.3	24.4	12
1961	6.5	4	12.8	13.5	18.1	50.3	38.4	42	35.6	82	32	5.6	340.8	28.4	12
1962	3	0	13.1	28.5	11	35.1	57.5	66	71.5	42	0.1	0.4	328.2	27.4	12
1963	1.2	6.8	11	7.8	5	37	40	59	40	8.7	21.4	2.3	240.2	20	12
1964	6.6	0.4	0.5	0	40	145	78.2	47.5	45.5	30	7.8	5	406.5	33.9	12
1965	0.2	0.3	0.2	9.8	27	36.5	18.1	116.2	39.2	76.3	3.2	1.4	328.4	27.4	12
