COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7012 
 NOMBRE    : FINCA ARGOVIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.12666667 ° 
 LONGITUD  : -92.29916667 ° 
 ALTITUD   : 620 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955			54	51	74	74	83						336	67.2	5
1956	21	20	4	66	66	82	90	55	170	80	48	32	734	61.2	12
1957	4	30	30	42	85	56	49	60	98	45	35	5	539	44.9	12
1958	0.01	2	26	40	75	111	59	65	65	80	42	43	608.01	50.7	12
1959	18	19	34	36	54	111	92	102	90	130	17	21	724	60.3	12
1960	13.5	25	2	31.6	93	59	68	101	92	94	109	20	708.1	59	12
1961	40	42	32	50	74	108	47	60	161	52	146	69	881	73.4	12
1962	1	16	94	95	93	107	80	140	71	38	39	13	787	65.6	12
1963	8	65	42	41	32	57	90	116	185	76	71	2	785	65.4	12
1964	0	3	49	44	76	126	108	95	104	65	38	37	745	62.1	12
1965	23	3	16	30	89	140	111	56	182	68	67	20.5	805.5	67.1	12
1966	3.5	6	32	68	59	83	56	96	100	85	37	16	641.5	53.5	12
1967	6	9.5	37	84	87	69	50	101	101	52	56	31	683.5	57	12
1968	21.5	41	26	20	80	118	63	78	165	79	88	32	811.5	67.6	12
1969	0	24	77	83	80	119	64	187	124	84	36	17	895	74.6	12
1970	22	3	8	35	68	65	74	81	73	125	58	22	634	52.8	12
1971	64	5	42	25	72	72	74	113	58	92	43	13	673	56.1	12
1972	53	14.5	32	66	84	53	46	62	91	83	61	6	651.5	54.3	12
1973	5	11.5	11	80	68	74	43	96	93	74	74	32	661.5	55.1	12
1974	31	45	49	50	81	60	83	65	198	51	45	3	761	63.4	12
1975	4	92	32	42	95	66	88	107	105	94	24.5	15	764.5	63.7	12
1976	9.5	1.1	19	45	84	71.5	67.5	45	65	141	123	7.5	679.1	56.6	12
1977	5	16	30	72	46	95	41	71	56	74	52	53	611	50.9	12
1978	25.5	1.5	56	44	81	165	55	81	118	75	39	20	761	63.4	12
1979	2	6	45	57	74	116	85	86	76	61	40	21	669	55.8	12
1980	27	4	52	115	82	81	73	66	96	65	48	1	710	59.2	12
1981	18	25	75	81	60	88	75	57	65	89	55	85	773	64.4	12
1982	9		22	52	73	94	60	64	86	147	53	2.5	662.5	60.2	11
1983	0	47	42	12	110	119	110	78	94	75	43	27	757	63.1	12
1984	3	17	10	7	92	111	69	84	89	58	49	2	591	49.2	12
1985	16	41	21	68	103	67	105	136	66	69	102	7	801	66.8	12
1986	11	11	11	37	129	89	43	73	78	63	48	5	598	49.8	12
1987	2	2	83	70	89	131	89	42	87	115	40	23	773	64.4	12
1988	13	7	19	65	109	91	71	106	165	117	58	28	849	70.8	12
1989	4	21	16	23.5	71	67	78	114	92	75	40	50	651.5	54.3	12
1990	37	63	7	65	76	102	50	60	119	87	90	15	771	64.2	12
1991	12	15	51	36	95	74	91	76	64	57	42	33	646	53.8	12
1992	6	8	90	33	58	125	99	68	114	70	55	9	735	61.2	12
1993	28	4	31	84	95	73	67	94	123	60	25	35	719	59.9	12
1994	7	19	34	37	98	75	52	75	110	117	44	36	704	58.7	12
1995	12	161	29	104	91	101	100	188	140	99	58	111	1194	99.5	12
1996	50	0.01	56	65	91	88	117	183	72	64	71	12	869.01	72.4	12
1997	7	13	16	109	47.5	96	68	61	124	59	82	41	723.5	60.3	12
1998	0.01	1.5	8	5	49	122	56.5	108	177.5	75	80	7	689.51	57.5	12
1999	26	3.5	13	43	123.5	106	130	135	0	130	135	0	845	70.4	12
2000	4	9	64	47.5	161	129	62	104	89	52	58.5	8.5	788.5	65.7	12
2001	57.5	0.5	45	42	124	50	81	81.5	90	60	21	7	659.5	55	12
2002	0.01	4	2	89	52	109	74	71	115	46	47	26.5	635.51	53	12
2003	32.5	5	19	39	32	111	56	104	169	118	99	10	794.5	66.2	12
2004	3	0.01	70	42	77	65	75	85	53	121	21	37	649.01	54.1	12
2005	1	15	35	73	58	260	92	96	154	373	60	16	1233	102.8	12
2006	12	0.01	27.5	81	98	135.2	112.3	38.2	83	118	45.1	21	771.31	64.3	12
2007	22.5	28.6	32.5	71.4	129.2	115.5	117.5	146.7	82	183	45	15.2	989.1	82.4	12
2008	3.2	104	42.3	74	103	81.5	105.7	114.5	89.3	61.6	31.5	30	840.6	70	12
2009	27	11	39	66.4	105.5	79	84.5	60.3	55.7	95.6	41	91	756	63	12
2010	0	40	17.2	65	78	132.5	228.6	85	204	55.4	27	69	1001.7	83.5	12
2011	0	30.6	54.5	57	82	181.2	137.2	158.3	111	80	10.4	15	917.2	76.4	12
2012	60	69	16	105.5	84.1	80							414.6	69.1	6
2013							204.8	73.2	102	104	57	70.5	611.5	101.9	6
2014	17.6	50.4	72.7	54.1	107.2	78.3	55	117.5	108.3	121.3	10.6	17	810	67.5	12
2015	2	25.6	34.4	41	86.8	68.3	72.5	66.2	68.7	105.2	66.2	36.7	673.6	56.1	12
2016	8.3	7	3.57	35	148.5	59	98.3	59	78.1	75.1	43.5	27	642.37	53.5	12
2019											30.9	14.6	45.5	22.8	2
2020	16.1	22.1	13.1	48.6	68	141.2	102	83.6	50.7	73	43	33.6	695	57.9	12
2021	16.5	17.7	25.4	34.4	91.8	57	63.6		84.6	47.8	31.8	47.9	518.5	47.1	11
