COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7014 
 NOMBRE    : BELISARIO DOMINGUEZ I 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MOTOZINTLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.30833333 ° 
 LONGITUD  : -92.35833333 ° 
 ALTITUD   : 731 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962							20	45.5	65	36	6	0	172.5	28.8	6
1963	0	0	1	25	40.5	63	72	34	157	15	80.5	5	493	41.1	12
1964	0	5	4.5	5.5	20.5	79.5	80.8	41.5	38	27.8	33.5	15	351.6	29.3	12
1965	17.5	5.3	20.5	8	22	80	42	67	83.5		18	0	363.8	33.1	11
1966	0	10	24	55	46.5	52.5	61	33.5	32.5	41.5	17.5	13.5	387.5	32.3	12
1967	1.5	0	28	28.5	27	94	29	62	49.5	94	12	32.5	458	38.2	12
1968	18	12	0	3	89	60	26.5	87	38	35	15	13.5	397	33.1	12
1969	0	4	21.5	49	28	55	50	55	80	46	20	0	408.5	34	12
1970	7	0	4	4	53	61	70	90	76	53	15	1	434	36.2	12
1971	4	0.5	5	23	37	50	30	55	80	100.5	16	0	401	33.4	12
1972	0	0	41	0	46	88	22	65.5	34	24.5	20	0	341	28.4	12
1973	0	0	0	23.5	21.5	50	62	106	65	46	13	12	399	33.2	12
1974	4	3	30	38	34	78	36	29	65	11	10	0	338	28.2	12
1975	3	3	38	22	43	82	35	63	45	28	28	34	424	35.3	12
1976	0	3	3	63	50	42	75	26	36	20	61	0	379	31.6	12
1977	0	8	0	41	26	45	63	43	25	39	14	84	388	32.3	12
1978	5	2	20	37	44	36	40	40	106	52	15	12	409	34.1	12
1979	3	0	52	44	50	40	50	91	67	25	2	13	437	36.4	12
1980	22	2.5	2	63	49	60	39	47	59	37	1	0	381.5	31.8	12
1981	0	0	61	47	37	83	48	59	41	31	41	0	448	37.3	12
