COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7015 
 NOMBRE    : BOCHIL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : BOCHIL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.98638889 ° 
 LONGITUD  : -92.89138889 ° 
 ALTITUD   : 1200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944			25.5	15.5	35	40	47	60.5	80.5	16.5	4	10	334.5	33.5	10
1945	8.5	15	0	6	27	25.5	30	25.5	35.5	16	10	8.5	207.5	17.3	12
1946	7	8	3	5	25	18	20	22	18	16	11	8	161	13.4	12
1947			0.01	6.5	25	18	50.5	60	42	52			254.01	31.8	8
1948	3	5	5	65	42	86	43	18	19				286	31.8	9
1950		0	18	9	29	51.3	41	62.5	41	25.4	13.5	7	297.7	27.1	11
1951	0.01	6	4.2	0.01	41	37.7	45.5	72.7	72.2		23.6	8.6	311.52	28.3	11
1952	1	2.1	13	14	30	21.3	28.2	30.8	82.1	60	2.8	28.5	313.8	26.1	12
1953	0.01	1.5	2	33.5	38.5	43.6	38	21.5	22.5	38.8	2	8	249.91	20.8	12
1954	0	8.5	4.5	16.5	28.5	42.5	25	24	60	26	0	0	235.5	19.6	12
1955	0.01	15	0	32	14	42	48	45	36	42	10	6	290.01	24.2	12
1956	10	14	15	20	33.5	37.5	42.7	22	44.5	31.5	53.5	2.5	326.7	27.2	12
1957	12	39	44	13.5	40	54.5	30	20	53	23	30	4	363	30.2	12
1958	5	6	2	27	9.5	40	57.5	41.5	39	24	16	4	271.5	22.6	12
1959	2.5	21	14	23.5	21	39	33	31	28	47	21.5	2	283.5	23.6	12
1960	10	0.01	0.01	9.5	22.5	52.5	56	145	56	76.6	5.5	2	435.62	36.3	12
1961	10	3	22	4.5	35	93	58	23	21.5	73	21	2	366	30.5	12
1962	1	0.01	1	28.5	10.5	51.5	44.5	28.5	64	18.5	3.5	4	255.51	21.3	12
1963	3.5	21	22	20.5	20	51	36	48.5	46.5	9	38.5	1	317.5	26.5	12
1964	1	15	8.5	14.5	50.5	69	52.5	38	42	18.5	11.5	12	333	27.8	12
1965	7.5	17	13	8	28.5	40	20	35	37	71.5	11	4	292.5	24.4	12
1966	0.01	0.01	0.01	19	30	28.5	50	49	78.5	37	12.5	3	307.53	25.6	12
1967	2.5	2.5	12	20.5	21.5	45	18	25.5	65.5	59	2.5	35.5	310	25.8	12
1968	17	8	0.01	7	39	44.5	25	36.5	79.5	40	18	16	330.51	27.5	12
1969	8	2	8	12	24	54	42	49	56.5	21	14	3	293.5	24.5	12
1970	7	2.5	0	53	15.5	45.5	33.5	73	77	33	3.5	2.5	346	28.8	12
1971	7	0	18	1.5	40.5	25.5	54.5	73.5	65	38	31	9	363.5	30.3	12
1972	10	2	1.5	30.5	60	37	20	35	26	21.5	19	42	304.5	25.4	12
1973	2	3	0	4.5	25.5	38	35	127.5	17	40	84.5	16	393	32.8	12
1974	3.5	7	11.5	28	36	18	18	36	25	15.5	5	0	203.5	17	12
1975	14	2	0	11.5	25.5	29.5	20	23.5	22	36	20	6	210	17.5	12
1976	5	5	1	21	20	20	38	70	38	22	22	6	268	22.3	12
1977	34	8	7	3	60	40	28	35	40.5	18	5	12	290.5	24.2	12
1978	10	2	0	32	32	50	29	34	45	49	4	25	312	26	12
1979	6	6	28	11.5	20	28	19	22	16	23	12	10	201.5	16.8	12
1980	3	5	0	0	15	20	15	40	25	10	12	6	151	12.6	12
1981	0	4	6	12.5	59	10	25	30	20	12	5	0	183.5	15.3	12
1982	0	0	8.5	12	28.5	30	20	20	73	22	10	6	230	19.2	12
1983	4	35	31	1	0	58	25	27.5	50	6	44	6	287.5	24	12
1984	3.5	3	15	0.01	49	42	39	57	87	10	3	19	327.51	27.3	12
1985	0.01	6	6	17	30	36	20	96	24	16	6	8	265.01	22.1	12
1986	6.5	7	6	6.5	37	25	21	27.5	17	11	8	6	178.5	14.9	12
1987	4	3	4.5	6	11	15	19	25	25.5	8.5	5	5	131.5	11	12
1988	4	4	0	1.7	23.5	53	28						114.2	16.3	7
1989	5	16.5	0.01	5	26.5	50	34	80	49	28			294.01	29.4	10
1990	8	5.6	14	12	19	43	32	18	39	30	63	23	306.6	25.6	12
1991	0	13	13	2	15	60	35	17	23	20.5	7.5	8.5	214.5	17.9	12
1992	4.3	3.5	0	13.5	48	58	30	35.5	45.6	20.5	28.5	36.4	323.8	27	12
1993	3.2	8.2	5.3	6.2	18.8	32.3	23.4	45.6	23.3	21.4	3.7	3.2	194.6	16.2	12
1994	3.5	20.5	3.7	16.2	58.9	4.7	19.7	35.6	21.2	23	1.1	3	211.1	17.6	12
1995	1	12.1	3	25.1	15.1	33.7	36.2	38.2	67.7	21.5	12.3	3.5	269.4	22.5	12
1996				42.4	23.5	38.2	40.6	34.6	26.4	36.2	40.2	10.6	292.7	32.5	9
1997	15.3	6.4	4.7	8.3	15.9	18.3	15.6	8.2	23.4	20.6	21.3	2.4	160.4	13.4	12
1998	0.01	22.1	0.01	0.01	5.1	41.3	48.2	58.5	54	26.7	60.8	10	326.73	27.2	12
1999	1.5	4.6	4.3	25.8	14.3	48.1	47.1	40.9	80.5	58.7	9.9	17.6	353.3	29.4	12
2000	7.1	1.5	23.7	4.2	44.3	31.6	21.3	65.2	63.9	14.3	12.7	15.2	305	25.4	12
2001	2.8	14.8	11.2	33.2	18.1	31.2	58.4	38.6	41.7	36.8	2.3	24.4	313.5	26.1	12
2002	3.1	13.6	53.6	0.5	39.5	44.1	23.6	12.8	81.4	21.8	28.4	26.5	348.9	29.1	12
