COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7020 
 NOMBRE    : VERTEDOR 1-2-3 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MEZCALAPA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.22083333 ° 
 LONGITUD  : -93.73388889 ° 
 ALTITUD   : 270 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963				41	25	49	90.5	85.5	84	64.5	117.5	19.5	576.5	64.1	9
1964	77	21	99	65	33.5	70	138	90	114.5	73	51.5	106	938.5	78.2	12
1965	130	63	39	84	13.5	54	68	52.9	90	88.5	113	67.5	863.4	72	12
1966	25.5	18.5	20	13	83	47.8	60	39	91.5	109.8	36.6	44.8	589.5	49.1	12
1967	47.9	22	25.8	35	50.8	111	31	56.3	260	78	41.5	204	963.3	80.3	12
1968	75.4	30	23.2	29	10.2	94.3	46.5	40	304.7	92.5	26.5	67	839.3	69.9	12
1969	40	36.8	42	0	74	47.7	82.8	70.2	78.3	44.9	126.2	16.8	659.7	55	12
1970	19.5	31.5		16.7	40.3	116.7	96	72.8	101.4	83	71.8	13	662.7	60.2	11
1971	12.8	19.8	69.4	42.5	62.1	49.4	68.5	58.3	129.4	81	64.9	94.4	752.5	62.7	12
1972	53.5	64	52.7	42.1	52.7	83	41	38.6	45	91.1	59	110	732.7	61.1	12
1973	31.4	25.6	8.3	37.8	115.1	82.4	95.5	116.8	83.3	92.5	127.4	35.9	852	71	12
1974	115.8	88.2	4.2	151.7	96.8	43	37.3	57	158	201	78	13.1	1044.1	87	12
1975	60	25	20.6	19.7	38.4	33	65.4	47	75.8	115.2	108	63.8	671.9	56	12
1976	115	41.5	31	30	42	42.2	81	46.5	77.4	98	80	33.8	718.4	59.9	12
1977	24.3	17.7	44.8	13.3	12.2	45.2	32.8	72	33.6	110	155.4	60	621.3	51.8	12
1978	60	27	43	6	63	63	66	48.6	41	51.2	60.8	55.5	585.1	48.8	12
1979	63.5	50.5	42.6		92	45.5	83.6	97.5	89.5	74.7	49.3	140	828.7	75.3	11
1980	38.5	49.5	91.2	24.8	31	57.5	116.5	49.8	74.4		39.2	30.7	603.1	54.8	11
1981	51.5	92.5	33.9	39.5	80	87	98.5	80.9	110	64.5	61.3	27.5	827.1	68.9	12
1982	41.3	68.6	26.6	49.5	68.3	54.4	94	73.5	48.5	68.8	118.8	64.5	776.8	64.7	12
1983	25	38.5	31.2	7.5	43.5	30	65	70.6		68.8		185.6	565.7	56.6	10
1984	45.8	15	11.4	6.3	65.4	42.5	62.8	56	73.7	58	72.5	68.5	577.9	48.2	12
1985	24	80	28	15.6	17.3	49.2	98.9	79.3	98.8	82.5	24.5	56	654.1	54.5	12
1986	50.5	19.6	45.5	6.7	184.6	52.3	25.5	55.4	80.5	111.2	79.3	46.5	757.6	63.1	12
