COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7021 
 NOMBRE    : CATARINITAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.9025 ° 
 LONGITUD  : -92.48277778 ° 
 ALTITUD   : 945 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967	15	1	0.5	9	19.5	86	50	37	70	24	1	9	322	26.8	12
1968	3	15.4	9	8	37.5	70.5	26.6	37.4	43.7	31.5	34.3	1.8	318.7	26.6	12
1969	0	0	0	5.4	60	95.5	37.2	62.8	102.3	109		0.4	472.6	43	11
1970	15	0	1	13.5	26.5	49.7	54.4	64.9	72.4	31	5.9	0	334.3	27.9	12
1971	2.4	2.7	12.2	23	25.5	32.2	53.6		63.1	19.5	47	0.2	281.4	25.6	11
1972	3	0	60	19	10.2	40	40	75	33	16.6	37.9	20	354.7	29.6	12
1973	0			12	16.5	94	75	66	23	66	16.5		369	41	9
1974				8		47							55	27.5	2
1976				8		47			35				90	30	3
1977			0	16.5	54.9	59.4	17.6	37	57.1	34	26	4.2	306.7	30.7	10
1978	0	2.1	2.4	20	51	45.4	73.4	58.1	35.2	23.8	16.7	10.2	338.3	28.2	12
1979	0	0	0										0	0	3
1980				15.5	32	24							71.5	23.8	3
1985					0	0	0	0	0	0		56	56	8	7
1986					60.2	48.4	19.2						127.8	42.6	3
1987		0	0	5	39	70	57.5	19	44	4	0	0	238.5	21.7	11
1988	1		10	0	26	60	30	65	69.5	60.5	6.1	0	328.1	29.8	11
1989		0	0	0	35.3	45	35	52	45	15	0	0	227.3	20.7	11
1990	0	0	0	35	20	61	45	61	62	0	19	11	314	26.2	12
1991	0	0	0	11	31	42	45	49	49.6	25	16	0	268.6	22.4	12
1992	0	0	0		46	68				15	15	3	147	18.4	8
1993	15	0	0	15	45	40.4	26	63	46	21	15	0	286.4	23.9	12
1994	0	0	0	21	48.5	47.1	48.3	53.9	49.7	47	0	0	315.5	26.3	12
1995	0	6	45	0	45	61	56	49	63	75	0	11	411	34.2	12
1996	0	0	0	27	49	55	48.3	47	69.1	57.3	0	0	352.7	29.4	12
1997	0	0	0	27	59.8	91.5	69.1	69.3	95	78.1	49.3	48	587.1	48.9	12
1998	0	0	0	0	0	111.1	98	79	78			0	366.1	36.6	10
1999	0	0	0	0	19	35	50	70	37	35	0	0	246	20.5	12
2000	0	0	22	29	37	82	88	99	119	90	0	0	566	47.2	12
2001	0	0	6.3	55.5	55	0	80.5	66.6	36.5	70.6	0	0	371	30.9	12
2002	3.2	1.3	23.2	6.6	57	50	24.7	31	36	36	7.8	1	277.8	23.1	12
2003	0	0	11.5	16	13	62.5	40	63	75	75	21	5	382	31.8	12
2004	0	0	5	8				25	81	80	90	21.5	310.5	34.5	9
2005	0	0	7	25	38	91	70	28.5	35	110	10	0.6	415.1	34.6	12
2006	39.5	0	0	10.3	60.3	69	79.3	47	63	78	22	0	468.4	39	12
2007	0	0	0	29	69	29.1	36	56	51	61	3	0	334.1	27.8	12
2008	3	0.2	19	15	65	118.5	27	82	75	28	1.5	0	434.2	36.2	12
2009	0	0.9	0	0.1	28	63	24	87	42	41	29	31	346	28.8	12
2010	0	0	0	23	53	61	91	82	53	5	9	3	380	31.7	12
2011	1	0	1	8	5	51	41	62	71	86	11	1	338	28.2	12
2012	1	1	28.5	24	69	34	31	58	69.5	68	32	0.5	416.5	34.7	12
2013	0.5	3.5	0	6	59	60	40	83.1	141.1	72	45.1	7	517.3	43.1	12
2014	1.1	0											1.1	0.6	2
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MÁXIMA	39.5	15.4	60	55.5	69	118.5	98	99	141.1	110	90	56	587.1	48.9	12
MEDIA	3	1	7.3	14.6	38.6	57.4	48	56.7	59.2	46.9	17.3	6.8	305.7	28.9	10.1
DESV.ST	7.6	2.8	13.6	11.8	19.6	25.7	22.9	20.9	26.8	31	19.7	13.2	139.7	10.2	3.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967	15.09	1	0.7	16.02	23.6	293.53	144.22	245.09	253.3	98.85	1.06	11.37	1103.83	92	12
1968	3.06	21.47	11.01	17.04	170	274.15	116.37	127.84	315.19	183.76	55.9	1.82	1297.61	108.1	12
1969	0	0	0	5.4	132.6	262.1	168.8	565.7	503.3	263.5		0.4	1901.8	172.9	11
1970	19.9	0	1	17	52.4	226.6	279.8	392	396.4	148.1	11.8	0	1545	128.8	12
1971	2.4	2.7	18.2	23	68.8	122.9	159.5		325.2	126.8	100.5	0.2	950.2	86.4	11
1972	3	0	61.2	22.5	26.9	189.7	214.9	253.5	133.1	47.5	82.4	20	1054.7	87.9	12
1973	0			12	72.5	293.5	249.5	487.5	186	238	30		1569	174.3	9
1974				8		251							259	129.5	2
1976				8		251			169.5				428.5	142.8	3
1977			0	27.2	188.4	204.5	28	169.3	231.4	78.2	31.9	13.6	972.5	97.2	10
1978	0	2.1	2.4	42.5	194.2	141.9	423.5	267.5	293.6	181.7	20.3	20.2	1589.9	132.5	12
1979	0	0	0										0	0	3
1980				16.5	93.5	121							231	77	3
1985					0	0	0	0	0	0		337.5	337.5	48.2	7
1986					234.8	166	96.8						497.6	165.9	3
1987		0	0	9	180.5	341.5	223.9	128.8	252.4	4	0	0	1140.1	103.6	11
1988	1		10	0	32	372.5	189.5	467.4	304	202	14.2	0	1592.6	144.8	11
1989		0	0	0	162.4	315	146	429	332	26	0	0	1410.4	128.2	11
1990	0	0	0	103	47	390	243	269	285	0	91	11	1439	119.9	12
1991	0	0	0	11	95	434	186	154.7	441.9	114	39	0	1475.6	123	12
1992	0	0	0		70	123				37.5	21.1	5.2	256.8	32.1	8
1993	23	0	0	41	92	214.7	77	501	353	78	15	0	1394.7	116.2	12
1994	0	0	0	32	212.1	214.4	176.3	382.9	374.2	209.6	0	0	1601.5	133.5	12
