COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7025 
 NOMBRE    : COMITAN (OBS) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : COMITÁN DE DOMÍNGUEZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   : 76848 
 LATITUD   : 16.23333333 ° 
 LONGITUD  : -92.13333333 ° 
 ALTITUD   : 1709 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1936	0												0	0	1
1942							20.5	40.2	40	10	4.5	0	115.2	19.2	6
1943						20.7	49	45	29.5	43.2	8.7	1.5	197.6	28.2	7
1944	0	0	20		15	41.2	11.2	39.7	72.7	20.5	0		220.3	22	10
1945	15.5	0	2	0	11.2	57.5	54.5	0	36.7	30	13.2	0	220.6	18.4	12
1946	0	0	0	5.2	7.4	31.5	35	58.5	39.2	18.5	42.5	2.2	240	20	12
1947	5.7	3.5	0	28	33	52	28.7	14	66.2	51	19.5	10	311.6	26	12
1948	1.2	2.2	2.7	70	40	55.7	21	26.7	44.4	23.4	21.7	0	309	25.8	12
1949	0	0	25	10	24.5	36.4	18	12.5	51.5	13.2	10	1.5	202.6	16.9	12
1950	3.7	3.7	25.5	12.7	25.7	27.2	60.7	26.7	29.5	20.2	1	0	236.6	19.7	12
1951	1.5	10.5	0	8.2	30.7	61.2	40.2	27.7	56.4	18	25	1	280.4	23.4	12
1952	3	6.2	31.7	31.7	72.5	31.7	60	25	40	61.2	9.7	1.2	373.9	31.2	12
1953	3.7	1.2	15.5	14.2	25.7	25	20.7	21.5	60.4	29.9	7.5	11.7	237	19.8	12
1954	0	1.2	3	7.5	49.5	49	47.5	30.5	34	11	3	0	236.2	19.7	12
1955	5	15	2	42	46	14	54.5	36	23	96.5	13.5	12	359.5	30	12
1956	1	34	19	0	49.6	55.5	24	16.5	51.5	0	30.5	0	281.6	23.5	12
1957	1.5	5.5	7.5	8.5	19	21	29	7	46.5	14.5	5.6	2	167.6	14	12
1958	0	0	22.5	23	49.5	63	43	31	89	25.2	68.9	1.5	416.6	34.7	12
1959	19	0	1	10	20	65	4	16.5	46	0	6	0	187.5	15.6	12
1960	0	0	1	10	30	56	21	0	40.7	36	2	2	198.7	16.6	12
1961	20	3	8	10.5	35	45	60	21	58	27.8	33	2.8	324.1	27	12
1962	2.4	0.5	9.5	16.6	21	60	0	14.7	89.9	34	1.2	3	252.8	21.1	12
1963	2.5	7.2	1.7	4.7	58	44	49.8	14	48.5	34.4	22.1	4.5	291.4	24.3	12
1964	2.7	0	14.2	1.8	26	42	35.5	46	47.5	68.9	5	13.6	303.2	25.3	12
1965	0.5	10.5	0.6	7.7	17.3	20	30.6	31.4	80.1	47	9	2.4	257.1	21.4	12
1966	0.7	32.1	3.5	94.6	15.9	52.6	67.4	39	81.4	61.5	52.5	2	503.2	41.9	12
1967	8.8	2	7	23.9	46	45.5	11	19.5	27	40.3	9.5	3.5	244	20.3	12
1968	2	23	1	11	80	41.4	42.1	31	78.8	40.1	8.6	11.5	370.5	30.9	12
1969	1	3.5	3.2	28	42	0	17.2	41.7	54.5	35.2	9.5	1.2	237	19.8	12
1970	2.3	0	0	0	72.7	70.6	26.7	41.5	30	50	5.8	5.8	305.4	25.4	12
1980						3.3							3.3	3.3	1
1982	0	4.2	1.3	16.2	34	22.3	4.2	2.5	10.2	7.4	2	0.1	104.4	8.7	12
1983	0.1	6.7	3.8	2	26	16.5	9.5	10.3	40.1	5.8	7.9	2.7	131.4	11	12
1984	0.1	10.5	0	15.4	29	9.5	0.8	16.2	8.9	3.4	0	0.5	94.3	7.9	12
1985	0.3	0.3	9.7	8.9	9	15.4	9.7	29.9	27.7	3.8	2.2	5.4	122.3	10.2	12
1986	0.9	1.4	0	1.8	7.1	6.2	6.9	1.9	10	2.6	0.7	0.6	40.1	3.3	12
1987	0	0.1	2.1	9.4	1.4	16.5	1.9	15.1	15.7	4	0.8	0.7	67.7	5.6	12
