COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7027 
 NOMBRE    : COPAINALA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : COPAINALÁ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.08333333 ° 
 LONGITUD  : -93.21666667 ° 
 ALTITUD   : 640 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1927			0.01	20	14	48.5	31.5	44	40	90.3	5	28	321.31	32.1	10
1928	22	3	3	5	33.5	56.5	44.5	37.5	28	35.5	5.5	17	291	24.2	12
1929	8.5	15.5	2	0	34.5	25.5	26.5	31.5	93.5	17.5	12	48	315	26.2	12
1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1931	2.5	2	0.01	10.5	27	39	37	58	21	140	1	7.5	345.51	28.8	12
1933	12	21	0	13.5	62.5	25	65	40	91	43	0	33	406	33.8	12
1934	7	6	72	26.5	28	15	23	13.5	42	11	13	6	263	21.9	12
1935	18	7	0.01	27	46.5	36.5	31	37.5	98.5	38.5	3.5	4	348.01	29	12
1936	51	2.5	5.5	0.01	18	42	33	17.5	77	66	42	10	364.51	30.4	12
1937	4.5	35.5	15.5	5.5	12	85.5	62	11.5	44.5	16	3	5	300.5	25	12
1938	5.5	3	2.5	0	0	0	0	0	0	0	0	0	11	0.9	12
1939	0.01	25	4.5	5	12.5	40.5	20.2	11.5	40	48.5	4.5	1.5	213.71	17.8	12
1940	30.5	2.5	12.5	6.5	1.5	44	15	67.5	80.9	10.5	8	12	291.4	24.3	12
1941	8.5	2.5	2	5	2.5	45.5	15	6.5	80	10.5	4.5	12	194.5	16.2	12
1942	2	1.5	3	20.5	2.5	3.5	3.5	15	10.5	0.01	10.5	0.01	72.52	6	12
1943	2.5	0.5	6	5	15.5	20	25	8	10	25	20	0.01	137.51	11.5	12
1944	18	0	0.01										18.01	6	3
1945	0	0	0	0.01	23.5	40	21	25	40	47	0		196.51	17.9	11
1946		11		1.3	20	20	20	20	20	20	20	20	172.3	17.2	10
1947			0.01	0	11	22	10	28	20.5	20.5	28	29	169.01	16.9	10
1948	28	25	0	0	30	40				61.5	65	75	324.5	36.1	9
1949		0	2	0	25	75	57.5	80	58	59	15	5	376.5	34.2	11
1950	5	5	75	0	60	85	100	95	90	94	85	59	753	62.8	12
1951	90	48	25	12	25	97	202	195	110	150	135		1089	99	11
1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1953	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	12
1954	0	0	0	37	40	38	37	0.01	26	42	0.01	0.01	220.03	18.3	12
1955	0.01	0.01	0.01	0	0	24	40	20	0.3	124	0	0.4	208.73	17.4	12
1956	0	0	0.01	0	60	40	40	20.5	35	8	25	0.01	228.52	19	12
1957	0	20	0	0.01	45	35	20	25	5.5	25	35	0.01	210.52	17.5	12
1958	25	15	0.01	0.01	1.5	50	60	30	50	40.5	12	12	296.02	24.7	12
1959	10.5	0	0.6	18	10.5	60.5	20	40	20	80	61.5	10.5	332.1	27.7	12
1960	20	0.01	8	20	40	20	60	60	5	28	10	17.5	288.51	24	12
1961	55	15	40	0.01	75	30	60	27.5		52.5	24	4	383.01	34.8	11
1962	26	6	16	16	4	31.5	36	24.5	36	22.5	5	0.01	223.51	18.6	12
1963	46	78	40	0.01	18.5	50	65	22.5	105	16.5	28	10	479.51	40	12
1964	4	5	5	10	5	20	24	8.5	26	15	12.5	0.01	135.01	11.3	12
1966	20	12	15	0.01	10	30	16	22.5	30	24	6	10	195.51	16.3	12
1967	40	12	0.01	4	15	30	40	62.5	56.5	24	10	12	306.01	25.5	12
1968	30.5	8	0.01	0.01	52	25	32.5	18.5	45	40			251.52	25.2	10
1969	8		9	30.5	12	32.5	60.5		52	68.5	30	12	315	31.5	10
1970	6.5	0	6.5	12	12	21	12.5	9					79.5	9.9	8
1972	12	6	10	9.5									37.5	9.4	4
1973	0	0.5	6.5	16	10.5	15							48.5	8.1	6
1974	0	6	20	20									46	11.5	4
1975	10	0.8	0	0		0	24.5	61	6				102.3	12.8	8
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MÁXIMA	90	78	75	37	75	97	202	195	110	150	135	75	1089	99	12
MEDIA	15	9.3	9	7.9	21.8	33.9	36.4	32.4	40.9	40.4	19	12.4	247	22.2	10.8
DESV.ST	19	15	17	9.9	19.9	23	34.5	35	33.1	37.5	27.3	17.2	194.4	16.7	2.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1927			0.01	29	46.5	289.42	91.25	72.82	204.55	313.02	6.5	66.02	1119.09	111.9	10
1928	43.01	7	5.01	5.51	85.02	259.02	147.05	121.53	109.57	61.05	17.51	46.02	907.3	75.6	12
1929	10.52	20.52	2	0	122.02	107.04	104.53	111.03	318.01	78.04	68.02	89.51	1031.24	85.9	12
1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1931	2.54	3.53	0.03	24.51	50.52	175.01	220.57	144.02	132.03	327.01	1	19.54	1100.31	91.7	12
1933	17.54	23.01	0	16	77.52	105.57	175.53	200.56	214.57	80.04	0	33.02	943.36	78.6	12
1934	16	18.02	123.51	29.03	46.03	67.5	88.5	81.57	148.07	38.54	39.5	14.06	710.33	59.2	12
1935	26	11.52	0.01	32.5	181.01	304.57	106.07	192.06	318.54	116.58	3.52	6.53	1298.91	108.2	12
1936	87.07	4.03	15.52	0.06	35.51	210.57	217.05	61.04	175.95	243.53	78.11	28.03	1156.47	96.4	12
1937	7.04	97.03	20.04	15.54	33.04	360.54	208.54	61.54	120.76	81.52	7.04	8.5	1021.13	85.1	12
1938	8.52	9.53	2.51	0	0	0	0	0	0	0	0	0	20.56	1.7	12
1939	0.07	35.03	10.52	9.52	27.02	135.55	43.75	81.53	205.03	228.05	15.53	1.52	793.12	66.1	12
1940	57.03	4.53	15.52	9.52	2.53	154.02	50.53	152.06	242.45	28.52	9.54	26.06	752.31	62.7	12
1941	13.54	2.53	6.03	12.54	4.02	95.02	50.53	9.55	225.06	28.52	15.57	37.67	500.58	41.7	12
1942	6.53	1.54	8.54	20.51	2.53	33.23	21.11	44.09	37.54	0.01	20.02	0.02	195.67	16.3	12
1943	5.2	1.04	6.63	5	60.53	133.57	105.58	13.09	15.07	135.07	60.02	0.02	540.82	45.1	12
1944	48.68	0	0.01										48.69	16.2	3
1945	0	0	0	0.01	64.04	120.56	173.56	232.62	146.04	98.02	0		834.85	75.9	11
1946		12.8		6.8	54.8	35	35	31.3	80.5	75.3	58.6	213.5	603.6	60.4	10
1947			0.03	0	82	128	89	155.5	212.5	132.5	208	266	1273.53	127.4	10
1948	180.5	53	0	0	220	464.5				997.5	435.5	417.5	2768.5	307.6	9
1949		0	2	0	25	597.7	174.5	539	245	228.5	23	13.5	1848.2	168	11
1950	11.04	10	75	0	209	236	743	342	584	226	385	140	2961.04	246.8	12
1951	170	178	43	12	58	359	291	480	641	452	871		3555	323.2	11
1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1953	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	12
1954	0	0	0	39.03	161.55	75.61	37.92	0.01	46.1	89.32	0.01	0.01	449.56	37.5	12
1955	0.01	0.02	0.01	0	0	64.02	256.07	170.01	2.31	163	0	0.41	655.86	54.7	12
1956	0	0	0.07	0	227.02	110.02	120.01	40.54	338.02	22	78.03	0.05	935.76	78	12
1957	0	40	0	0.02	68	139	74.53	65.01	9.17	25	45.01	0.03	465.77	38.8	12
