COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7028 
 NOMBRE    : CHACAMAX 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PALENQUE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.47333333 ° 
 LONGITUD  : -91.70777778 ° 
 ALTITUD   : 60 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	97	97	37.5	14.5	135.1	101.5	41	91.5	56.3	46.7	25	69.7	812.8	67.7	12
1970	41.3	41.3	12.5	18	91.5	67.2	54.4	52.7	67	96.3	69.4	23.7	635.3	52.9	12
1971	4.5	49.6	45.6	13	22.5	46	36.5	36.5	56.5	49.5	150.5	24	534.7	44.6	12
1972	67.7	35.5	8	25.3	44.5	77.5	53.5	40.6	80.5	47.8	43.5	82.3	606.7	50.6	12
1973	9.5	31.5	50.5	24.3	53	70.8	78.3	80.5	83.5	105.2	64.5	69.5	721.1	60.1	12
1974	16.5	62.3	12.7	44.3	41.5	73.5	32.8	88.5	80	53.8	43.5	36	585.4	48.8	12
1975	63.5	54.7	42.1	0	72.5	50	30	60.5	70	96.5	76.5	42.5	658.8	54.9	12
1976	54.9	31.5	10	16	36	77.2	21.5	42.2	100.2	102.5	88.5	106	686.5	57.2	12
1977	65	65	82	56.4	32.1	153	26.7	48.8	32.9	97.7	101.2	58.5	819.3	68.3	12
1978	84.9	91.5	116.5	38.6	63.8	50.2	50.5	63.1	75	87.5	35	21.6	778.2	64.8	12
1979	60	49	68	47.3	96.5	100.8	102.3	122.5	170.5	100.5		51.7	969.1	88.1	11
1980	48	111.5	83.3	60	10.1	86.5	44.2	32.5	85.5	71	31.5	32.5	696.6	58	12
1981	9.5	31.5	50.5	24.3	53	70.8	78.3	80.5	83.5	10.5	34.5	69.5	596.4	49.7	12
1982	60	167.5	100.2	105	71.5	100.5	74						678.7	97	7
1983								25.5	103.5	82.3	133.5	123.5	468.3	93.7	5
1984		80	0	13.5	129.5	30.5	80.5	83.5	85.5	33.5	97.7	15.5	649.7	59.1	11
1985	58.5	47.3	35	60	120.1	46.5	88.3	64.3					520	65	8
1987	25.5	67.5	77.5	0.1	47.5	123.5	143.5	36.5	40.9	105.3	124.5	84.5	876.8	73.1	12
1988	32.5	35.5	28.5	32.5	11.5	45.8	74.1	53.5	64.5	71.5	57.5	61	568.4	47.4	12
1989	30	65.5	33.5	40	80.5	35.6	40						325.1	46.4	7
1990			91.5	62	52	27.5	45.5	25.7	85.3	52.4	54.3	154.4	650.6	65.1	10
1991	33.5	69.5	90.5	0	80	113.5	60.5	0	65.5	76.4	130.5	40.5	760.4	63.4	12
1992	47.5	21.3	84.5	0	37	147	13.5	30	30.5	25.5	60.5	40.3	537.6	44.8	12
1993	54.5	66.5	60	47.5	35.5	107.2	152	44.5	40.4	44.5	17.5	40.5	710.6	59.2	12
1994	40.5	44	28.7	27.4	30.5	45.2	32.5	64.5	120.5	66.5	26	30.5	556.8	46.4	12
1995	20.5	0	40.3	73.5	0	120	94.5	73.5	63.5	35.3	20.5	51.5	593.1	49.4	12
1996	35.4	20	25.7	55.7	75.3	67.3	148.5	25.8	40.5	135.7	87.3	43.5	760.7	63.4	12
1997	120.5	65.5	53.5	15.4	40.5	69.5	30.5	42.5	75.5	56.4	70.5	95.4	735.7	61.3	12
1998	100.4	24.5	20	0	0	65	165.5	75.7	200.5	60.8	63.5	20.5	796.4	66.4	12
1999	44.3	30.5	101.5	0	40.3	70.3	28.7	68.5	80	122	65.4	31.5	683	56.9	12
2000	103.5	23.7	22.5	20	110.5	95.5	36.5	78.5	86.5	126	100.3	55.6	859.1	71.6	12
2001	22	42.5	20.5	85.3	51.7	31.5	62.3	73.5	45	65.9	24.5	120.8	645.5	53.8	12
2002	41.5	95.3	44.2	28.4	105	75.8	40.5	52.5	38.6	30.5	156.5	58.3	767.1	63.9	12
2003	15.3	0.1	30.5	4.2	67.4	45.5	82.4	42	110.5	340.2	136.3	36.5	910.9	75.9	12
2004	40	67.2	57.5	242.2	102.5	75.3	74.5	50.5	50.2	110.5	85.5	31.5	987.4	82.3	12
2005	20.3	0.1	36.5	91.5	0.3	142.5	144.6	45.8	80.4	36.4	41.3	33.5	673.2	56.1	12
2006	33.4	21.8	40.8	0	40.2	60.8	42.5	60.5	40.8	100	100	80	620.8	51.7	12
2007	50	56.5	55.8	0	10	50.1	75.6	120.5	80.2	76.4	31.5	15.4	622	51.8	12
2008	195.4	78.5	35.5	41.3	155.5	100.5	80.2	25.4	141.5	154.6	68.4	80.7	1157.5	96.5	12
2009		44.5	45.4	20.5	45.5	70.5	31.2	85.4	40.5	41.5	81.4	31.5	537.9	48.9	11
2010	110.5	20.5	20.4	16.3	102.2	69.5	52.5	110.5	100.5	120.5	90	10.5	823.9	68.7	12
2011	190.5	60	100	0	100.2	56.4	48.5	120.4	120.4	80.5	105.5	36.5	1018.9	84.9	12
