COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7029 
 NOMBRE    : CHAJUL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOSINGO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.83333333 ° 
 LONGITUD  : -90.93333333 ° 
 ALTITUD   : 223 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967							30.2	89.2	84.2	98.9	76.7	31	410.2	68.4	6
1968	43.2	24.2	11.2	46	46.1	67.6	41.7	48.6	87	77.6	47.4	85.7	626.3	52.2	12
1969	31.4	36	40	5.7	70.3	90	45.6	92.2	79.2	70	60.4	36.3	657.1	54.8	12
1970	46.3	17.6	10.6	28.4		65.4	82.3	67.7	95.2	81	42.5	168.4	705.4	64.1	11
1971	11.7	8.3	13.1	5.2	48.5	29.5	87.4	77.4	253.8	43.6	128.3	25.3	732.1	61	12
1972	37.8	43.3	3.5	119.5	37.8	83.9	98.8	50.9	73.5	66.4	85.8	25.1	726.3	60.5	12
1973	10.5	25.1	0	46.6	103.1	73.7	56.8	71.3	80.7	120.5	42.2	21.2	651.7	54.3	12
1974	31.5	27.8	15	5.3	37	126.8	30.3	79.8	53	74	47.5	6.2	534.2	44.5	12
1975	28.7	14.5	22	0	12.8	37	14.8		130.6	143.5	53.7	30.6	488.2	44.4	11
1976	67.6	15.1	25.7	26.8	32.1	84.8	115.6	26.7	84.2	38.8	51.9	22.1	591.4	49.3	12
1977	5.7	47.8	12.5	22.6	49.1	83.3	34.4	56	73.2	78.2	32.4	61.6	556.8	46.4	12
1978	19.2	7.2	155	35.2	57.8	56.2	53.6	61.9	89.6	58.7	58.7	38.5	691.6	57.6	12
1979	7.9	35.8	8		29.2	57.9	91.5	91.8	115	68.5	41	34	580.6	52.8	11
1980	99	16.3	16.5	42.2	50	44.4	115.8	160	95		81	32.9	753.1	68.5	11
1981	7.2	38.5	18.6	29.5	54.8	122.9	106.1	90.9	131.5	99.4	43.4	123	865.8	72.2	12
1982	36.7	63.2	44.8	5	118.5	73.1	81	51.4	83.5	120.6	9.1	24.5	711.4	59.3	12
1983	32.6	22.7	45.7	9.5	13.1	58.8	115.8	75		155.5		24.5	553.2	55.3	10
1987	11.3	9.2	44.1	121.31	26	122.1	29.5	60.6	96.11	10.5	90.1	37.3	658.12	54.8	12
1988	31.3	28.6	17.1	28	43.8	107.4	59.8	137.4	76.5	105.1	30.6	33.5	699.1	58.3	12
MÍNIMA	5.7	7.2	0	0	12.8	29.5	14.8	26.7	53	10.5	9.1	6.2	410.2	44.4	6
