COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7030 
 NOMBRE    : SAN JUAN CHAMULA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHAMULA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.79694444 ° 
 LONGITUD  : -92.69666667 ° 
 ALTITUD   : 1930 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956										14.1	22.5	8.3	44.9	15	3
1958	6	6	3.5	36	36	31	50.1	31.7	59.2	23.6	18.1	12.7	313.9	26.2	12
1959	14.4	5.3	20	30.5	30	37	28.5	29	30	43.5	38.5	10	316.7	26.4	12
1960	13.5			20	20		75	60	40	30.8	8.5	10	277.8	30.9	9
1961	30	0	18	10	20	43.5	26	45	25	60	30	40	347.5	29	12
1962	16	50	48	27	35	33	25	50	37	35	8	0.4	364.4	30.4	12
1963	7	9	17	9	25	60	27	22	32	7	45	7	267	22.2	12
1964	9	2	8	8	13	26	46.1	20	27	9	17	7	192.1	16	12
1965	7	11	7	10.5	20	43	10	27	25	54	11	9	234.5	19.5	12
1966	12	8	14	13		64	37.5	42.5	32	26	12	16	277	25.2	11
1967	22	4			28	30	6	28	13.5	60	12	45	248.5	24.9	10
1968	18						20	37	23		12	20	130	21.7	6
1971							20.5	20.5	40	32.5	41	28	182.5	30.4	6
1972	20	13	10.5	39	38	26		19		14.5	16	34	230	23	10
1973	15	5.5	3.5	20	26	58	31.5	92.5	24	19.5	32.5	9	337	28.1	12
1974	2.5	20	31.5	27.5	25.5	35	55	33	105.5	23	16.5	6	381	31.8	12
1975	18.5	5	3.5	12	31	61.5	50.5	13.5	67	82	49.5	2	396	33	12
1976	21	11.5	8.5	21	32.5	30	43	35.5	44.5	43	27.5	14.5	332.5	27.7	12
1977	0					43.6	8.6	45	79.2	43.5	5.2	20	245.1	30.6	8
1978	20	6.5	5.9	19	23	80	20	40	77	36.5	17	42	386.9	32.2	12
1979	21	6	15		20	25	25	41	30	36.5	16		235.5	23.6	10
1980	2	8	18	37	32.5	40							137.5	22.9	6
1981				10	20	41			29.5	19.5	6	4	130	18.6	7
1982		9	34.5	10	19	20	19.6	14	19.6	20	19.5	19	204.2	18.6	11
1983	11	20	19.5	0	14	20	20	85	20	20	3	17	249.5	20.8	12
1984	9.5	2	3	2.5	42	20	30	20	35	40	6	8	218	18.2	12
1985	10	23	8.2	27	55.2	68	46	91	29	12.5	4.8	10.4	385.1	32.1	12
1986	17.1	5	30	37	54	37	26	35.2	21	33	15	6.2	316.5	26.4	12
1987	11	4	22	28	22	45	60.3	9.7	44	16	17	48	327	27.2	12
1988	18.4	24	24.5	9	24.5	46.7	29.3	46.3	32	32.4	8.4	12.8	308.3	25.7	12
1989	14.1	14	5.1	21	14	37.6	14.8	44.1	98	47.2	4.3	26.5	340.7	28.4	12
1990	10.5	31.6	10.2	22.1	40	25.9	39.2	58	36	47	20	0	340.5	28.4	12
1991	16.8	17.2	7.1	25.4	26.5	57.1	44.6	17.8	73.1	24.5	18.4	20.2	348.7	29.1	12
1992	7.5	10.5	0	27	27		48.5		34.8	20	18.7	1.4	195.4	19.5	10
1993	10.4	9.5	13.4	22.5	47	51.5	34.5	40.5	27.4	18.5	5	7.5	287.7	24	12
1994	13	8.5	14.5	26.2	33.6	80.2	40.6	40.1	30	28.4	22	6.3	343.4	28.6	12
1995										20	39	10.5	69.5	23.2	3
1996	40.3	20	18	35.4	32	37	20.1	20	20	22	6.5	2.4	273.7	22.8	12
1997	7											0	7	3.5	2
1998	0	20	0	10.4	37	54.9	22	20	41	27	18	37	287.3	23.9	12
1999	10.2	30	7.2	28.5	33	45.8	10.8	32.8	32.8	32.9	45.8	55.8	365.6	30.5	12
2000	0	25.2	3.5	22.5	50	50	21.2	45	29	29	19	31	325.4	27.1	12
2001	15	28.1	18	15	45	25	40.7	65.4	45.5	48.7	31.7	60.1	438.2	36.5	12
2002	21	40.9	21.9	15.7	40.1	40.9	20.7	40	33.9	20.8	21.9	40.9	358.7	29.9	12
2003	0	20.9	20.6	10.8	10.6	22.6	25.6	31.6	2.6	20.8	59	20.5	245.6	20.5	12
2004	0	16.2	5	0	54.4	0	10.5	0	0	10	10		106.1	9.6	11
2006											9.1	18	27.1	13.6	2
2007	72	4.5	18.4	10	31.5	39	32.8	26.3	48	89	7.4	0.2	379.1	31.6	12
2008	15	17.5	9	55.3	57.5	90.1	21.4	43	26.5	20	28.5	6.5	390.3	32.5	12
2009	20	11	20	26	35.4	44	23	16.5	41.5	29	21.4	12	299.8	25	12
2010	16.5	8	8.1	23	43.3	103	54.3	47.2	118	11.7	27.5	35.5	496.1	41.3	12
2011	8.8	12.3	27.1	9	7.3	37	54.7	48	44.1	58	16.8	9.2	332.3	27.7	12
2012	12.7	31.3	25.4	18.5	59.1	27.8	35.5	65.9	32.9	10.9	5.2	55.2	380.4	31.7	12
2013	14.7	29.5	5.5	9.5	45.8	33	21.1	29	42.1	17	21.1	25.8	294.1	24.5	12
2014	31.8	17.1	16	40.7	41.7	69.8	36	30.9	54.1	33.1	35.5	10	416.7	34.7	12
2015	17.2	9.6	12.9	14.4	29.2	75	26.8	69.5	61.9	49.4	5.4	76.4	447.7	37.3	12
2016	11.9	9.9	10.3	37.2	15.1	45.2	33	55.1	46	20	8.9	3.2	295.8	24.7	12
2017	82.3	0	10	29.1	40	57	39	82.6	36.4	27.7	13	0	417.1	34.8	12
2018	45.3	3.3			17.1				47	26.8	40	40.1	219.6	31.4	7
2019	10.4	7.6	11	0	46	40	66.5	76	49	40	20	42.5	409	34.1	12
2020	12.7	13.6	5.7	36.2	49.7	104.7	44.5	59	64.4	58			448.5	44.9	10
2021								34.8	62.3	48.4	16.3		161.8	40.4	4
MÍNIMA	0	0	0	0	7.3	0	6	0	0	7	3	0	7	3.5	2
MÁXIMA	82.3	50	48	55.3	59.1	104.7	75	92.5	118	89	59	76.4	496.1	44.9	12
MEDIA	16.2	14	13.9	20.7	32.4	45.4	32.4	40.2	41.4	31.8	19.5	19.7	286.5	26.7	10.5
DESV.ST	15	10.6	9.7	12.1	13.1	21.2	15.3	20.9	22.8	17.3	12.9	17.9	108.2	7.3	2.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956										27.22	49.13	27.95	104.3	34.8	3
1958	12.39	6.09	4.29	65.94	131.68	198.04	249.55	194.01	513.01	87.57	50.94	53.27	1566.78	130.6	12
1959	37.25	7.78	53	122.98	52.57	297.45	164.43	143.1	160.59	260.93	155.18	18.9	1474.16	122.8	12
1960	53.59			61	171.5		369	354.3	319.6	281.2	33.7	15	1658.89	184.3	9
1961	138.2	0	43	45.5	88	165	130.5	197	100.1	222	132	116	1377.3	114.8	12
1962	50	96	87	105.2	114.1	224	87	131	254	123	19	0.8	1291.1	107.6	12
1963	40	9	65	21	25	255	174	120	389	31	157	31	1317	109.8	12
1964	36	4	16	34	99	223.2	230.9	144	235.3	29	100.8	51.6	1203.8	100.3	12
1965	28.2	46	12	18.5	61.5	224.5	86	218.2	180	233	39	47.7	1194.6	99.6	12
1966	31	8	68	29		246.5	168	232	197.04	150.05	40.04	35.01	1204.64	109.5	11
1967	84.51	9.02			74.02	235.51	22	114	86.3	216	23.01	86.01	950.38	95	10
1968	39.01						64.5	64	142.5		24.01	20	354.02	59	6
1971							87	206.5	234.6	123.5	57.6	79	788.2	131.4	6
1972	78	13.5	17.5	46.5	105.5	238		78		52.5	57.5	56	743	74.3	10
1973	22.5	7	4.5	58.5	110.5	456.5	171	547.5	130.5	139	60	42	1749.5	145.8	12
1974	9.5	61.5	77.5	43.5	112.2	214.5	188.2	78	372.5	95	66	13.5	1331.9	111	12
1975	84.4	9	6	16.5	83	271.5	120.5	110	280.5	211	92.5	7.5	1292.4	107.7	12
1976	41	30	12	38.5	121.5	177.5	345.5	124	203.5	157.5	168.5	51	1470.5	122.5	12
1977	0					156.9	51.8	247.6	260.4	244.9	17.1	42.5	1021.2	127.6	8
1978	58	15.5	5.9	23	139	205	119	202	311	100	57.5	77	1312.9	109.4	12
1979	50	7	25		77	160.5	149.5	168	198	108.7	47		990.7	99.1	10
1980	2	9	27	58	144	134							374	62.3	6
1981				23.3	124.6	230.8			207.5	170.7	11.1	10.6	778.6	111.2	7
1982		21	69.8	41.5	138.3	127.6	83	90.7	170.9	164.7	72.3	35	1014.8	92.3	11
1983	27.5	43	19.5	0	25	182	108	162.5	146	52	6	31	802.5	66.9	12
1984	18.5	2	3	4.5	167.8	90.3	235.5	159.4	205.6	112.4	12.3	20	1031.3	85.9	12
1985	29	48	26.4	84.5	202	352.5	233.4	325	164.5	31.6	16.5	31.1	1544.5	128.7	12
1986	73	9	35	41	209.5	173.8	89	162.2	91.2	91.2	61.3	11.3	1047.5	87.3	12
1987	15.2	6	32	57.2	56	291.6	184.3	49.11	226.4	69.7	54.7	56.1	1098.31	91.5	12
1988	42.6	48.2	24.5	11	63.8	275.7	91.81	263.8	158.7	124.3	21.2	19.8	1145.41	95.5	12
1989	19.1	55.2	6.6	63.4	69.9	263.5	72.31	258.8	473.9	158.3	23.2	40.7	1504.91	125.4	12
1990	18.1	53.2	36.11	63.9	83.3	130.8	125.4	179.5	234.3	240.5	26.5	0	1191.61	99.3	12
1991	22	21.2	7.1	54.6	118.2	241	85	85	162.81	80.01	49.6	50.4	976.92	81.4	12
1992	14.7	20.5	0	83.11	128		190.6		357.3	36.7	61.4	1.4	893.71	89.4	10
1993	22.4	16.3	41.3	35.3	151.4	300	96.7	189.1	92	63	9.6	13.7	1030.8	85.9	12
1994	33.8	21.1	23.8	46.4	69.4	169.9	110.3	189.7	113.8	95.4	29.8	6.3	909.7	75.8	12
1995										173.4	97	47.01	317.41	105.8	3
1996	88.1	44.6	61.1	150.9	158.1	331	181.6	118.1	93.3	195.3	49.1	6	1477.2	123.1	12
1997	12											0	12	6	2
1998	0	32.7	0	30.4	45	256.3	205.1	173.1	282.7	208.1	101.4	81.2	1416	118	12
1999	52.4	113.9	20.8	83.2	109	93.8	48	124.7	255.7	109.3	185.5	189.1	1385.4	115.4	12
2000	0	47.5	3.5	51.5	348.1	686.8	51.2	209.1	381.9	153.4	50	86	2069	172.4	12
2001	61	98.2	53.1	40	170.9	202.5	234.3	307.4	270.5	223.2	71	164.4	1896.5	158	12
2002	61.8	172.1	51.6	15.7	163.71	172.4	183.2	50	328.9	57.4	103	53.4	1413.21	117.8	12
