COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7031 
 NOMBRE    : CHANAL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHANAL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.65972222 ° 
 LONGITUD  : -92.2625 ° 
 ALTITUD   : 2100 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	12	10		15	40			47	40	25	40	18	247	27.4	9
1970	20		34	10	18	35	27	41	22.5	36	14	10	267.5	24.3	11
1971	15	6.5	40	26	24.5	35.5	40	41.5	77	30	84	20	440	36.7	12
1972	20	9.5	11	21.5	29	31	45	20	22	30	24	17	280	23.3	12
1973	4	4.5	3.5	3.5	16	29	17	50	15	24.5	23	12	202	16.8	12
1974	20		46	45	39	61	31.5	11.5	62	62	11	7	396	36	11
1975	16	23	8	20	30	47	41	25	37	60	18	11	336	28	12
1976	10	17	20	27	27	61	29	30	67	30	26	14	358	29.8	12
1977	20	7	7	15	21	65	32	33	42	17	20	25	304	25.3	12
1978	12	20	13	65	26	30	41	28	40	18		22	315	28.6	11
1979	20	15	18		20	44	44	29	71	29	13	15	318	28.9	11
1980	20	30	8	40	41	43	35	21	28	63.1	16	10	355.1	29.6	12
1981	18	20	18	17	25	40	49	45	63		13	21	329	29.9	11
1982	26	18	30	20	95	45	28	20	64	37	21	20	424	35.3	12
1983	17	40	23	20	41	55	41	40		20		16	313	31.3	10
1984	14	13	20	13	47	61	35	68	75	37	34	20	437	36.4	12
1985	20	23	16	24	36	41	20	80	80	35	20	33	428	35.7	12
1986	17	20	20	20	50	102	30	16	40	46	22	20	403	33.6	12
1987	16	16	13	35	37	32	28	36	52	50	23	33	371	30.9	12
1988	28	40	28	27	24	40	30		50	46	23	10	346	31.5	11
1989	13	20	23	37	20	63	26	30	40	40	18	40	370	30.8	12
1990	13	10	22	37	40	25	36	20	40	30	25	20	318	26.5	12
1991	30	20	30	24	23	47	40	40	30	36	25		345	31.4	11
1992			40	20	20	26	25	20	40	37	21	28	277	27.7	10
1993	23	10	20	23	30	46	41	36	50	46	15	26	366	30.5	12
1994	37	15	0	10.5	24	30	20	30	40	35	30	26	297.5	24.8	12
1995	18	9	5					30	35	30	30	20	177	22.1	8
1996	20	25	25	25	24	30	23	30	25	23	25	26	301	25.1	12
1997	23	16	19	23	23	23	23	23	20	23	23	16	255	21.2	12
1998	17	18	0	2	18	30	40	24	30	23			202	20.2	10
1999	14	20	0.1		21	54	54	35.7	50.8	55.7	50	20.1	375.4	34.1	11
2000	40.4	20.7	30	20.5	20	21							152.6	25.4	6
2006											7	14.2	21.2	10.6	2
2007	21.7	3	10	6	70	30	42	117	32	40	23	1	395.7	33	12
2008	16	22	9	45.9	26	40.9	37.8	57	50.4	18	27	11	361	30.1	12
2009	8.6	10.7	18.7	5	23.7	54.4	22	20	34	14	20.7	19.7	251.5	21	12
2010	16	1.2	4	21.2	21.2	56	43.9	47.4	93.5	10	19.7	0	334.1	27.8	12
2011	27.7	10.5	13	19.7	41.4	29.2	50.4	57.4	31.7	29.7	8	8	326.7	27.2	12
2012	15.8	10.3	9.5	18.7	21.7	29.7	13	34.4	19.1	17	13	26.7	228.9	19.1	12
2013	10.8	11.5	20.2	18	37.7	50.1	22	32.2	50.9	57.1	20.7	33.2	364.4	30.4	12
2014	12	10.3	18.7	16	48.9	35.7	18.7	33.2	27.2	18.7	16	24.3	279.7	23.3	12
2015	18.7	5.1	20.9	58.2	21.2	17.5	27.2	25.4	33	17	24.7	36.1	305	25.4	12
2016	2.8	13.3	51.7	32	28.2	39.9	22	27.2	36.7	17.8	48.9	24	344.5	28.7	12
2017	79.3	3.2						61.4	37.4	36.6	40.7	4.1	262.7	37.5	7
