COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7035 
 NOMBRE    : CHICOASEN (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHICOASÉN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.94166667 ° 
 LONGITUD  : -93.09861111 ° 
 ALTITUD   : 1240 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961							38	15.5	48	25.5	16.5	2.5	146	24.3	6
1962	0	0	0.7	20	36	34	61.5	55.5	35.5	37.5	0	1	281.7	23.5	12
1963	1.5	31	7	0	16	66	33	39	44	2.8	30	0.01	270.31	22.5	12
1964	1.6	0	2.1	44	32	84.1	40	40.5	38	57.2	10.3	1.5	351.3	29.3	12
1965	0.8	2	3.2	0.5	29	53.4	20.4	25.7	22.3	33	12	3.5	205.8	17.1	12
1966	0.7	0.01	2.7	38.9	22.5	59	36	66.5	34.4	13.6	0	1.3	275.61	23	12
1967	22.4	0.2	9.3	30.2	25	53.5	17.7	38.5	39	27.5	1.5	59	323.8	27	12
1968	14.4	16.6	0	13.5	51.5	36.7	57.7	32.5	89	26.4	8.7	5.4	352.4	29.4	12
1969	0	1.5	0	17.2	15	28.5	70.4	38.1	38.6	20	8.5	0	237.8	19.8	12
1970	0.5	0	0	12	24	41.2	40	44.6	49	17	3.8	0.5	232.6	19.4	12
1971	0	0	14	0	29	32	46	32	51	23.1	15.8	3	245.9	20.5	12
1972	9.3	0	0.5	66.7	11.5	42	49.5	29.6	55	7.7	21	6.3	299.1	24.9	12
1973	1.3	0	0	3.3	15	71.8	25	116	28.5	35.5	52.5	3.5	352.4	29.4	12
1974	4.5	3.5	16.5	17	59	46.5	38.5	25	62.5	3	8	0	284	23.7	12
1975	1	2	3.5	0	22	46	35.5	35	24	27	12	1.2	209.2	17.4	12
1976	5	1.8	0	8.5	19	22	73.8	52.7	17.1	75.5	14.5	0.5	290.4	24.2	12
1977	0	0	0	0	16.5	19.6	10.5	41	28.5	8.7	4	57	185.8	15.5	12
1978	10.3	2	6	7	21.5	42.6	72.5	18	37.5	41	8.5	22.5	289.4	24.1	12
1979	0	4.2	3	21.5	55	41	55.5	67.5	82	31.5	1.5	5.5	368.2	30.7	12
1980	0.3	2	0.5	16.8	26	41.5	63.5	42.5	44.7	3	2	0	242.8	20.2	12
1981	0	11.2	2	20	37.5	68.4	37.5	70	36.3	16.9	1	0.4	301.2	25.1	12
1982	2	1.1	0.9	24.2	46	39.3	36.9	25.4	70.9	60	16.9	7.8	331.4	27.6	12
1983	0	26.6	24.1	0.8	10.8	57.6	36	24.7	45.9	12.7	2.3	3.5	245	20.4	12
1984	0.2	0	11.9	0	35.3	65.9	36.8	39.6	73.9	6.5	0.7	5.8	276.6	23	12
1985	0.01	2	0.2	9	18.2	87.6	54.2	62.7	73.3	9.4	11.4	2.7	330.71	27.6	12
