COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7039 
 NOMBRE    : EL BOQUERON 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SUCHIAPA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.64416667 ° 
 LONGITUD  : -93.15722222 ° 
 ALTITUD   : 500 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949	0	0	1	0	42	20	30	27	25	20	0	0	165	13.8	12
1950	0	0	1	6	37	42	29	22	34	9	0	0	180	15	12
1951	0.01	0	0	0	37	25	25	22	42	12.4	45	0	208.41	17.4	12
1952	0	0	0.01	0	30	34.5	25.5	35.5	27.5	30.5	1.5	2	187.01	15.6	12
1953	0	0.01	0	0	2.5	32.5	15	31.5	26.5	28	0.01	0.01	136.03	11.3	12
1954	0	0.01	0	11	32	23	53.5	48.5	56	57.5	0	0	281.51	23.5	12
1955	0	0.01	0	0	24	22	40	31.5	27.5	41.5	3.5	23.5	213.51	17.8	12
1956	0	0	0.01	10	50	126.6	25	21.5	53	20	5.5	0	311.61	26	12
1957	0	0.5	15.5	30	20	30	18	29.5	34	2	0.01	4.6	184.11	15.3	12
1958	0.01	0.01	0	7	13	52	120	18	50	67	6	2	335.02	27.9	12
1959	0.01	0.01	1.5	9.5	20	64	61	32	64	32.5	3.3	1.5	289.32	24.1	12
1960	0.01	0	0	17.5	35	48	37.5	135	45.5	45.5	0.01	0.01	364.03	30.3	12
1961	0.01	1	15	6.5	4	37	29.5	37.5	55	11	54.5	2.5	253.51	21.1	12
1962	0	0	0.01	22.5	26.5	32.5	56	62	30	42	3.5	0	275.01	22.9	12
1963	3.5	20	5.5	2.2	8.8	55	63.5	27	56.5	0	48.5	0	290.5	24.2	12
1964	0.01	0	0.01	2	76.5	49.5	62	65.5	41.5	9.5	1.5	1.6	309.62	25.8	12
1965	0	6	1	1.5	29.5	63.3	24.5	46.6	56.5	23	19	3	273.9	22.8	12
1966	1	0	0	53.5	48.3	65	47.2	73.3	50	21.5	1.2	1.2	362.2	30.2	12
1967	2	0	1	12	16	58.5	13	17.5	51	10.7	40	16.5	238.2	19.9	12
1968	5	0	0	3	28.5	50.5	35	20	35.5	43.5	0.5	1	222.5	18.5	12
1969	7	0	0	41.5	9.2	24.5	55	31.5	25	38.7	4	0	236.4	19.7	12
1970	0	0	0	0	12.5	42.4	45	35.4	60.5	22	0	0	217.8	18.1	12
1971	0	0	1.5	0	27	49.5	55.4	92	65	60	6	0.01	356.41	29.7	12
1972	3.4	0	0	4.5	14.2	48	36.5	42	23.5	6.5	24.5	2.3	205.4	17.1	12
1973	0	0	0	1.5	36.9	76.1	52.8	52	32	34.3	27.7	0	313.3	26.1	12
1974	0.2	2.1	0.4	2.6	31.6	38	61.6	28.5	91.5	2	8	0	266.5	22.2	12
1975	0.7	0	0	0.1	43.2	52.6	58.8	22.4	68.1	10.5	4	0	260.4	21.7	12
1976	0	2.1	0	30.2	2.4	42.8	52.4	60	57.1	24.3	3.4	0	274.7	22.9	12
1977	0	0	0	23.9	8.5	77	15	41.1	29.6	30.1	8.4	3.8	237.4	19.8	12
1978	3.4	0	0	7.7	51	57	60	26	32.3	12	0.3	8.3	258	21.5	12
1979	0.5	0	0.3	38.5	32.5	13.6	25.8	57	70	32	2	5.5	277.7	23.1	12
1980	9	0	0	0.3	40.5	40	35.5	71.5	39	2	1	0	238.8	19.9	12
1981	0	0	0	21	35.5	60	31	30	43.9	14.5	0	0	235.9	19.7	12
1982	0	0	2.5	4.9	16	41.5	69.5	16	32	30.4	1.3	4.3	218.4	18.2	12
1983	0	17.4	45.5	0	39	38.5	26.5	74.9	35.8	20.2	0	2.4	300.2	25	12
1984	0	0	2	0	15.5	42.4	32.6	32.9	75.5	7	0	0	207.9	17.3	12
1985	0	0	5.3	25.5	80.8	57	92	19.2	73.2	15.5	20	0	388.5	32.4	12
1986	6	0	0	0	58	40	43.7	32	31.3	8	3.5	3.5	226	18.8	12
1987	0	0	11.8	9.4	7	69.4	34.3	41.7	62.6	3.2	2		241.4	21.9	11
1988	0	3.5	0	0	4.1	40.8	57	81.5	34.3	21	0	0	242.2	20.2	12
1989	0	0	0	1.2	45	50	45.4	63.3	74.5	5.8	1.5	0	286.7	23.9	12
1990	0	0	0	16.1	35.2	40.5	47	61.1	36.1	15	6	9.5	266.5	22.2	12
1991	0	0	0	0	27	73.5	38.1	39.5	22.3	48.2	1.2	1.5	251.3	20.9	12
1992	2	0	4.5	22	28	77.8	31.1	25.4	49.5	15.3	0	10.5	266.1	22.2	12
1993	0	0	0	0	5.5	58.3	55.5	38.1	69.4	30.1	0	0	256.9	21.4	12
1994	2.1	2.5	0	0	45.5	70	56.5	43.5	18	11.5	9	0	258.6	21.6	12
1995	0	0	0	64.9	58.6	65	19.7	100	19.2	39.7	0.1	6.3	373.5	31.1	12
1996	0	0	0	47.9	41.7	145	45.7	55.7	41	19.6	8.8	0.01	405.41	33.8	12
1997	0	0	0	36.6	49.3	64.5	33.3	21.5	84.5	55	46.2	3	393.9	32.8	12
1998	0	4	0.1	0	4.4	143.8	35.6	28.9	75.6	19.2	20.5	0.01	332.11	27.7	12
1999	0.1	0.01	0.01	25.4	42.5	54.2	46.5	87	62.6	3.4	1.4	9.7	332.82	27.7	12
2000	0.01	0.1	0.01	0.01	30.1	60.5	41	34.9	35.5	23.8	0	0.01	225.94	18.8	12
2001	0	4.2	0	0.4	75	19.5	40	37.6	84.4	19.8	0.2	5.2	286.3	23.9	12
2002	0	2.3	7.1	79.3	9.7	42.5	68.5	15.1	43.3	14.8	3.6	4.2	290.4	24.2	12
2003	0	0	0	0	42	64.5	48.4	20	46.3	61	10	0	292.2	24.4	12
2004	3.3	0	0.3	6.8	30	39	40.3	26	46.5	21	0.5	0.3	214	17.8	12
2005	0	0	0	2.9	32.5	61	69.5	40	27.1	48	0.3	0	281.3	23.4	12
2006	0	0.1	0	11.7	55.5	44.5	72.3	25.2	49.3	19.4	7.4	0.1	285.5	23.8	12
2007	1.4	0	0.7	23	26.8	51.8	93.7	47	22.5	57	1.5	0	325.4	27.1	12
2008	0	0	0	4.7	50	38.5	29	67	28	8.5	0.3	4.1	230.1	19.2	12
2009	0	0	0.7	4.8	33.1	68.5	48	30	38.5	38.5	4	6.3	272.4	22.7	12
2010	0.5	0.5	0	48	25.5	56.5	41	47.5	61.5	8.5	6.8	0	296.3	24.7	12
2011	0	0.5	2.4	4.8	5.7	49	44.4	70	32.5	25.6	4.12	0.2	239.22	19.9	12
2012	0.2	7.2	0	16.7	33.9	26.3	48.6	54.5	29.9	9.8	0	6.2	233.3	19.4	12
2013	2.3	0	0	0.5	60.6	53.6	72.4	32.5	91.6	26.5	5.3	5.2	350.5	29.2	12
2014	2.2	0.1	0.3	7	75.6	63.3	57.4	48	57	30	4.3	0	345.2	28.8	12
2015	0	0	0	29	45.5	29.5	40	40.1	37.5	86	2.7	0.8	311.1	25.9	12
2016	0	0	2	0	25.7	45	47.5	68.2	26.8	12.5	3	0	230.7	19.2	12
2017	3.3	0	0	24.5	44.5	117.5	37	55.3	61.5	82	0.5	0	426.1	35.5	12
2018	0.9	0	1	3	26.4	61.7	22.9	49	98.9	27.7	1	0.01	292.51	24.4	12
2019	0	0	0	0	32	33.4	16.3	38.5	58	63	1.7	3.3	246.2	20.5	12
2020	0.8	0	7.3	1.6	27.9	46	28.7	70.5	24.7	14.7	22.6	0	244.8	20.4	12
2021	7.4	0	0.4	0	74.5	44.8	76.5	31.2	21	12.1	0	2.8	270.7	22.6	12
MÍNIMA	0	0	0	0	2.4	13.6	13	15.1	18	0	0	0	136.03	11.3	11
MÁXIMA	9	20	45.5	79.3	80.8	145	120	135	98.9	86	54.5	23.5	426.1	35.5	12
MEDIA	0.9	1	1.9	12.2	32.8	52.6	45	43.9	46.8	25.9	7.2	2.3	272.6	22.7	12
DESV.ST	1.9	3.3	6	17	19.1	24.7	19.6	22.4	19.6	19.4	12.5	4.1	58	4.8	0.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949	0	0	1.5	0	69.6	144.5	91.5	66.9	167.7	101	0	0	642.7	53.6	12
1950	0	0	1	6	130	54	115	66	182	25	0	0	579	48.2	12
1951	0.01	0	0	0	77.04	148.04	246.01	112.04	279.11	32.87	69.5	0	964.62	80.4	12
1952	0	0	0.02	0	140	300.06	153.6	227.57	202.06	84.05	1.54	2	1110.9	92.6	12
1953	0	0.02	0	0	5.52	186.09	93.1	173.5	70.04	67.55	0.03	0.02	595.87	49.7	12
1954	0	0.01	0	11.04	168.71	227.77	222.52	166.54	164.38	184.56	0	0	1145.53	95.5	12
1955	0	0.01	0	0	42.63	90.57	451.03	211.56	135.59	119.57	6.52	24.52	1082	90.2	12
1956	0	0	0.01	12	202.53	229.68	89.1	83.03	232.02	40.02	5.52	0	893.91	74.5	12
1957	0	0.5	15.5	52.02	58.01	156.08	85.56	102.58	182.05	3.01	0.01	4.6	659.92	55	12
1958	0.02	0.01	0	11.03	13.03	243.52	367.57	110.02	261.55	118.53	7.06	3	1135.34	94.6	12
1959	0.01	0.01	1.51	15.04	29.04	330.12	168.24	95.21	178.91	198.07	3.39	1.51	1021.06	85.1	12
1960	0.01	0	0	17.51	37.51	270.54	138.14	407.79	224.04	184.57	0.02	0.01	1280.14	106.7	12
1961	0.01	1	15.01	8.01	17.52	207.02	212.09	162.56	182.05	22.02	71.01	2.5	900.8	75.1	12
1962	0	0	0.01	30.03	34.01	247.53	137.06	199.56	250.71	74.06	3.51	0	976.48	81.4	12
1963	3.51	20	6.5	2.21	16.41	224.76	293.65	61.65	255.66	0	72.01	0	956.36	79.7	12
1964	0.01	0	0.01	2	141.12	279.22	178.37	153.54	183.04	20.62	1.52	1.62	961.07	80.1	12
1965	0	7.5	1	1.51	98.82	369.74	130.36	176.98	115.83	129.93	19	5.6	1056.27	88	12
1966	1	0	0	121.51	68.63	301.23	244.95	195.1	249.05	58.42	1.21	1.2	1242.3	103.5	12
1967	2	0	1	12.01	16.01	325.34	39.91	136.12	167.37	40.31	40	16.51	796.58	66.4	12
1968	5	0	0	3	66.54	256.72	101.53	75.25	156.04	91.73	0.51	1.01	757.33	63.1	12
1969	7	0	0	42.2	12.7	79.2	302.1	279.5	141.8	59.2	5	0	928.7	77.4	12
1970	0	0	0	0	13.5	218.8	241.5	189	284.5	32.5	0	0	979.8	81.7	12
1971	0	0	2.3	0	34.51	257.63	194.14	232.94	324.03	121.55	16.52	0.01	1183.63	98.6	12
1972	3.4	0	0	5.7	28.2	199.4	237.3	83.9	61.2	10	45.4	5.9	680.4	56.7	12
1973	0	0	0	1.5	64.9	257.5	208.4	311.1	166.4	97.81	31.2	0	1138.81	94.9	12
1974	0.2	3.4	1	2.6	86.1	215.8	177.6	71.9	241.8	2.11	9.3	0	811.81	67.7	12
1975	0.7	0	0	0.1	62.2	249.7	168.4	133.7	249.4	34.4	6.2	0	904.8	75.4	12
1976	0	2.1	0	31.6	4	152.6	222.5	184.11	185.8	51.3	13.1	0	847.11	70.6	12
1977	0	0	0	47.2	38.9	185.6	65.7	176.91	118.4	48.3	9.7	3.8	694.51	57.9	12
1978	3.4	0	0	7.7	83.4	301	253	146.9	136.2	36.11	0.3	8.3	976.31	81.4	12
