COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7040 
 NOMBRE    : EL BURRERO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : IXTAPA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.78916667 ° 
 LONGITUD  : -92.82833333 ° 
 ALTITUD   : 1544 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951					32	42	49	45	97	81	12	12	370	46.2	8
1952	0	1	20.5	53	40.5	45	34	39.5	77	42	8.5	18	379	31.6	12
1953	2.5	0	0	20.5	21	62	29	30.5	40	94	6.5	5.5	311.5	26	12
1954	4.5	4	0	39.5	39.5	79	48.5	34	28.2	22.5	0	3.6	303.3	25.3	12
1955	0	0	2.7	0.6	13	29	67	37	35	36	2	28	250.3	20.9	12
1956	2.5	0	40	24	68.5	50	47.5	30	41.5	33	22	0	359	29.9	12
1957	11	22	13.5	11	22	52	32.5	48	41	14	52	3.5	322.5	26.9	12
1958	7.5	7.5	0	18.5	37	52.5	58	49	94.5	30	27	6	387.5	32.3	12
1959	0.01	0.01	11.5	35.5	36	103.5	31.5	48	39	54	13.5	0.01	372.53	31	12
1960	2	0	0	15.5	15	60	30	62	55.5	36	3.5	0.01	279.51	23.3	12
1961	4.5	4	9	6	10.5	54	47	37	20.5	50.5	28.5	1	272.5	22.7	12
1962	11	0	0	23	28	26	20	57	17.2	14	1.2	0.01	197.41	16.5	12
1963	3.9	19.5	18.6	1.8	46	34.5	36	30	37	2	20	0.5	249.8	20.8	12
1964	0.01	0.01	2.5	3	21.7	40	40	17	34	25	3.8	1.9	188.92	15.7	12
1965	2	4	12.6	5	16	36	52.1	20.1	50	51.4	8.1	7	264.3	22	12
1966	1.1	0.2	0.9	31	39.2	58	52.3	47.1	37.7	45.9	0.8	2.2	316.4	26.4	12
1967	3.7	4.4	24.3	16.5	8.9	54.3	42.4	28	45.1	31.5	4.1	27.2	290.4	24.2	12
1968	12.7	14.2	0	20.2	47	35.5	29.2	40	25.1	71	2.5	21.2	318.6	26.6	12
1969	0.9	0	0.5	20	12.8	29.5	31.8	46.8	38.8	13.5	19	0.3	213.9	17.8	12
1970	11.1	0	0	7.1	20	62.2	40	43	32	13.2	1.5	2.1	232.2	19.4	12
1971	0.5	0	0.5	0.4	25.6	29.3	45.3	51	46	25	18.2	3.9	245.7	20.5	12
1972	8.1	3	12.1	51.3	12.8	54	50.9	20.7	40.6	15.8	29	7.5	305.8	25.5	12
1973	2	0.5	1.6	6.5	20.1	62.8	32.4	117.5	23.5	35.2	10.9	2	315	26.2	12
1974	17.5	2.7	11	9.8	30.3	84.3	53	28.8	82.7	4.2	21.5	0.2	346	28.8	12
1975	11	1.1	0.8	19.5	64.6	30.5	36.4	35.6	36.7	23.6	15	0	274.8	22.9	12
1976	2	4.6	1.6	2.3	29.4	45.5	26	30.8	38	29	5.7	1	215.9	18	12
1977	0.1	1.5	0.01	4.8	52	22.8	44.1	33.6	67.5	28.5	10	6.7	271.61	22.6	12
1978	15	8	7	4.3	21.2	45	58.5	52.5	25.2	24	14	17.2	291.9	24.3	12
1979	0.2	1.3	15.5	20	38	24	33.4	56.8	58.4	9.8	5.5	12.7	275.6	23	12
1980	14.8	4.2	0	5.5	60	35.2	107.4	30.8	35	15.5	4	0.5	312.9	26.1	12
1981	0	1.5	0	18	37.8	63.6	44	55.5	30.3	16.5	2.7	0.5	270.4	22.5	12
1982	0	2.4	19.8	20.8	55.5	50.5	33.4	35.8	93	36.8	9	1.7	358.7	29.9	12
1983	0.3	0	40	5	28	32	24	30	84	47.5	6.5	7	304.3	25.4	12
1984	0	3	4	0	20	51	44	60	73	13	1	1	270	22.5	12
1985	1	1.5	0	7	16	24	41	28	60	22	13	5	218.5	18.2	12
1986	0	0	6	66	70	69			9	39			259	32.4	8
1987	0.01	0	13	44.5	13	100	49.5	21.5	71	3.5	10	7.5	333.51	27.8	12
1988	4	5	2.5	6.5	40.5	70.5	58.5	24.5	43.3	26.7	4	1.2	287.2	23.9	12
1989	0	5.5	1	6	44	50	28.5	31	64	58.2	16	2	306.2	25.5	12
1990	3	13.5	2	35	35	49.5	40.2	31.3	44	11	13	18.2	295.7	24.6	12
1991	4.4	1	1.5	15	28	76.2	20	35.1	44	100	11.5	5.1	341.8	28.5	12
1992	1.5	22.6	9.2	16.2	41	66.8	60	42	63	55	26	2.3	405.6	33.8	12
1993	2	0.8	27	1.8	28	66.2	34.4	63.3	53	38	1.8	0.5	316.8	26.4	12
1994	5.8	2	2	14.5	22	71	39		25.5	41	2	1.1	225.9	20.5	11
1995	0	0	4.5	26.8	32	93	54.3	65.5	70	86	23.4	6.1	461.6	38.5	12
1996	6	0.01	3.3	20	26	69.7	77.5	64	40	16.7	11.4	8.8	343.41	28.6	12
1997	0	2.6	17	6.5	35.1	47	26.8	22	53.5	26	25.8	18.5	280.8	23.4	12
1998	0	10	0	0	44.5	31.5	40	43	49	20	75	0	313	26.1	12
1999	0	0	0	42.5	66.5	73	32.2	46.5	69.8	38	2.5	19.2	390.2	32.5	12
2000		0	10.8	7	81.5	110.3	24	57.7	48	6	0	2.8	348.1	31.6	11
2001	0	5	1.3	20.2	35	23.4	35	48.5	53.8	39	0	13.5	274.7	22.9	12
2002	0	16.3	3	11	33.7	52	55	20	69	53	20	11	344	28.7	12
2003	0	0	5	21	40.2	39	62	30	76.5	35	11	20	339.7	28.3	12
2004	1.9	0	8.5	60.1	33	23	48	29.4	74	43.8		0	321.7	29.2	11
2005	2	0	14.1	34	65	29		39.9	81	39	2.6	28.6	335.2	30.5	11
2006	1.5	1	7	18	75.5	24	41.5	62	42	50.2	27	4	353.7	29.5	12
2007	12.2	0	0	35.5	45	29.5	38	60.2	34.2	76	0	0	330.6	27.6	12
