COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7043 
 NOMBRE    : EL CEDRO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOSINGO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.41666667 ° 
 LONGITUD  : -91.08333333 ° 
 ALTITUD   : 510 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965					14	74.5	49.3	33	27.3	38	72.5	20.4	329	41.1	8
1966	14.2	27.1	25.7	67.2	38.2	80.6	108	68.5	97	27.5	34	15	603	50.2	12
1967	19	64	20	45.5	20	88.8	36	31.4	28.4	62.2	119	10.2	544.5	45.4	12
1968	20	15.2	17.3		69.5	72.4	29.8	62.7	52.3	71.5	38	29.8	478.5	43.5	11
1969	28.7	61.8	26.3	15.5	82.6	111.7	34.3	88.5	82.8	16.9	42.2	9.7	601	50.1	12
1970	58.6	38	6.5	32.7		28.3	67.6	53	108.1	67.1	26.9	37.6	524.4	47.7	11
1971	19.4	9.6	23.6	40.5	22.2	28.3	14.5	49	51	51.8	70.3	11.5	391.7	32.6	12
1972	30.1	21.6	25.3	19	38.5	91.3	84.6	27	46	34.1	47.9	63.9	529.3	44.1	12
1973	16.5	19.8	19.6	24.6	88.3	46	32.2	57.8	73.1	32.3	18.4	32.6	461.2	38.4	12
1974	27.7	20	22.7	84.6	36.8	52.6	37	34.6	124.8	43.6	22	33.7	540.1	45	12
1975	23.7	2.2	6.5	3.3	9.1	33.2	56.1	23.5	47.7	82.7	48.6	13	349.6	29.1	12
1976	31.1	23.9	11.8	55.9	52.5	30.7	51.3	30.3	47.8	29.6	96.2	31.2	492.3	41	12
1977	8	6.1	32.7	10.1	69.2	88.7	34.3	24.5	46.7	74.8	14.5	32.7	442.3	36.9	12
1978	31.8	11.4	26	17.2	158.6	100.7	31.9	57.6	60.3	101.1	27	46.4	670	55.8	12
1979	13.3	22.2	18.1		19.5	74.1	49.5	60.1	129.1	41.8	42.8	84.9	555.4	50.5	11
1980	63.9	13.8	9	3.3	45.2	52.7	31.5	39.8	59.9		30.2	31.1	380.4	34.6	11
1981	3.5	64.7	46	54.3	50.8	70.5	53.4	60.9	32	68.3	40.4	62	606.8	50.6	12
1982	14.2	25.3	21.4	12	32.1	81.9	25.3	43	67.1	80	18.7	15.3	436.3	36.4	12
1983	8.3	17	40.4	21.3	47.2	69.4	60.1	44.4		47.6		19.5	375.2	37.5	10
1984			20	52.6	108.4	37.4	27.9	71.7	65.3	31.8	90.8	19.4	525.3	52.5	10
1985	10.6	48.4	48.7	2	23.6	45	28.2	43.5	43.7	41.7	21.5	22.5	379.4	31.6	12
1986	30.5	11.1	26.4	3.7	128.4	57.5	54.5	40	20	57.5	34.4	15.2	479.2	39.9	12
1987	9.2	3.6	20	7.6	12	96.5	80	16.7	40.5	33.4	69.9	40	429.4	35.8	12
1988	30	12.1	6.4	4.5	44.7	84.1	40.9	155.9	75.1	84.6	18.3	32	588.6	49	12
1989	14.2	15.5	5.8	61.3	86.5	41.3	49.9	43.4	102	114	36.6	17.5	588	49	12
1990	20.5	5.1	21.1	98.6	30	26.2	47.6	27.4	80.7	61.2	41.5	20.6	480.5	40	12
1991	47.2	56.9	14.9	26.3	40	102.5	48.3	63.4	90.6	25.1	17.4	57.6	590.2	49.2	12
1992	6.4	11.5	76.2	12	37.4	73.6	30.1	60.8	105.4	38.4	22.3	38.5	512.6	42.7	12
1993	46	9	43.2	63.1	16	73	43.6	37.1	59	75	34.7	24.5	524.2	43.7	12
1994	57.4	58											115.4	57.7	2
MÍNIMA	3.5	2.2	5.8	2	9.1	26.2	14.5	16.7	20	16.9	14.5	9.7	115.4	29.1	2
MÁXIMA	63.9	64.7	76.2	98.6	158.6	111.7	108	155.9	129.1	114	119	84.9	670	57.7	12
MEDIA	25.1	24.8	24.3	32.3	50.8	66	46.1	50	66.6	54.8	42.8	30.6	484.1	43.4	11.3
DESV.ST	16.5	19.9	15.4	27.5	36.7	25.2	19.9	26.5	29.5	24.5	26.4	18.1	111.1	7.3	2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965					16.06	346.75	266.63	175.25	177.04	238.84	305.48	81.19	1607.24	200.9	8
1966	65.16	83.16	126.74	205.23	96.94	266.3	321.5	332.83	481.34	138.25	101.04	39.73	2258.22	188.2	12
1967	84.13	70.95	38.73	168.51	32.61	351.34	303.97	192.05	162.27	366.25	286.65	39.14	2096.6	174.7	12
1968	95.73	40.12	28.91		324.51	270.81	251.13	240.41	232.31	361.11	108.6	103.9	2057.54	187	11
1969	79.7	100.11	99.4	32.6	313.8	344.6	194.5	435.6	386.6	75.3	168.4	17.12	2247.73	187.3	12
1970	129.2	52.5	16.2	67.6		163.5	299.9	281.9	536.1	296.5	153.9	118.9	2116.2	192.4	11
1971	48.41	11.44	53.61	69.31	68.74	147.33	305	237.5	249.41	242.61	258.8	54.66	1746.82	145.6	12
1972	128.5	47.6	39.8	26.1	97.4	410.7	464.5	220	253.5	224.5	79.5	259.2	2251.3	187.6	12
1973	40.4	37.4	20.8	52.1	305.4	241.6	112.2	342.1	266.6	230.6	102.9	60.5	1812.6	151	12
1974	131.1	48.9	49.1	123.5	98.8	407.3	248.1	260.7	344.1	270.5	84.11	85	2151.21	179.3	12
1975	101.11	7.9	12.9	3.3	23.7	177.2	220.1	146.7	185.6	363.8	204.4	70.2	1516.91	126.4	12
1976	152	90.8	11.8	87.5	134.2	209.41	185.3	177.5	241.7	82.9	210.8	145	1728.91	144.1	12
1977	28	25.6	53.8	46.2	155.5	414.3	243.7	145.6	228.6	146.1	74.5	110.7	1672.6	139.4	12
1978	53.7	24.9	94	55	334.4	238	222.8	196.5	211.1	392.6	155.6	97.3	2075.9	173	12
1979	51.5	54.4	43.7		108	430.4	249.6	297.5	568	166.4	177.4	261.8	2408.7	219	11
1980	177.6	58.8	13.9	5.4	77.2	390	196.2	265.1	264.3		135.3	177.4	1761.2	160.1	11
1981	13.7	235.6	76.4	124.9	149.7	387.1	233	445.9	202.4	276.3	88.1	131.2	2364.3	197	12
1982	42.8	86.1	43.3	17.8	99.5	474.6	231.7	298.1	313.5	352.4	69.8	46	2075.6	173	12
1983	29.2	53.7	88.1	40.2	105.5	212.2	348.3	246.7		212.11		95.8	1431.81	143.2	10
1984			25.9	63.4	269	153.6	239.2	351.5	449.5	133.6	126.3	133.4	1945.4	194.5	10
1985	25.7	125.6	80.2	4.4	93.7	207.2	180	182.1	318.2	164.7	112	125.4	1619.2	134.9	12
1986	87.5	32.6	42.5	5.7	218.1	284.3	235.4	326.8	174.2	233.9	193.3	44.2	1878.5	156.5	12
1987	26.2	8	27.9	21	12	382.7	423.5	133.3	206.43	95.5	173.1	164	1673.63	139.5	12
1988	130.2	34.2	14.9	9.1	118.6	454.8	310.9	381.6	226.8	337.3	81.3	75.9	2175.6	181.3	12
1989	76.8	66.6	5.8	140.4	246	165.3	299.2	278.81	647.5	279.7	185.2	65.1	2456.41	204.7	12
1990	179.7	10.9	92.9	189	84.9	200.1	190.2	242	231.7	257.2	221.2	79.1	1978.9	164.9	12
1991	168.9	86.8	15.2	34.5	215.3	222.3	175.9	228.7	249	95.6	94.4	226.5	1813.1	151.1	12
1992	44.8	22.8	94.3	43.7	94	299	169.4	289.4	409.7	176.1	123.3	217.2	1983.7	165.3	12
1993	98.8	15.9	83.3	157.5	43.2	298.8	188.6	153.2	298.7	291.3	115.3	108.3	1852.9	154.4	12
1994	150.2	161.3											311.5	155.8	2
MÍNIMA	13.7	7.9	5.8	3.3	12	147.33	112.2	133.3	162.27	75.3	69.8	17.12	311.5	126.4	2
MÁXIMA	179.7	235.6	126.74	205.23	334.4	474.6	464.5	445.9	647.5	392.6	305.48	261.8	2456.41	219	12
MEDIA	87.2	60.5	49.8	69	140.6	294.9	252.1	258.8	304.1	232.2	149.7	111.5	1902.3	169.1	11.3
DESV.ST	50.7	50.4	33.7	61.4	98.4	100.6	76	83.6	128.7	94.3	65.2	65.6	403.8	23.7	2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965					130.3	129.8	110	124.8	120.9	102.1	68.8	51.7	838.4	104.8	8
1966	55	68.9	79.4	112.9	133.7	90.8	90.9	111.8	95.8	82.9	59.3	42.8	1024.2	85.3	12
1967	49.7	70.7	105.7	130.8	136.9	132.8	102.6	113.7	96.7	70.7	69.1	56	1135.4	94.6	12
1968	47	71.4	102.4		154.4	131	110.9	115.7	102.8	80.5	62.7	53.7	1032.5	93.9	11
1969	65	80.5	80.1	115.8	129	122.4	111.6	110.4	91.85	98.45	58.7	58.1	1121.9	93.5	12
1970	51	65.3	116.7	136.9		118.3	102	121.1	103.4	92.1	58.9	58.4	1024.1	93.1	11
1971	68.39	87.55	133.89	126.51	158.75	130.44	115.61	130.81	117.88	119.82	59.42	23.63	1272.7	106.1	12
1972	61.3	72.4	126.8	141.7	169.2	126.1	106.2	91.2	98.2	100.7	78.1	70.6	1242.5	103.5	12
1973	71	74.5	135.5	121.4	147.4	123.1	116.8	105.3	111.2	72	68.1	66.3	1212.6	101	12
1974	67.5	78.9	111.4	112.8	135	117.9	104.8	117.7	99.8	68.9	68	54.1	1136.8	94.7	12
1975	57	90.6	135.3	156.8	131.5	129.2	95.9	109	96.2	84.1	66.7	51.2	1203.5	100.3	12
1976	50.5	71.2	125.5	151	133.7	108	100.9	125.9	109.9	92.7	60.1	43.4	1172.8	97.7	12
1977	63.1	63.6	130.3	107	154.3	118.8	119.8	114.3	115.5	96.1	74.5	60	1217.3	101.4	12
1978	67.4	71.3	94.6	137.3	155.3	123.8	118.7	124.9	100.9	95.9	67.7	72	1229.8	102.5	12
1979	64.4	78.4	111.7		139.8	105.7	123	107.6	106.8	89.9	64.9	47.7	1039.9	94.5	11
1980	75.1	68.1	130	115.5	148.8	101.2	103.8	113.6	108.3		57.9	56.5	1078.8	98.1	11
1981	67.3	64.7	135.2	117.6	129.7	98.2	104.3	121.6	107	79.1	71.1	60	1155.8	96.3	12
1982	64.7	68.7	107.1	120.5	126.9	114	137.7	100	86.1	88.9	53.8	49	1117.4	93.1	12
1983	48.4	52.2	119.7	126.1	150.5	125.1	74.1	87.2		85		62.9	931.2	93.1	10
1984			128.43	140.62	117.86	91.25	91.46	98.37	85.51	100.35	72.71	55.15	981.71	98.2	10
1985	62.05	87.33	106.34	127.69	138.48	124.72	108.24	121.76	106.46	107.2	75.9	51.6	1217.77	101.5	12
1986	57.54	74.93	115.96	158.19	148.66	120.02	113.33	134.36	102.26	103.33	83.93	65.31	1277.82	106.5	12
1987	77.35	99.66	129.23	118.71	162.05	140.58	102.24	106.91	122.53	93.56	73.88	67.65	1294.35	107.9	12
1988	61.09	82.81	114.72	145.77	161.36	135.83	115.74	113.73	100.37	89.24	87.47	68.15	1276.28	106.4	12
1989	69.85	83.63	123.69	132.6	140.26	132.26	126.66	127.43	112.95	93.33	78.24	66.19	1287.09	107.3	12
1990	61.61	87.05	115.72	140.29	146.21	113.94	125.27	121.52	111.39	97.18	74.2	51.83	1246.21	103.9	12
1991	80.93	84.92	156.52	134.48	155.08	135.48	108.67	115.21	99.99	92.37	57.45	60.35	1281.45	106.8	12
1992	48.14	67.91	120.27	138.23	115.47	134.33	120.48	133.42	110.52	93.7	66.16	62.84	1211.47	101	12
1993	80.28	88.24	127.24	145.76	150.46	135.61	119.78	118.08	118.29	114.55	85.94	63.23	1347.46	112.3	12
1994	46.49	56.96											103.45	51.7	2
MÍNIMA	46.49	52.2	79.4	107	115.47	90.8	74.1	87.2	85.51	68.9	53.8	23.63	103.45	51.7	2
MÁXIMA	80.93	99.66	156.52	158.19	169.2	140.58	137.7	134.36	122.53	119.82	87.47	72	1347.46	112.3	12
MEDIA	62.1	75.4	118.6	131.3	142.9	121.1	109.7	115.1	105	92.3	68.7	56.9	1123.8	98.4	11.3
DESV.ST	10.1	10.9	16.8	14.1	13.6	13.5	12.7	11.6	9.7	12	9	10	227.5	10.7	2

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965					35.6	32.7	31.2	32.1	31.8	30.1	28.8	27.5		31.2	8
1966	26.3	28.7	28.8	33.2	33.4	31.7	31.9	32.1	31.4	30.6	27.2	26		30.1	12
1967	26.5	28.6	30.7	32.4	33.9	32.9	30.8	31.9	32.2	29.7	27.7	29		30.5	12
1968	26.4	27.3	29.6		33.9	32.7	31.7	31.6	31.7	29.8	28.7	27.6		30.1	11
1969	28	30.3	30	33.3	33.6	33.1	32.1	32.1	31.8	31.8	28.6	28.4		31.1	12
1970	27.5	27.4	32	35.1		33.4	31.4	32.1	30.8	30.5	26.4	27.1		30.3	11
1971	28.1	30.3	32.5	32.8	35	33.7	31.4	32	31.7	30.7	28.4	28.4		31.2	12
1972	28.6	28.5	32.9	34.9	35.5	32.2	30.8	30.7	31.6	30.7	30.7	27.9		31.2	12
1973	27.8	28.9	34.9	33.8	34.3	33.2	32.3	31.8	32.1	29.8	29.2	27.1		31.3	12
