COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7046 
 NOMBRE    : EL EUSEBA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TENEJAPA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.21666667 ° 
 LONGITUD  : -91.33333333 ° 
 ALTITUD   : 379 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967	0					32.5	46	47.5	35	49	22	31.2	263.2	32.9	8
1968	18	11	27	6	32	68	44	41	55.5	36	10	56	404.5	33.7	12
1969	6.5	12.5	12	8.5	23.5	73.5	81.5	63	68	24	29	28	430	35.8	12
1970	10	9	13.5	8	18	26.5	109.5	44.5	54	43	16	30	382	31.8	12
1971	11.5	6.5	11.5	5.5	39	45	54	56	68	36.5	49	17	399.5	33.3	12
1972	35.5	16.5	23	10.5	43.5	77	103	68.5	44.5	33	32.5	7	494.5	41.2	12
1973	11.5	11	38.5	14.5	47	60	40.5	87					310	38.8	8
1974	42	18.5	18.5	17.5	62.5	135.5	66	75	56	57.5	60	17	626	52.2	12
1975	46.5	38.5	30.5	1	44	84.5	67	60	191	114	55.5	19	751.5	62.6	12
1976	26.5	20.5	8.5	20.5	28.5	87	138	55	75.5	25	50.5	40.5	576	48	12
1977	18	15.5	0	21	71.5	78.4	48.5	75.3	72	96	46	42	584.2	48.7	12
1978	20	12	26.5	39.5	80	75.5	65	71	103	55	38	30	615.5	51.3	12
1979	12	12.5	4	13.5	55.5	79	78.5	98.5	63	80.5	10	62	569	47.4	12
1980	25.5	12.5	28.5	47.5	57.5	91	64	56.2	61	39	37	61.8	581.5	48.5	12
1981	28	61	14.5	48.5	15.5	144.5	74.3	80.6	67	55	15.7	32.6	637.2	53.1	12
1982	18.7	9.3	37.5	24	67.5	89.8	69.2	54.8	88.5	83.5	12.3	21.2	576.3	48	12
1983	14.2	39.5	53.9	36.5	14.3	80.5	96.4	59	48.4	57.8	17.7	27.3	545.5	45.5	12
1984	16.2	24.9	9.4	3.4	157.3	68.5	103.7	106.7	205.2	54.6	34.4	52.4	836.7	69.7	12
1985	30.5	16	39.6	52.5	72.2	68.5	37	73.2	68.5	56	37.3	22	573.3	47.8	12
1986	40.5	23	10.3	8.3	60.9	89.3	52.3	55.5	87.3	27.5	41.9	30.1	526.9	43.9	12
1987	10.4	16.7	24.4	80	5.1	142.3	120.3	88.4	88.6	17.5	37.6	67	698.3	58.2	12
1988	21.1	41.2	13.2	29.6	32.5	172.4	66.4	66.4	80.6	75.4	23	34.1	655.9	54.7	12
1989	21.9	19.5	38	30.7	38.1	37.2	101.2	101.2	89.5	65.6	31.2	15.3	589.4	49.1	12
1990	63.2	43.5	18.5	67.9	70.1	107.2	49.9	61.2	69	56.2	100.5	32.8	740	61.7	12
1991	32.8	21.5	9	12.1	21	79.6	26.3	66.7	60.3	42.7	24.1	64.4	460.5	38.4	12
1992	32.5	6.9	10.8	33.1	85.7	96.3	72.2	134.5	74.2	33	60.3	38.4	677.9	56.5	12
1993	40.8	20.8	33.9	10.5	63	84.5	111.2	76.5	64.2	41	15.4	37	598.8	49.9	12
1994	56.5	15.5	23	18.6	48.5	55.5	79.6	60.2	57.3	57.7	50.4		522.8	47.5	11
1995											37.5	22	59.5	29.8	2
MÍNIMA	0	6.5	0	1	5.1	26.5	26.3	41	35	17.5	10	7	59.5	29.8	2
MÁXIMA	63.2	61	53.9	80	157.3	172.4	138	134.5	205.2	114	100.5	67	836.7	69.7	12
MEDIA	25.4	20.6	21.4	24.8	50.2	83.2	73.8	70.8	77.6	52.3	35.5	34.7	540.9	46.9	11.3
