COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7047 
 NOMBRE    : EL JABALI (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LAS MARGARITAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.13333333 ° 
 LONGITUD  : -91.36666667 ° 
 ALTITUD   : 360 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	14	14.5	24.5	52.5	47.5	84.5	112.5		151		50.5	43.5	595	59.5	10
1970	18.5	16	32.5	22	24	46	161	62	62	82.6	18.5	40	585.1	48.8	12
1971	24.5	12	7.5	104.5	42.5	57.5	62	75	122	37.5	61.5	18.5	625	52.1	12
1972	75.5	22.5	24	9.5	60	110.9	97.3	77.1	73	36.5	38.3	10	634.6	52.9	12
1973	8.5	10.2	8.8	55	58.6	71	85	175.6	78	92	50	14.9	707.6	59	12
1974	80.5	35.5	9.7	23	45.6	55.7	69.5	107.5	70	93.4	51.6	20.5	662.5	55.2	12
1975	27	22	17	0.5	60.3	35.2	48.1	64.4	134	151.8	50.8	35	646.1	53.8	12
1976	25	28.8	13.5	8	38.5	112.5	114	52	65.5	42	35.5	25	560.3	46.7	12
1977	7.5	23	7.5	16.5	51	101	81.5	92	51	67.5	93.5	52	644	53.7	12
1978	14.5	11	37	62	105	115	62.5	122.5	143.5	68	62	111	914	76.2	12
1979	7	31	19	30	40	126	69	81	57	69	19	87.5	635.5	53	12
1980	22.5	22.5	31	19	50.5	99	59	61.4	98	82	45.6	24	614.5	51.2	12
1981	17	51	38.5	74.3	25.4	121.3	99.5	105.8	58	78.4	26.8	48.7	744.7	62.1	12
1982	20.8	11.2	44	16.4	109	76.5	100.2	82.9	87	70.8	23.2	18	660	55	12
1983	28	45.3	27.6	33.1	29.3	67	122.8	71.1	60	110.8	56.8	27.5	679.3	56.6	12
1984	21.4	23.5	33.9	25.6	78.6	84.8	102	114	262.3	51.7	82	19.7	899.5	75	12
1985	22.4	20	29	25.4	46.8			123	44	76.4	21	23.7	431.7	43.2	10
1986	22	19	17.5	14.6	99	58.9	68	47.8	75	53	47	23.2	545	45.4	12
1987	72.15	43.4	27.4	34.9	7.4	136.8	139.7	80.7	127.9	20	29.8	65	785.15	65.4	12
1988	20	98	20.7	106.4	103			75	139.5	84.5	77	56.7	780.8	78.1	10
1989	44.9	22.2	55.2	21.7	80	87.1		47.1	83.6	72.6	44.5	20	578.9	52.6	11
1990	37.3	23.3	25.7	66.6	62.5	130.5	50	46.3	78.2	35.8	108.5	34.5	699.2	58.3	12
1991	17.4	22.5	15.3	1.9	33.1	77	79.4	71.7	69.3	132.1	30.9	66.1	616.7	51.4	12
1992	32.8	16	11.3	38	27.5	118	104.8	69.4	60.1	45.6	50.8	34.3	608.6	50.7	12
1993	20	20	30	5.6	71.8	92	125	115.7	65.2	66.6	18.1	32.5	662.5	55.2	12
1994	36.4			36.4	117.5	45.5	48.7						284.5	56.9	5
MÍNIMA	7	10.2	7.5	0.5	7.4	35.2	48.1	46.3	44	20	18.1	10	284.5	43.2	5
MÁXIMA	80.5	98	55.2	106.4	117.5	136.8	161	175.6	262.3	151.8	108.5	111	914	78.1	12
MEDIA	28.4	26.6	24.3	34.7	58.2	87.9	89.6	84.2	92.6	71.7	47.7	38.1	646.2	56.5	11.5
DESV.ST	19.7	18.3	12.1	28.6	29.5	29.5	30.6	30.7	47.5	30.7	23.7	24.2	126.6	8.8	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	51	52.5	91.5	97.5	181	496.5	823		779		237.5	91.5	2901	290.1	10
1970	98	74	50	30	94	361.5	901.5	537.5	487.6	459.1	92.5	174	3359.7	280	12
1971	87.06	19.55	17.52	128.02	112.09	335.01	506.62	641.53	728.6	224.06	177.57	135.01	3112.64	259.4	12
1972	175.5	64	34	26.5	132.9	710	690.5	552.81	459.1	241.7	213.9	60.1	3361.01	280.1	12
1973	34.5	36.8	9.8	90.4	191.3	359.1	386.7	855.9	265	711.1	304.8	49	3294.4	274.5	12
1974	323.3	88.4	22.9	80.3	315.7	383.8	540.2	427.2	472.3	545.1	149.8	96.6	3445.6	287.1	12
1975	193.9	52.1	46.1	0.7	141.8	273.5	221.8	358.2	706.7	752.7	250.1	160.7	3158.3	263.2	12
1976	173.1	96.7	35.9	17.5	158	954.5	717	461.5	546	159	332	161.5	3812.7	317.7	12
1977	23.5	100.5	13	65	143	699.5	396	523	482	308	249.9	206.5	3209.9	267.5	12
1978	83.3	46.5	106.5	113	192.5	560	616	546	585	422	197	255.5	3723.3	310.3	12
1979	33	106	46.5	115	184.3	674.8	450	633.5	672.5	380	72.5	282.5	3650.6	304.2	12
1980	78.4	96	56	84	166.2	593.5	511.3	510	525.5	426	195.3	174.9	3417.1	284.8	12
1981	70.7	211.6	96.2	194.9	111.1	831.6	723.9	728.3	569.41	471.7	94.3	155.9	4259.61	355	12
1982	100.2	45.7	87.1	33	349.4	480.6	622.4	498	682.4	416	113.3	99.5	3527.6	294	12
1983	55.4	96.51	68.7	93.9	54.7	449.9	997.1	654.4	589.4	629.9	132.1	125.7	3947.71	329	12
1984	108.36	79.28	47.17	51.71	420.23	523.3	704.65	866.48	931.8	312.85	216.48	181.15	4443.46	370.3	12
1985	45.19	97.02	120.51	42.31	172.86			503.09	412.8	419.34	94.69	117.7	2025.51	202.6	10
1986	118.05	41.21	40.98	20.22	244.64	433.64	461.15	333.1	491.28	296.76	206.26	74.25	2761.54	230.1	12
