COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7052 
 NOMBRE    : EL ZAPOTAL (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LAS MARGARITAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.16666667 ° 
 LONGITUD  : -91.5 ° 
 ALTITUD   : 500 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970			12.5	55	46.5	46.5	108	77	66	58.5	30.5	46.5	547	54.7	10
1971	37.5	6.5	14.5	13	56.6	38.5	57.5	72	140.5	22	80	31	569.6	47.5	12
1972	110	32.5	24	22.5	61	53	153	84	68.5	49	40.5	20	718	59.8	12
1973	16	11	11.5	71	73.5	64.5	65	186	86	116.5	43	40	784	65.3	12
1974	92	53.5	8	27	74	66.5	74.5	73	95	114	53.5	32	763	63.6	12
1975	30.5	28.5	28	0.5	25.5	34.5	65	60.5	140.5	192.5	35	31	672	56	12
1976	38	58	16.5	17.5	54	151.5	104.5	109	76.5	69	48	41.5	784	65.3	12
1977	13.7	35	15.3	27.2	35	77.3	93.8	65	84.6	56.5	49.7	48.7	601.8	50.1	12
1978	44.4	22	27.9	91	67	89.7	69.3	54.5	50		74.4	67.3	657.5	59.8	11
1979	22.5	76.7	8.9	33.5	45.7	98	46.5	107	100	97.8	24	82	742.6	61.9	12
1980	18.3	31.8	8.2	26.3	60	106.5	108.6	57.5	47.3	65.8	76.1	44.5	650.9	54.2	12
1981	21	76.5	40	35.5	18.2	153.8	125.4	77.6	95.6	83.5	35.4	63.2	825.7	68.8	12
1982	38.7	14.1	51.2	26.8	64.5	91	88.3	71.6	80	57.5	18.5	37.8	640	53.3	12
1983	50	54.2	33.7	27	38.8	71	102.8	66	45.6	54.1	19.4	37.8	600.4	50	12
1984	35	27.2	11.9	9.2	34.8	97.6	94.8	126.3	126.3	74.2	21	22.8	681.1	56.8	12
1985	35.4	35.4	29.3	61.8	63	95.3	93	83	58.2	85.3	29.6	38.4	707.7	59	12
1986	26.5	1.3	34.4	32.7	58.6	61.6	78.3	94.3	75.4	35.5	67.1	20	585.7	48.8	12
1987	18.4	54.4	32.7	70.5	3.7	133.5	126.2	93.2	155.9	16.7	42.3	46.7	794.2	66.2	12
1988	71.6	71.7	15.8	55.9	100	73.9		73.9	135	120	25.2	41.7	784.7	71.3	11
1989	36.1	26.9	13.2	19.9	60.8	127	56.1	56.1	97.7	58.5	25	13.5	590.8	49.2	12
1990	28.1	16.1	38.3	63	34	162	63	57.2	79.8	65	144	96.4	846.9	70.6	12
1991	17	23.8	27.6	34.7	17.2	57.7	50.4	198.8	136	124.1	67	74.1	828.4	69	12
1992	40	17.71	18.1	70.7	12.7	109.9	107.5	80.2	88.2	49.6	57.8	48.9	701.31	58.4	12
1993	17.9	28.3	44.4	28.61	30.3	77.8	157.3	147	64.3		15.4	50	661.31	60.1	11
1994	20	32.2	22.1	29	21	82.7	56						263	37.6	7
MÍNIMA	13.7	1.3	8	0.5	3.7	34.5	46.5	54.5	45.6	16.7	15.4	13.5	263	37.6	7
MÁXIMA	110	76.7	51.2	91	100	162	157.3	198.8	155.9	192.5	144	96.4	846.9	71.3	12
MEDIA	36.6	34.8	23.5	38	46.3	88.9	89.4	90.4	91.4	75.7	46.8	44.8	680.1	58.3	11.6
DESV.ST	24	21.4	12.2	22.8	23	35.4	31	38.8	32.2	39.7	28.5	20	123.6	8.3	1.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970			14.5	66	88	372	852	534	530.5	435	108	161.5	3161.5	316.1	10
1971	114.8	21.21	26	21.03	134.1	287.52	523.02	704.03	686.2	201.03	308.03	194.52	3221.49	268.5	12
1972	227.5	103.5	26.5	65	161.5	489.5	819.5	520.5	432	346.6	194	98	3484.1	290.3	12
1973	65.5	43.5	13.5	152.5	282	286.5	392	871.5	382.5	745.5	299	107.5	3641.5	303.5	12
1974	323	127.5	21.5	118	305.5	448.5	497	388.5	488	621	193.5	150	3682	306.8	12
1975	244.5	48.5	67.5	1	70	267.5	261	440.5	781.5	844.8	218.5	207.5	3452.8	287.7	12
1976	225.5	171	27.5	25.5	179.5	1010.5	722	554.5	456	233	437	277	4319	359.9	12
1977	59.8	98.7	31.2	109.8	134.3	685.5	518.6	417.7	481.4	350.2	233.6	195.2	3316	276.3	12
1978	127.5	72.2	98.3	161.5	215.4	580.6	620.9	512.9	510.8		254.3	260	3414.4	310.4	11
1979	93.7	156.4	31.5	129.4	137.1	678.8	451.4	741.8	613	463.8	115.1	341.6	3953.6	329.5	12
1980	88.9	124	17.3	105.4	190.6	736.1	798.4	516.3	464.6	331.5	321.2	275.1	3969.4	330.8	12
1981	78.8	242.2	104.6	85.3	62.3	872.4	640.5	668.9	661.1	558.6	98.7	247.6	4321	360.1	12
1982	128.1	56.6	79.4	62	394.2	543.5	671.1	487.1	667.2	452.8	116.7	153.4	3812.1	317.7	12
1983	91.3	99.6	80	64.9	46.6	444.9	1123.1	589.7	624.1	392.3	42.7	174.2	3773.4	314.4	12
1984	169.6	109.45	30.39	17.85	241.74	574.72	702.23	673.32	627.86	290.81	79.94	222.66	3740.57	311.7	12
1985	97.13	101.48	112.17	150.06	183.33	435.51	471.4	522.51	512.61	448.31	89.9	153.52	3277.93	273.2	12
1986	177.34	1.3	69.64	44.67	281.6	470.62	479.64	564.12	610.11	276	317.01	80.71	3372.76	281.1	12
1987	56.85	84.41	119.33	99.31	6.02	621.6	956.61	603.13	487.01	70.26	141.31	172.79	3418.63	284.9	12
1988	243.98	276.78	47.7	83.36	203.68	658.32		683.52	650.61	372.36	119.79	88.77	3428.87	311.7	11
1989	234.63	101.72	37.87	96.51	271.01	437.53	411.46	411.46	726.32	390.44	194.65	50.57	3364.17	280.3	12
1990	229.51	62	103.64	142.85	115.72	787.31	404.42	469.51	734.7	375.4	724.3	252.48	4401.84	366.8	12
1991	80.09	117.17	36.6	74.81	87.62	401.41	294.91	563.35	673.01	490.87	340.22	367.43	3527.49	294	12
1992	159.25	80.88	43.67	141.59	48.82	436.21	704.72	476.2	444.82	301.84	312.19	278.75	3428.94	285.7	12
1993	88.66	94.81	121.72	42.75	98.25	874.7	641.24	1195.61	398.54		102.09	198.71	3857.08	350.6	11
1994	139.92	113.7	46.69	45.36	69.32	359.43	320.65						1095.07	156.4	7
