COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7053 
 NOMBRE    : ESCUINTLA (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ESCUINTLA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.33083333 ° 
 LONGITUD  : -92.65583333 ° 
 ALTITUD   : 92 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954						106.3	52	63.1	143.5	83	3	0.01	450.91	64.4	7
1955	6.3	0											6.3	3.1	2
1956								86.5	197.4	68	46.8	2.5	401.2	80.2	5
1957	38	28.4	0	98					87.6	71	4.5	0	327.5	40.9	8
1958	0	0	0	32	54	142	130	56	62	115	25	0	616	51.3	12
1959	0	0	38	30	85	195	80		89	122.8	40	0	679.8	61.8	11
1960	0	0	0	16.3	79.6	37.2	55.5	77.2	74.5	118.3	19.4	0	478	39.8	12
1961	0	0	2	58.5	105.7	119	47.3	72	71.8	92.7	142.2	3.2	714.4	59.5	12
1962	0.01	17	16.5	30.4	110.8	98.7	82.2	68	97.5	58.3	17.2	0	596.61	49.7	12
1963	0	0	11.4	22.3	54.3	73.7	90	122.5	137.8	65.8	76	0	653.8	54.5	12
1964	0	0	33.2			97.8	106.9	87.7	77.4	78.3	56.8	30.1	568.2	56.8	10
1965	37.6	13	53.3	18.2	63.6	112.4	62.4	81.7	111.5	140.1	30	1	724.8	60.4	12
1966	0	93.6	0	20.5	50.2	120	16	81	78	74	17.1	17	567.4	47.3	12
1967	0	0	37.7	58.01	70	81	50	62.9	71	77	20	1.5	529.11	44.1	12
1968	3	0	0	86.5	88.2	96	107.3	97		102.4	11.5	4	595.9	54.2	11
1969	0.3	8	12.3	14.7	58	126	117.6	75	108	140.5	24.5	17.5	702.4	58.5	12
1970	0	0	0	13.6	70	81	81	92.1	60.5	100	63.5	0	561.7	46.8	12
1971	2	0	13.8	14.5	54	62	69.6	131.5	437.2	314.4	36.5	6.9	1142.4	95.2	12
