COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7055 
 NOMBRE    : FINCA CHAYABE 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LAS MARGARITAS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.38138889 ° 
 LONGITUD  : -91.71055556 ° 
 ALTITUD   : 1596 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955									0.01	20	15	3	38.01	9.5	4
1956			7	9.5	85	40	42	20	61	46	0	0	310.5	31	10
1957				10.7	80	71	106	63.5	105.5	37.5	24	24.5	522.7	58.1	9
1958	25	13	35	25	80.5	145	105	60	39	88	29.5	25.5	670.5	55.9	12
1959	25.5	20	60	37.5	63	56.5	98.5	27	96.5	78	22	8.5	593	49.4	12
1960	20	5.5	18	65	26	86	85	85	63	75.5	31	74	634	52.8	12
1961	14	16	24.5	19.5	76	63	96	75		17	66	50	517	47	11
1962	14	14	11	28	51.5	82	12	61.5	60	69	14	30	447	37.2	12
1963	23	19	20	20	30	62	81	47	73	52	26.5	20	473.5	39.5	12
1964	16	27	30	25	31	80	25	60	70	53	25.5	30	472.5	39.4	12
1965	17	14	13	17	26.5	60	48	40	77	74.5	36	20	443	36.9	12
1966	23	20	16.5	32	32	92	71	71	81	60	20	15	533.5	44.5	12
1967	45	25	24	75	27.5	75	40	66	40	63.5	29.5	20	530.5	44.2	12
1968	47	11.5	14.5	10	149	83	100.5	53	108.5	50.5	27	10.5	665	55.4	12
1969	13.5	53	19	38	36	77	77.5	56	158	60	28	14.5	630.5	52.5	12
1970	19.5	14	27	6.5	29	101.5	73	80	74.5	37	25.5	38.5	526	43.8	12
1971	14.9	18	8.4	18	18	70	81.5	88	77	80	50	25	548.8	45.7	12
1972	50	6.5	16.5	59	22	97.5	73	63	40	51.5	53.5	11	543.5	45.3	12
1973	19	13	7	27.5	47	98	89.5	125.5	28	84.5	54	14	607	50.6	12
1974	30	21	17	34	54	50	82	30	66.5	54.5	23.8	26	488.8	40.7	12
1975	26.3	13.7	30.4	2.5	46.3	27	103	61	100.8	96.2	32.5	20.5	560.2	46.7	12
1976	21	15.1	6.2	16.5	48.4	68.5	88.8	46	57.2	83.3	18.9	9.8	479.7	40	12
1977	8.7	29	7.5	19.1	41.4	57.2	47.4	56.7	41.4	36.6	30	28.5	403.5	33.6	12
1978					62.5	59	62	61.8	104.5	29.8	33.2	39.5	452.3	56.5	8
1979	8.5	14.5	25	38.5	74.4	49	95	100	131	73.5	50.4	27.9	687.7	57.3	12
1980	20	16.2	20.4	11.2	44.5	65	45.5	90	66	40	40.5	39	498.3	41.5	12
1981	22	39	40	30.6	63	57	103.6	57	78.5	42	8	15.2	555.9	46.3	12
1982	21	24	43	26	108	40	41	57	58	30	20.4	67.3	535.7	44.6	12
1983	9.5	59	27	40	31.4	64.6	65.5	49	66	40.5	46.5	43	542	45.2	12
1984	25	68	20	11.5	51	124	53	65.5	80	40	10	18.3	566.3	47.2	12
1985	11	31.3	29.5	27	58.3	50.8	90	106	82	58.8	17.8	17.5	580	48.3	12
1986	20	32.5	7.5	11.4	65.4	79	79	49	63	48.6	32.5	22	509.9	42.5	12
1987	10.8	13.8	16	40	20.2	111	26.1	95	54.2	34	23.8	43	487.9	40.7	12
1988	34	38	30	40	36	64	45.7	51	107	37.5	60.8	16.5	560.5	46.7	12
1989	20	28.9	7.5	18.9	80	77	90	61	80	63	20	60	606.3	50.5	12
1990	60	73.1	19.4	29	79.3	60.7	60.5	61	80	63	54.5	42	682.5	56.9	12
1991	18.5	25.5	6	20	64.5	66.5	36	84	85	35	73	55.2	569.2	47.4	12
1992	24.5	11.8	37	50	44.5	86.5	60.5	64.5	61.4	38	30	28	536.7	44.7	12
1993	30.5	1	16	14.5	27.3	90	56	142	108	136.5	38.6	21	681.4	56.8	12
1994	43.5		7.7	24	26	109.2	56.6	63	64	103.5	82.9	11.6	592	53.8	11
1995	34	15.3	7.5	34	54.2	68.8	47	92	55.7	30.5	21	32	492	41	12
1996	12.6	12.7	19	66	51.9	57.8	80.7	100	69	49	59.5	27.5	605.7	50.5	12
1997	45.1	34.8	20.7	18	31.5	86.7	62.5	73.7	55.7	28.2	31	63.8	551.7	46	12
1998	13.5	20	15.2	1.2	75.5	47.4	100	50.3	62.4	112.7			498.2	49.8	10
1999			20	17.3							45.5	40	122.8	30.7	4
2000	26.7	20.5	1.3	11.5	90.6	56	57.5	160	97	50	30.5	23.4	625	52.1	12
2001	15	29	38	18	52.2	26.1	64	38.2	66.5	41	18.5	21	427.5	35.6	12
2002	18.2	54.8	7.8	20	20	49	60.1	58.8	94.5	60.3	63	24	530.5	44.2	12
2003	13.8	10	0	30	23.7	38.6	98.2	58.3	84.3	47	75.5	54	533.4	44.5	12
2004	37.3	15.2	35.2	16.8	65.6	72.6	47	60	47.5	57	20	9.5	483.7	40.3	12
2005							72	92	83	29.2	40.5	24.8	341.5	56.9	6
2006	17	35	60	17	68.7	88.4	130	47	40.2	44	29.6	42	618.9	51.6	12
2007	43	6.5	14	14	48	72	61.8	82.5	66	29	61	9	506.8	42.2	12
2008	30.8	26	20	40	35	145.7	73	60	79.6	60	20.5	28	618.6	51.5	12
2009	40	16	19	68	51	63	41.5	48	171.4	26	40	46	629.9	52.5	12
2010	17	21	24.5	30	43	87	64	115	103	19	28	8	559.5	46.6	12
2011	38.4	20	31	57	56	60	120	94	76	43	27	33	655.4	54.6	12
2012	40	40	20	30	50	47	45	78	38	44	40	19	491	40.9	12
2013	27	8	10.3	28.5	29	119	50	111	67	87	34	43	613.8	51.1	12
2014	20	35	6	63	52	120	54	82	255	54.5	13	10	764.5	63.7	12
2015	37	46	28.5	2.5	8.5	0	25.5	25.5	63.5	65.5	68.5	90	461	38.4	12
