COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7057 
 NOMBRE    : FINCA CHICHARRAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.13305556 ° 
 LONGITUD  : -92.24222222 ° 
 ALTITUD   : 1328 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	34.5	60	91	71	74	128	77.5	56.1	122.5	108	145	28	995.6	83	12
1962	0	8	31.6	38	41.4	140.5	65	115.2	68.5	38.2	25	53.1	624.5	52	12
1963	28.1	41.6	24	96.3	42.9	68.8	100.3	73.6	200	54.2	68	15.3	813.1	67.8	12
1964	0.2	19.2	36.5	61	36	69.8	64.5	64.5	70.2	48.9	48	73.7	592.5	49.4	12
1965	16.8	27			41	156.6	60.2	91.5	67.9	124.5	40		625.5	69.5	9
1966	5.2	1.7	27.7	124.3	52.5	116.2	67.4	94.5	82.7	55.5	14.8	10.6	653.1	54.4	12
1967	7.8	14.6	28.5	37.1	111.8	88.3	44.8	111.7	75.7	74	70.5	86	750.8	62.6	12
1968	25	24.6	6.1	35.2	67.1	80	59	34.5	70.6	67.6	29	61.7	560.4	46.7	12
1969	38.7	36.3	32	21.6	51.8	95.1	94.2	80.5	70	82	44.5	24	670.7	55.9	12
1970	8.2	9	8	32.5	60.5	84.5	75	90	67.2	107.6	58.4	22.1	623	51.9	12
1971	31.5	11.5	18.8	115.8	52.5	35	71	76	66.5	63	29.5	45.2	616.3	51.4	12
1972	26	9.5	36	14.5	60.8	122.4	58.1	59.6	81.3	51.5	41	3.5	564.2	47	12
1973	0.3	14.6	75.2	46	75.2	85.3	56	89.5	133.5	84.7	49.8	19.5	729.6	60.8	12
1974	42.3	21	73	20.2	129.6	85.3	64.2	36.3	246.3	65.5	45.7	3.8	833.2	69.4	12
1975	51.4		32.7	41	114	99.8	79.2	54.5	79.2	59	33	53.2	697	63.4	11
1976	23.5	29.7	18.2	77.7	60.2	45.5	73.7	73.4	44.2	64	50	13.5	573.6	47.8	12
1977	2	12	10	109.5	85	53	47.2	78.4	108.4	113.5	58	43	720	60	12
1978	107.1	24.5	42	52.5	153	77	45	70.5	100	80.5	30	2.5	784.6	65.4	12
1979	6	8	29.6		89	90	76.3	117	92	93	63	50	713.9	64.9	11
1980	30.5	13	15.4	46.5	114	135	54	61	96	89	34	44.5	732.9	61.1	12
1981	2	7.5	102	34	87	122	62	109	70	67	36	42	740.5	61.7	12
1982	57	56.5	13.5	77.5	88.5	103.5	55	54	98.5	42	54.5	2	702.5	58.5	12
1983	0	46	53.5	40	61.7	146	55	66.5	126.5	67	35	25	722.2	60.2	12
1984	14	33.5	38	18.5	76.5	117	87.5	117	100	91.5	85	5.5	784	65.3	12
1985	3.5	8.5	71	43	69	157	112	137.5		90	88	12	791.5	72	11
1986	11.3	16.3	1.5	64.5	185	80	80	71.5	80	45	68	9	712.1	59.3	12
1987	23	3	42	60.5	88	109.5	104	66	83				579	64.3	9
1988	45	59.5	30	45	57	127	73	64.5	240	100	62.5	17.7	921.2	76.8	12
1989	30.5	32	15	28.5	156	155	110	55	87	136	33	20	858	71.5	12
1990	10	15	22	81.5	140	76.5	61	37	101	124	40	13	721	60.1	12
1991	18	12	16.5	76.5	67	70	70	82.5	62	69.5	40	28.5	612.5	51	12
1992	11	4	85	90	125.5	101.5	88	80	68	92	81	7.5	833.5	69.5	12
1993	22.5	31	102	123.5	65	65.5	65.5	90	72.5	100	16	0	753.5	62.8	12
1994	5	13.5	20	65	185.5	83	42	50	92	58	52	60	726	60.5	12
1995	7.5	87.5	41	60	54.5	62	90	107	100	80	48	60	797.5	66.5	12
1996	40	2	40	83.5	60	70	75	100	62	100	65	30	727.5	60.6	12
1997	38	43	27	69.5	60	50	40	70	75	30	70	15	587.5	49	12
1998	2	5	15	19	25	40	35	140	90	70	86	22	549	45.8	12
1999	23	34	50	60	50	50	35	90	110	70	60	27	659	54.9	12
2000	0.5	20	40	55	120	40	34	40	90	50	25	7	521.5	43.5	12
