COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7060 
 NOMBRE    : FINCA GENOVA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.16666667 ° 
 LONGITUD  : -92.31666667 ° 
 ALTITUD   : 880 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955				34	99	90	98	96	96.5	81	40	10.5	645	71.7	9
1956	17	61	21	55	88	74	80	40.5	97	84	65	46	728.5	60.7	12
1957	36	61	19	56	88	75	77	46	81	62			601	60.1	10
1958			20	32	68	77	68	95	96	59	84	61	660	66	10
1959	19	5	32	65	54	99	98	88	70	72	20	39	661	55.1	12
1960	50.5	34	3	61	65	40.5	86	75	70	85	26	2	598	49.8	12
1961	40	45	66	68	60	115	93	116	128	112	130	72	1045	87.1	12
1962	0	14	75	102	66	124	76	195	90	60	47	0	849	70.8	12
1963	13	79	63	53.4	58	89	51	90	230	104	129	0	959.4	80	12
1964	0	13	25	70	40	175	112	97	88	85	38	77	820	68.3	12
1965	26	1	20	63	33	150	133	82	150	105	80	26	869	72.4	12
1966	8	9	40	84	120	116	69	140	165	96	54	59	960	80	12
1967	4												4	4	1
1968	11	26	29	19	91	170	66	63	103	112	60	30	780	65	12
1969	17	43	59	84	96	115	82	241	124	123	35	72	1091	90.9	12
1970	38	37	0.01		43	80.2	64	92	80	80	59	9	582.21	52.9	11
1972	70	51	48	53	95	70	90	75	93	75	62	15	797	66.4	12
1973	0	17	5	69	58	62	130	110	88	78	76	15	708	59	12
1974	39	42	50	47	58	87	60	97	84	44	20	13	641	53.4	12
1975	18.5	102	58	28	70	110	57	80	80	111	99	58	871.5	72.6	12
1976	0												0	0	1
1978	27	3.5	56	54	36	67	63	63	98	64	34	18	583.5	48.6	12
MÍNIMA	0	1	0.01	19	33	40.5	51	40.5	70	44	20	0	0	0	1
MÁXIMA	70	102	75	102	120	175	133	241	230	123	130	77	1091	90.9	12
MEDIA	21.7	35.8	36.3	57.8	69.3	99.3	82.7	99.1	105.6	84.6	60.9	32.8	702.5	60.7	10.6
DESV.ST	19.1	28	22.9	20.6	23.7	35.5	22.9	47.2	38.4	21.5	32.6	26.7	271.6	22.2	3.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955				79.02	418.01	432	851	920	899.8	848.6	205.5	26.5	4680.43	520	9
1956	28.01	118.02	43.07	220.55	641.51	588.7	401	357.01	550.2	433.5	281.02	79.01	3741.6	311.8	12
1957	64.01	129	34.01	165	568.5	591.1	353	387	476.3	454			3221.92	322.2	10
1958			20.4	84.1	451.3	699.5	507.9	715.8	907	760.3	353.6	162	4661.9	466.2	10
1959	68	12.5	62.51	291.5	327	797	622	736	545	564.5	66	56	4148.01	345.7	12
1960	78.5	41	5	224	625	384	723.5	759	745	888	159.5	2	4634.5	386.2	12
1961	61	173	120	324	268	684	667	656	962	592	581	197	5285	440.4	12
1962	0	23	97	433	327	1211	547	922.5	691	534	167	0	4952.5	412.7	12
1963	15	133	167	174.5	285.7	840	571	730	1299	594	688	0	5497.2	458.1	12
1964	0	30	54	302	338.5	946.5	901	720.3	744	488.5	221.5	129	4875.3	406.3	12
1965	46	1	30	160	246	872	417	681	931	514	363	26	4287	357.2	12
1966	11	12	100	330.5	451	716	458	724	908	712	106	101	4629.5	385.8	12
1967	4												4	4	1
1968	25	58	31	82	807	1219	468	591	986	907	260.01	37	5471.01	455.9	12
1969	37	105	204	240	466	939	618	1260	927	870.5	156	124	5946.5	495.5	12
1970	38	58	0.01		182.3	765.2	638.5	934.1	652.2	677.2	210.5	9	4165.01	378.6	11
1972	126	59	153	212	628	129	537	611	578	401	343	28	3805	317.1	12
1973	0	23	15	364	379	694.2	811	975	879	905	455	36	5536.2	461.4	12
1974	124	82	156	116	628	923	377	504	739	343	113	22	4127	343.9	12
1975	37	176	184	112	517.2	648	581.6	572	604	497	313.5	186.7	4429	369.1	12
1976	0												0	0	1
1978	95	4.5	156	183	177.1	516	789	744.2	969	509	155	42	4339.8	361.6	12
MÍNIMA	0	1	0.01	79.02	177.1	129	353	357.01	476.3	343	66	0	0	0	1
MÁXIMA	126	176	204	433	807	1219	901	1260	1299	907	688	197	5946.5	520	12
MEDIA	42.9	68.8	85.9	215.6	436.6	729.8	592	725	799.6	624.7	273.6	66.5	4201.7	363.6	10.6
DESV.ST	39.9	57.4	67.3	103	173.2	261.8	161	209.1	201.9	183	163.4	64.4	1508.8	130.9	3.2
