COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7061 
 NOMBRE    : FINCA HAMBURGO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.17388889 ° 
 LONGITUD  : -92.32527778 ° 
 ALTITUD   : 1200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954						148		50	94	70.3	172	23.6	557.9	93	6
1955	36	0.5	10.3	33.1	237.7	98	120.1	103	187.1	123.2	22.1	6.1	977.2	81.4	12
1956	0.5	25	62.5	32.8	52.4	79	116.6	40.1	82.1	56.1	39.1	8.4	594.6	49.5	12
1957	7.2	29.8	38.8	21.6	50.7	90.1	47.4	47.8	101.8	79.6	19	12.8	546.6	45.5	12
1958	0.1	19	13.2	47.4	45.6	76.8	98.4	75.4	84.2	100.8	55	28.2	644.1	53.7	12
1959	27.8	31.2	30.6	65.2	49.6	130.6	85.8	73.6	78	177	18.8	3	771.2	64.3	12
1960	48.8	60.4	8	48.5	83.8	57.7	71.8	61.8	53	96.6	120.6	1.4	712.4	59.4	12
1961	40.6	103.5	25.8	76.4	45.8	100.4	57.4	91	111.4	40	114.2	32.8	839.3	69.9	12
1962	0	2.8	54.4	89.2	55.5	92	49.5	150	77.5	30.3	17	0	618.2	51.5	12
1963	13	63.5	17	28	40.5	96	118.5	81.5	175	51.5	107	0	791.5	66	12
1964	0	0	0	24	42	97.5	102	75		68.8	62.4	94.2	565.9	51.4	11
1965	4	4	23.6	37.2	47.1		91.8	63.2	112	110	54.4	44	591.3	53.8	11
1966	5.5	7.2	26.6	74.2	147.6	101	32	82.2	70	67	30	10.6	653.9	54.5	12
1967	2.2	19.7	64	45	59	80.3	28	52	105	90	30.5	30.6	606.3	50.5	12
1968	10	26	2.4	20	109.4	84.6	41	53	79	70.6	34.8	57	587.8	49	12
1969	34.2	11.4	57.4	65	48.4	102.2	73.8	134.7	105	123.4	36.6	17.6	809.7	67.5	12
1970	18.2	20.5	1.8	35.6	46.9	59.4	61.6	91.6	77.8	108.6	41.8	12.2	576	48	12
1971	43.6	27	44.6	42	78	35.4	58	55.8	79.4	66.8	46.2	13	589.8	49.1	12
1972	49	21.8	70.2	26	61.4	90	70.2	63.4	79.4	69	50.2	19	669.6	55.8	12
