COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7063 
 NOMBRE    : FINCA LIQUIDAMBAR 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ÁNGEL ALBINO CORZO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.78333333 ° 
 LONGITUD  : -92.73333333 ° 
 ALTITUD   : 1080 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954			13	25	25	60	73	81	96	75	11	4	463	46.3	10
1955	6	12	14	38	18	41	80.5	106	52	197	63	52	679.5	56.6	12
1956	3	0.01	0.01	19	80	67	67	64	77	87	66	11	541.02	45.1	12
1957	5	23	1.5	12	33	49	95	93	97	25	25	6	464.5	38.7	12
1958	3	4	7	33	33	84	81	68	68	64	35	9	489	40.8	12
1959	17	2	13.5	15	43	47	69	65	31	61	23	1	387.5	32.3	12
1960	7	0	1	35	36	62	73	73	88	62	17	25	479	39.9	12
1961	19	11	41	16	27	69	64	74	56	42	31	14	464	38.7	12
1962	9	0	20	25	29	109	67	101	89	46	3	2	500	41.7	12
1963	2	16	5	3	61	38	51	97	106	58	110	7	554	46.2	12
1964	12	4	0	12	50	66	72	50	41	43	12	37	399	33.2	12
1965	7	17	31	10	27	61	89	60	55	80	19	8	464	38.7	12
1966	15	1	14	60	36	49	55	64	105	54	15	11	479	39.9	12
1967	8	1	27	46	51	40	69	69	47	61	14	31	464	38.7	12
1968	4	6	4	47	34	63	78	110	110	115	32	27	630	52.5	12
1969	4	0	16	7	45	60	72	68	108	71	16	1	468	39	12
1970	11	3	1	23	50	81	84	93	52	70	16	3	487	40.6	12
1971	2	0.01	4	12	22	49	53	62	54	110	61	3	432.01	36	12
1972	3	3	4	48	44	83	96	70	72	45	30	16	514	42.8	12
1973	7	1	5	19	50	58	60	81	61	56	17	48	463	38.6	12
1974	25	10	36	57	87	113	61	60	106	28	22	10	615	51.2	12
1975	21	0	0	8	69	71	58	68	72	67	10	0	444	37	12
1976	8	16	0	15	38	89	34	9.5	42	58	44	15	368.5	30.7	12
1977	0	1	7	12.5									20.5	5.1	4
1979									57	51		13	121	40.3	3
1980		29			31.5	106		71	129		8	10	384.5	54.9	7
1981	0	3.6	6.5	38.5	105		66	54	81	63.5	1.7	1.8	421.6	38.3	11
1982	0	0	12	3.5	45.8	80	74.3	68.5	63.4	73.6	10.5	4	435.6	36.3	12
1983	5.5	43	49	16	48		95.2		78.5	62	60.2	8	465.4	46.5	10
1984	17.5	10.5	0.4	0.01	82.5	65	77.5	103	115	31.5	0.01	0	502.92	41.9	12
MÍNIMA	0	0	0	0.01	18	38	34	9.5	31	25	0.01	0	20.5	5.1	3
MÁXIMA	25	43	49	60	105	113	96	110	129	197	110	52	679.5	56.6	12
MEDIA	8.2	7.8	11.9	23.4	46.5	67.7	70.9	73.4	76.2	66.3	27.6	13	453.4	40.3	11.1
DESV.ST	6.8	10.4	13.5	16.8	21.3	20.7	14.5	20.9	26	32.9	24.8	13.9	125.7	9.1	2.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954			16	116	209	715.5	608.5	375	541.03	366.52	29.52	6.01	2983.08	298.3	10
1955	6	12.01	16	46.01	78.01	348.73	732.5	519.51	266.51	727.04	83.54	84.05	2919.91	243.3	12
1956	3.01	0.01	0.01	37	323.01	547	484	338	688.01	378.51	115	20.01	2933.57	244.5	12
1957	9.01	36	1.5	30.52	75.5	300	532	503	611	79	48	12	2237.53	186.5	12
1958	7.5	4	8	78	85	509.5	617	656.5	516	442.5	121.5	27.5	3073	256.1	12
1959	24	2	30	51	113	468.5	367.53	455.02	252.04	518.05	61.01	1.02	2343.17	195.3	12
1960	7.01	0	2	47.01	157.03	563.01	552	537	631	373	78	53	3000.06	250	12
1961	42	23	50	31	73	468	488	406	250	315	124	31	2301	191.8	12
1962	16	0	20	76	100.03	600.04	325.03	781	783	294.03	5.04	3.01	3003.18	250.3	12
1963	4	35	8.02	6.01	246.02	275.08	517.03	494.01	764.02	234.03	235.02	17.03	2835.27	236.3	12
1964	21.02	6.03	0	14.01	158.03	416.02	534.01	348	383	151	42.03	65.02	2138.17	178.2	12
1965	11.02	18.01	58.01	17.01	96.03	364.04	588	623.01	555	425.02	60.02	36.03	2851.2	237.6	12
1966	50.02	3.02	19.04	162.03	144.01	426.02	547.02	455.02	605	433.03	30.01	17.04	2891.26	240.9	12
1967	26.01	2.01	32.02	154.02	120.01	306.02	380	477.01	282.03	374.01	40.03	39.01	2232.18	186	12
1968	8.01	9.02	4.01	102.02	93.04	442	483.01	455.02	837	754	57.02	36.02	3280.17	273.3	12
1969	10	0	22	22	194	402	545	655	818	338	76	1	3083	256.9	12
1970	16	3	1	29	153	523	690	594	510	498	62	3	3082	256.8	12
1971	3.02	0.01	7.01	24	118.03	284.01	459.01	563	350	546	160.01	3.02	2517.12	209.8	12
1972	5	3	12	73	244	405	494	375	442	246	53.3	18	2370.3	197.5	12
1973	12	1	5	27	123	419	418	808	403	370	29	59	2674	222.8	12
1974	29	21	62	137	308	410	460	363	506	128	61	10	2495	207.9	12
1975	36	0	0	8	253	419	414	623	576	452	30	0	2811	234.2	12
1976	17	19	0	46	108.3	522.9	218	61.6	394.4	337	213	57	1994.2	166.2	12
1977	0	1	12	42.1									55.1	13.8	4
1979									464.7	248		44	756.7	252.2	3
1980		33			166.2	364.5		490.2	879		39.5	20.8	1993.2	284.7	7
1981	0	4.8	11.2	59.5	307.1		547.2	436.4	751.5	333.9	2.5	3.8	2457.9	223.4	11
1982	0	0	35	9.8	185.3	594	361.8	253.5	693.9	357.8	36.3	4.4	2531.8	211	12
1983	13.9	103	95.4	16.2	135.5		575.7		560.21	258.9	65.64	14.8	1839.25	183.9	10
1984	24.73	15.6	0.43	0.01	341.32	645.72	820.6	488.25	736.7	90.52	0.02	0	3163.9	263.7	12
MÍNIMA	0	0	0	0.01	73	275.08	218	61.6	250	79	0.02	0	55.1	13.8	3
MÁXIMA	50.02	103	95.4	162.03	341.32	715.5	820.6	808	879	754	235.02	84.05	3280.17	298.3	12
MEDIA	14.9	12.7	18.8	52.2	168.1	451.5	509.6	486.4	553.5	359.6	69.9	23.7	2494.9	221.8	11.1
DESV.ST	13.1	21.1	23.1	45	81.2	114	127.1	156.2	185.2	161.4	57.4	22.9	694.7	51.6	2.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					64.6								64.6	64.6	1
MÍNIMA					64.6								64.6	64.6	1
MÁXIMA					64.6								64.6	64.6	1
MEDIA					64.6								64.6	64.6	1
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954			28.9	29	28.5	25.9	25.6	26.5	24.7	24.1	24.4	24.5		26.2	10
1955	26.1	25.5	29.1	31.6	30.2	27.6	24.8	26.3	25	23	24.9	24.8		26.6	12
1956	25.9	32	36.6	31.4	27.9	26	28.1	29.3	25.8	26.2	25.8	27.1		28.5	12
1957	27.2	30.2	30.9	31.3	32.5	28.8	27	27.4	25.9	24.9	26.7	23.1		28	12
1958	22.7	26.1	31.4	32	30.4	27.7	26.2	27.3	26	25.7	25.7	23.6		27.1	12
1959	24.4	28.7	29.3	29.6	30.2	27.2	26.7	26.4	26.1	24.6	23.6	23.5		26.7	12
1960	25.5	27.5	28.3	29.2	30.3	26	25.8	25.8	24.9	24.8	24.5	22.3		26.2	12
1961	23.4	26.4	30.4	29.7	30.5	26.8	25.7	26.3	25	23.2	22.7	24.4		26.2	12
1962	24.6	28.6	29.3	28.5	29.7	26.7	27	26.7	25.4	25.4	24.3	25		26.8	12
1963	25.9	26	29.5	31.3	29.6	27.8	25.3	26.6	24.8	24.1	24.1	23.7		26.6	12
1964	24.6	26.9	31.2	32	30.2	25.9	25.6	26.6	25.4	23.6	24.9	23.6		26.7	12
1965	24.6	27	28.9	30.3	30.7	27.1	26.9	26.1	26.1	23.7	24.6	24		26.7	12
1966	23.5	26.8	27.3	29.9	28.4	26.7	26.3	26.4	25	23.6	22.9	23		25.8	12
1967	23.7	25.4	28.2	29.3	29.5	26.6	26.7	26.5	25.2	23.1	23.8	24.6		26	12
1968	23.5	25.3	27.1	30.1	29	26.9	25.7	26.4	25.9	23.9	25	24.7		26.1	12
1969	25.5	27.9	27.5	30.7	29.2	27.3	26.4	25.2	24.8	24.9	24.3	24.1		26.5	12
1970	25.2	24.9	29	31.1	28.9	27.1	26.1	26.4	24.6	24.5	21.7	24		26.1	12
1971	25.6	27.4	29.1	28.6	30.1	26.7	26	25.1	25.1	24.9	23.7	25.3		26.5	12
1972	26.7	26.2	29.2	30.6	28.6	25.6	26.1	25.5	25.7	26.1	26.1	25.5		26.8	12
1973	25.5	27.3	31.5	31.2	29.4	26.8	26.6	25.4	25.9	23.7	25.6	23.4		26.9	12
1974	26.1	25.9	28.5	29	29.2	24.8	25.2	26	24.9	23.2	24.1	23.7		25.9	12
